Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-05,1.71,1.77,1.68,1.74,24561,0.03,0.09,1.72,5.17,0.05,1.55,1.66,0.01,0.0,0.01,17799084,7.1,61.67,21.67,1.0,40.0,Weak Buy Signal,1.85,1.55,1.25,0.38,46.48,Target Volume,Expected Range,4.0,Absent or Weak Trend
2023-07-03,1.61,1.7,1.6,1.68,23495,0.07,0.1,4.17,5.95,0.05,1.55,1.66,-0.0,-0.0,0.0,17774523,5.71,63.33,23.33,1.0,40.0,Weak Buy Signal,1.84,1.55,1.25,0.38,45.88,Target Volume,Expected Range,3.94,Absent or Weak Trend
2023-06-30,1.7,1.73,1.55,1.55,59587,-0.15,0.18,-9.68,11.61,0.09,1.54,1.66,-0.01,-0.0,-0.01,17751028,5.71,65.0,25.0,1.0,40.0,Weak Buy Signal,1.84,1.54,1.25,0.38,44.55,Target Volume,Expected Range,3.91,Absent or Weak Trend
2023-06-29,1.72,1.76,1.65,1.72,87927,0.0,0.11,0.0,6.4,0.06,1.54,1.66,-0.01,-0.0,-0.0,17810615,7.94,66.67,26.67,1.0,40.0,Weak Buy Signal,1.83,1.54,1.25,0.38,46.0,Target Volume,Expected Range,3.88,Absent or Weak Trend
2023-06-28,1.55,1.69,1.55,1.63,42289,0.08,0.14,4.91,8.79,0.07,1.54,1.66,-0.02,0.0,-0.02,17722688,6.58,68.33,28.33,1.0,40.0,Weak Buy Signal,1.83,1.54,1.25,0.38,45.07,Target Volume,Expected Range,3.81,Absent or Weak Trend
2023-06-27,1.51,1.58,1.49,1.55,15260,0.04,0.08,2.58,5.35,0.04,1.54,1.66,-0.02,0.01,-0.03,17680399,4.3,70.0,30.0,1.0,40.0,Weak Buy Signal,1.83,1.54,1.25,0.38,44.23,Target Volume,Expected Range,3.77,Absent or Weak Trend
2023-06-26,1.5,1.52,1.39,1.49,21316,-0.01,0.13,-0.66,8.59,0.06,1.54,1.66,-0.02,0.01,-0.04,17665139,3.19,71.67,31.67,1.0,40.0,Weak Buy Signal,1.83,1.54,1.25,0.38,43.59,Target Volume,Expected Range,3.76,Absent or Weak Trend
2023-06-23,1.45,1.45,1.41,1.45,19877,0.0,0.04,0.0,2.59,0.02,1.54,1.67,-0.02,0.02,-0.04,17643823,1.76,73.33,33.33,1.0,40.0,Weak Buy Signal,1.83,1.54,1.25,0.38,43.17,Target Volume,Expected Range,3.77,Absent or Weak Trend
2023-06-22,1.59,1.59,1.46,1.46,43932,-0.13,0.13,-8.9,8.9,0.07,1.54,1.67,-0.0,0.03,-0.03,17663700,2.77,75.0,35.0,1.0,40.0,Weak Buy Signal,1.83,1.54,1.25,0.38,43.25,Target Volume,Expected Range,3.8,Absent or Weak Trend
2023-06-21,1.54,1.62,1.51,1.55,43116,0.01,0.11,0.83,7.1,0.06,1.54,1.68,0.01,0.04,-0.03,17707632,3.84,76.67,36.67,1.0,40.0,Weak Buy Signal,1.83,1.54,1.25,0.37,43.97,Target Volume,Expected Range,3.82,Absent or Weak Trend
2023-06-20,1.6,1.64,1.52,1.53,23361,-0.07,0.12,-4.58,7.98,0.06,1.54,1.69,0.02,0.05,-0.02,17664516,4.05,78.33,38.33,1.0,40.0,Weak Buy Signal,1.83,1.54,1.25,0.38,43.76,Target Volume,Expected Range,3.82,Absent or Weak Trend
2023-06-16,1.65,1.68,1.59,1.64,18084,-0.01,0.09,-0.61,5.49,0.04,1.54,1.69,0.04,0.05,-0.02,17687877,5.54,80.0,40.0,1.0,40.0,Weak Buy Signal,1.83,1.54,1.25,0.38,44.65,Target Volume,Expected Range,3.81,Absent or Weak Trend
2023-06-15,1.63,1.68,1.63,1.68,10038,0.05,0.05,2.98,2.98,0.03,1.54,1.69,0.05,0.06,-0.01,17705961,6.4,81.67,41.67,1.0,40.0,Weak Buy Signal,1.83,1.54,1.25,0.37,44.97,Target Volume,Expected Range,3.79,Absent or Weak Trend
