Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-28,0.13,0.13,0.13,0.13,0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.0,0.0,329950,0.16,13.33,48.33,-1.0,-35.0,Weak Sell Signal,0.16,0.13,0.1,0.45,49.16,Target Volume,Expected Range,9.57,Absent or Weak Trend
2023-07-27,0.13,0.13,0.13,0.13,0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.0,0.0,329950,0.16,15.0,50.0,-1.0,-35.0,Weak Sell Signal,0.16,0.13,0.1,0.45,49.16,Target Volume,Expected Range,9.73,Absent or Weak Trend
2023-07-26,0.13,0.13,0.13,0.13,0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.0,0.0,329950,0.16,16.67,51.67,-1.0,-35.0,Weak Sell Signal,0.16,0.13,0.1,0.45,49.16,Target Volume,Expected Range,9.9,Absent or Weak Trend
2023-07-25,0.13,0.13,0.13,0.13,0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.0,0.0,329950,0.16,18.33,53.33,-1.0,-35.0,Weak Sell Signal,0.16,0.13,0.1,0.46,49.16,Target Volume,Expected Range,10.06,Absent or Weak Trend
2023-07-24,0.13,0.13,0.13,0.13,0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.0,0.0,329950,0.16,20.0,55.0,-1.0,-35.0,Weak Sell Signal,0.16,0.13,0.1,0.46,49.16,Target Volume,Expected Range,10.23,Absent or Weak Trend
2023-07-21,0.13,0.13,0.13,0.13,0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,-0.0,0.0,329950,0.16,21.67,56.67,-1.0,-35.0,Weak Sell Signal,0.16,0.13,0.1,0.46,49.16,Target Volume,Expected Range,10.4,Absent or Weak Trend
2023-07-20,0.13,0.13,0.13,0.13,0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,-0.0,0.0,329950,0.16,23.33,58.33,-1.0,-35.0,Weak Sell Signal,0.16,0.13,0.1,0.47,49.16,Target Volume,Expected Range,10.57,Absent or Weak Trend
2023-07-19,0.13,0.13,0.13,0.13,0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,-0.0,0.0,329950,0.16,25.0,60.0,-1.0,-35.0,Weak Sell Signal,0.16,0.13,0.1,0.47,49.16,Target Volume,Expected Range,10.75,Absent or Weak Trend
2023-07-18,0.13,0.13,0.13,0.13,0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,-0.0,0.0,329950,0.16,26.67,61.67,-1.0,-35.0,Weak Sell Signal,0.16,0.13,0.1,0.47,49.16,Target Volume,Expected Range,10.93,Absent or Weak Trend
2023-07-17,0.13,0.13,0.13,0.13,0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,-0.0,0.0,329950,0.16,28.33,63.33,-1.0,-35.0,Weak Sell Signal,0.16,0.13,0.1,0.47,49.16,Target Volume,Expected Range,11.11,Absent or Weak Trend
