Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-30,0.38,0.38,0.38,0.38,0,0.0,0.0,0.0,0.0,0.0,-1
2023-08-29,0.38,0.38,0.38,0.38,0,0.0,0.0,0.0,0.0,0.0,-1
2023-08-28,0.38,0.38,0.38,0.38,0,0.0,0.0,0.0,0.0,0.0,-1
2023-08-25,0.38,0.38,0.38,0.38,0,0.0,0.0,0.0,0.0,0.0,-1
2023-08-24,0.38,0.38,0.38,0.38,0,0.0,0.0,0.0,0.0,0.0,-1
2023-08-23,0.39,0.39,0.39,0.39,0,0.0,0.0,0.0,0.0,0.0,-1
2023-08-22,0.36,0.4,0.36,0.39,95726,0.03,0.04,6.49,10.7,0.02,1
2023-08-21,0.36,0.38,0.35,0.36,31674,-0.01,0.03,-1.69,8.48,0.02,-1
2023-08-18,0.38,0.39,0.36,0.37,18718,-0.01,0.03,-4.07,8.71,0.02,-1
2023-08-17,0.4,0.41,0.38,0.39,6712,-0.01,0.02,-1.96,6.35,0.01,-1
2023-08-16,0.45,0.45,0.4,0.4,9587,-0.05,0.05,-12.05,12.05,0.02,-1
2023-08-15,0.4,0.43,0.4,0.43,18584,0.02,0.03,5.6,6.72,0.01,1
2023-08-14,0.45,0.45,0.4,0.41,29171,-0.03,0.04,-8.46,10.46,0.02,-1
2023-08-11,0.4,0.45,0.4,0.44,72242,0.03,0.04,7.89,10.23,0.02,1
2023-08-10,0.41,0.42,0.41,0.42,10421,0.01,0.01,2.62,3.2,0.01,-1
2023-08-09,0.41,0.43,0.41,0.42,12375,0.01,0.02,3.41,5.0,0.01,1
2023-08-08,0.42,0.44,0.41,0.41,7715,-0.02,0.03,-4.27,8.05,0.02,-1
2023-08-07,0.44,0.44,0.4,0.41,15146,-0.03,0.03,-8.06,8.57,0.02,-1
2023-08-04,0.44,0.44,0.42,0.42,23477,-0.02,0.02,-3.76,4.14,0.01,-1
2023-08-03,0.44,0.44,0.41,0.42,21911,-0.02,0.03,-4.82,6.7,0.01,-1
2023-08-02,0.41,0.44,0.4,0.44,68477,0.03,0.04,7.45,9.91,0.02,1
2023-08-01,0.43,0.44,0.39,0.39,30945,-0.03,0.05,-7.87,11.85,0.02,-1
2023-07-31,0.41,0.44,0.41,0.43,30731,0.02,0.04,4.91,8.28,0.02,1
2023-07-28,0.4,0.44,0.4,0.41,97647,0.01,0.04,3.1,9.96,0.02,1
2023-07-27,0.42,0.45,0.39,0.39,34564,-0.03,0.06,-6.9,15.85,0.03,-1
2023-07-26,0.43,0.45,0.41,0.43,5843,0.0,0.04,0.12,9.23,0.02,1
2023-07-25,0.43,0.45,0.41,0.41,38796,-0.02,0.04,-3.83,9.76,0.02,-1
2023-07-24,0.44,0.48,0.42,0.43,27299,-0.01,0.06,-2.33,13.93,0.03,-1
2023-07-21,0.46,0.46,0.43,0.44,19266,-0.02,0.02,-3.84,5.07,0.01,-1
2023-07-20,0.46,0.47,0.43,0.44,56836,-0.03,0.04,-6.18,10.27,0.02,-1
2023-07-19,0.45,0.46,0.44,0.46,17301,0.01,0.02,1.19,4.59,0.01,-1
2023-07-18,0.48,0.48,0.45,0.46,50629,-0.02,0.03,-4.25,7.51,0.02,-1
2023-07-17,0.44,0.52,0.44,0.49,38941,0.05,0.08,10.56,17.11,0.04,1
2023-07-14,0.46,0.48,0.45,0.46,21052,-0.01,0.03,-1.31,6.38,0.01,-1
2023-07-13,0.45,0.48,0.45,0.46,10756,0.01,0.03,3.03,5.94,0.01,-1
2023-07-12,0.48,0.48,0.45,0.46,11701,-0.02,0.02,-3.87,5.03,0.01,-1
2023-07-11,0.48,0.54,0.44,0.47,141666,-0.01,0.1,-1.7,21.6,0.05,1
2023-07-10,0.43,0.47,0.43,0.44,65397,0.01,0.04,2.66,9.25,0.02,1
2023-07-07,0.43,0.43,0.41,0.42,24258,-0.01,0.02,-2.48,5.52,0.01,1
2023-07-06,0.44,0.44,0.4,0.41,26927,-0.03,0.04,-8.51,9.84,0.02,-1
2023-07-05,0.42,0.43,0.41,0.43,50050,0.01,0.02,2.99,4.21,0.01,-1
2023-07-03,0.41,0.44,0.41,0.43,5763,0.02,0.03,4.67,6.98,0.02,-1
2023-06-30,0.44,0.44,0.41,0.43,11405,-0.01,0.03,-2.35,5.86,0.01,1
2023-06-29,0.42,0.44,0.42,0.42,48670,0.01,0.03,2.12,6.12,0.01,-1
2023-06-28,0.39,0.45,0.39,0.42,74060,0.02,0.06,5.17,13.37,0.03,1
2023-06-27,0.41,0.41,0.39,0.4,59342,-0.0,0.02,-0.8,4.82,0.01,-1
2023-06-26,0.42,0.44,0.4,0.41,30617,-0.0,0.03,-1.02,8.47,0.02,-1
2023-06-23,0.44,0.47,0.4,0.44,33830,-0.0,0.07,-0.73,15.92,0.03,-1
2023-06-22,0.44,0.46,0.44,0.44,9741,-0.0,0.02,-0.62,5.49,0.01,-1
2023-06-21,0.44,0.47,0.43,0.46,131832,0.02,0.04,4.05,8.71,0.02,-1
2023-06-20,0.48,0.49,0.46,0.47,19847,-0.01,0.03,-1.3,6.51,0.02,-1
2023-06-16,0.48,0.49,0.47,0.49,432240,0.01,0.02,2.24,4.62,0.01,-1
2023-06-15,0.49,0.5,0.48,0.49,74004,0.0,0.02,0.63,3.36,0.01,-1
2023-06-14,0.51,0.52,0.49,0.49,140254,-0.02,0.03,-4.84,6.56,0.02,-1
2023-06-13,0.49,0.52,0.47,0.5,114905,0.01,0.05,2.04,9.8,0.02,1
2023-06-12,0.47,0.5,0.46,0.49,37971,0.02,0.04,3.96,8.14,0.02,1
2023-06-09,0.48,0.5,0.43,0.47,226034,-0.0,0.07,-0.65,14.95,0.04,-1
2023-06-08,0.5,0.52,0.46,0.49,200164,-0.01,0.06,-2.16,11.72,0.03,-1
2023-06-07,0.53,0.54,0.5,0.52,72333,-0.01,0.04,-2.61,8.56,0.02,-1
2023-06-06,0.53,0.55,0.52,0.54,74339,0.01,0.03,1.28,5.47,0.01,1
2023-06-05,0.56,0.56,0.52,0.53,112846,-0.03,0.04,-4.85,8.18,0.02,-1
2023-06-02,0.56,0.57,0.53,0.56,126937,0.0,0.04,0.0,7.84,0.02,1
2023-06-01,0.54,0.57,0.52,0.55,143613,0.01,0.05,2.6,9.07,0.02,1
2023-05-31,0.56,0.56,0.53,0.54,69927,-0.02,0.03,-4.52,5.58,0.01,-1
2023-05-30,0.57,0.57,0.54,0.54,249206,-0.03,0.03,-5.33,5.37,0.01,-1
2023-05-26,0.48,0.58,0.47,0.54,904162,0.06,0.11,11.09,20.17,0.05,1
2023-05-25,0.53,0.57,0.45,0.5,1564155,-0.03,0.12,-6.43,25.1,0.06,-1
2023-05-24,0.57,0.63,0.49,0.58,10141147,0.01,0.14,2.09,23.77,0.07,1
2023-05-23,0.4,0.4,0.36,0.4,25193,-0.0,0.04,-1.08,11.01,0.02,1
2023-05-22,0.37,0.4,0.35,0.39,14404,0.02,0.05,3.92,12.98,0.03,-1
2023-05-19,0.4,0.41,0.38,0.41,17515,0.01,0.03,1.36,7.4,0.01,-1
2023-05-18,0.36,0.43,0.36,0.41,36683,0.05,0.07,12.2,17.07,0.04,1
2023-05-17,0.36,0.39,0.34,0.38,66374,0.02,0.05,5.01,13.11,0.02,1
2023-05-16,0.36,0.36,0.36,0.36,34422,0.0,0.0,0.14,0.84,0.0,1
2023-05-15,0.36,0.36,0.33,0.34,166148,-0.02,0.03,-4.71,8.62,0.01,-1
2023-05-12,0.4,0.41,0.35,0.35,42829,-0.05,0.06,-14.17,15.84,0.03,-1
2023-05-11,0.43,0.43,0.38,0.38,76022,-0.05,0.05,-14.13,14.67,0.03,-1
2023-05-10,0.41,0.44,0.38,0.38,32883,-0.03,0.06,-7.89,15.79,0.03,-1
2023-05-09,0.44,0.45,0.4,0.4,22108,-0.04,0.05,-10.0,12.5,0.02,-1
2023-05-08,0.44,0.47,0.4,0.43,47517,-0.01,0.07,-1.86,16.28,0.03,1
2023-05-05,0.42,0.51,0.4,0.4,166662,-0.02,0.11,-5.0,27.82,0.06,-1
2023-05-04,0.54,0.54,0.45,0.45,114295,-0.09,0.09,-19.93,19.93,0.04,-1
2023-05-03,0.41,0.69,0.41,0.51,439160,0.1,0.28,20.19,54.51,0.14,1
2023-05-02,0.42,0.44,0.38,0.38,101552,-0.04,0.06,-11.55,16.8,0.03,-1
2023-05-01,0.5,0.5,0.34,0.41,176932,-0.09,0.16,-20.52,37.85,0.08,-1
2023-04-28,0.46,0.52,0.46,0.49,171291,0.02,0.06,4.34,12.35,0.03,1
2023-04-27,0.48,0.52,0.46,0.46,217509,-0.02,0.06,-4.62,14.17,0.03,-1
2023-04-26,0.45,0.49,0.45,0.47,6052,0.02,0.04,4.26,7.72,0.02,1
2023-04-25,0.51,0.51,0.43,0.46,99192,-0.05,0.08,-12.09,17.52,0.04,-1
2023-04-24,0.47,0.55,0.47,0.5,111280,0.03,0.08,5.98,15.98,0.04,1
2023-04-21,0.49,0.5,0.46,0.47,29992,-0.02,0.04,-4.08,9.0,0.02,-1
2023-04-20,0.5,0.51,0.49,0.49,24562,-0.01,0.02,-1.8,3.86,0.01,-1
2023-04-19,0.56,0.57,0.47,0.5,79885,-0.06,0.1,-12.53,19.11,0.05,-1
2023-04-18,0.53,0.62,0.51,0.56,22654,0.03,0.11,5.79,18.73,0.05,1
2023-04-17,0.57,0.6,0.47,0.54,62870,-0.03,0.13,-5.95,23.83,0.06,-1
2023-04-14,0.58,0.62,0.57,0.58,43774,0.0,0.05,0.0,8.57,0.02,-1
2023-04-13,0.62,0.64,0.57,0.6,64665,-0.02,0.07,-3.33,11.65,0.03,-1
2023-04-12,0.62,0.7,0.57,0.62,116704,0.0,0.13,0.0,20.48,0.06,1
2023-04-11,0.53,0.6,0.53,0.57,148313,0.04,0.07,7.03,12.23,0.03,1
2023-04-10,0.52,0.6,0.49,0.51,69525,-0.01,0.11,-1.96,22.29,0.06,-1
2023-04-06,0.52,0.55,0.5,0.51,14806,-0.01,0.05,-1.96,9.8,0.03,-1
2023-04-05,0.51,0.52,0.48,0.52,17221,0.01,0.04,1.45,7.77,0.02,1
2023-04-04,0.52,0.52,0.46,0.5,61035,-0.02,0.06,-4.02,11.7,0.03,-1
2023-04-03,0.5,0.5,0.5,0.5,38664,-0.0,0.0,-0.6,0.76,0.0,1
2023-03-31,0.51,0.51,0.46,0.49,41646,-0.02,0.05,-4.72,10.27,0.02,1
2023-03-30,0.47,0.49,0.46,0.48,34559,0.01,0.03,2.93,6.2,0.01,-1
2023-03-29,0.47,0.5,0.47,0.48,11898,0.01,0.03,1.12,6.31,0.02,1
2023-03-28,0.52,0.52,0.47,0.47,124987,-0.05,0.05,-10.17,10.59,0.03,-1
2023-03-27,0.5,0.55,0.49,0.52,38114,0.02,0.06,2.88,11.54,0.03,1
2023-03-24,0.47,0.5,0.46,0.48,65662,0.01,0.04,2.72,8.32,0.02,-1
2023-03-23,0.5,0.54,0.41,0.49,267847,-0.01,0.13,-2.46,26.64,0.07,-1
