Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-06,14.28,14.45,14.02,14.19,7767486,-0.09,0.43,-0.63,3.03,0.21,16.02,16.03,-0.4,-0.28,-0.12,-9065653,12.24,0.0,60.0,-1.0,-60.0,Weak Sell Signal,18.11,16.02,13.93,0.26,45.68,Target Volume,Expected Range,7.52,Absent or Weak Trend
2023-07-05,14.6,14.74,14.38,14.68,5707810,0.08,0.36,0.58,2.45,0.18,16.1,16.1,-0.34,-0.24,-0.1,-1298167,10.97,1.67,61.67,-1.0,-60.0,Weak Sell Signal,18.26,16.1,13.93,0.27,46.55,Target Volume,Expected Range,7.44,Absent or Weak Trend
2023-07-03,15.2,15.33,14.91,15.0,3546936,-0.2,0.42,-1.33,2.8,0.21,16.17,16.15,-0.32,-0.22,-0.1,4409643,9.06,0.0,63.33,-1.0,-63.33,Weak Sell Signal,18.41,16.17,13.92,0.28,47.13,Target Volume,Expected Range,7.38,Absent or Weak Trend
2023-06-30,14.89,15.11,14.7,14.85,6179642,-0.04,0.41,-0.27,2.79,0.21,16.23,16.18,-0.31,-0.19,-0.12,862707,10.02,0.0,65.0,-1.0,-65.0,Weak Sell Signal,18.54,16.23,13.92,0.28,46.83,Target Volume,Expected Range,7.35,Absent or Weak Trend
2023-06-29,14.8,14.96,14.64,14.96,4108417,0.16,0.32,1.07,2.14,0.16,16.3,16.23,-0.29,-0.16,-0.12,7042349,10.67,1.67,66.67,-1.0,-65.0,Weak Sell Signal,18.71,16.3,13.89,0.3,47.02,Target Volume,Expected Range,7.31,Absent or Weak Trend
2023-06-28,15.36,15.37,14.74,14.99,6142687,-0.37,0.63,-2.47,4.2,0.31,16.37,16.27,-0.26,-0.13,-0.13,11150766,10.32,3.33,68.33,-1.0,-65.0,Weak Sell Signal,18.89,16.37,13.86,0.31,47.08,Target Volume,Expected Range,7.25,Absent or Weak Trend
2023-06-27,14.93,15.44,14.93,15.3,13480857,0.37,0.51,2.42,3.33,0.25,16.44,16.32,-0.23,-0.1,-0.13,17293453,9.66,5.0,70.0,-1.0,-65.0,Weak Sell Signal,19.01,16.44,13.87,0.31,47.62,Target Volume,Expected Range,7.2,Absent or Weak Trend
2023-06-26,14.94,15.4,14.9,15.05,5029866,0.11,0.49,0.73,3.29,0.25,16.5,16.35,-0.21,-0.07,-0.15,3812596,9.85,6.67,71.67,-1.0,-65.0,Weak Sell Signal,19.12,16.5,13.88,0.32,47.14,Target Volume,Expected Range,7.16,Absent or Weak Trend
2023-06-23,14.6,15.12,14.35,14.94,6822454,0.34,0.77,2.28,5.15,0.38,16.55,16.39,-0.17,-0.03,-0.14,-1217270,11.0,8.33,73.33,-1.0,-65.0,Weak Sell Signal,19.16,16.55,13.93,0.32,46.92,Target Volume,Expected Range,7.11,Absent or Weak Trend
2023-06-22,14.89,15.24,14.84,15.08,3378679,0.19,0.4,1.26,2.65,0.2,16.6,16.44,-0.09,0.0,-0.09,5605184,9.34,10.0,75.0,-1.0,-65.0,Weak Sell Signal,19.21,16.6,13.99,0.31,47.16,Target Volume,Expected Range,7.04,Absent or Weak Trend
