Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-06-05,10.47,10.48,10.47,10.48,1550,0.01,0.01,0.1,0.1,0.0,-1
2023-06-02,10.46,10.48,10.46,10.48,18412,0.02,0.02,0.2,0.2,0.01,1
2023-06-01,10.46,10.46,10.46,10.46,12484,0.01,0.01,0.05,0.05,0.0,-1
2023-05-31,10.47,10.47,10.47,10.47,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-30,10.47,10.47,10.47,10.47,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-26,10.47,10.47,10.47,10.47,802,0.0,0.0,0.0,0.0,0.0,-1
2023-05-25,10.47,10.47,10.47,10.47,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-24,10.47,10.5,10.47,10.47,11273,0.0,0.03,0.0,0.29,0.01,-1
2023-05-23,10.47,10.47,10.47,10.47,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-22,10.47,10.47,10.47,10.47,1300,0.0,0.0,0.0,0.0,0.0,1
2023-05-19,10.45,10.45,10.45,10.45,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-18,10.45,10.45,10.45,10.45,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-17,10.45,10.45,10.45,10.45,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-16,10.45,10.45,10.45,10.45,1100,0.0,0.0,0.0,0.0,0.0,-1
2023-05-15,10.45,10.45,10.45,10.45,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-12,10.45,10.45,10.45,10.45,100,0.0,0.0,0.0,0.0,0.0,-1
2023-05-11,10.45,10.45,10.45,10.45,100,0.0,0.0,0.0,0.0,0.0,-1
2023-05-10,10.45,10.45,10.45,10.45,100,0.0,0.0,0.0,0.0,0.0,-1
2023-05-09,10.45,10.45,10.45,10.45,100,0.0,0.0,0.0,0.0,0.0,-1
2023-05-08,10.45,10.45,10.45,10.45,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-05,10.45,10.45,10.45,10.45,100,0.0,0.0,0.0,0.0,0.0,-1
2023-05-04,10.45,10.45,10.45,10.45,100,0.0,0.0,0.0,0.0,0.0,-1
2023-05-03,10.45,10.45,10.45,10.45,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-02,10.45,10.45,10.45,10.45,100,0.0,0.0,0.0,0.0,0.0,-1
2023-05-01,10.45,10.45,10.45,10.45,100,0.0,0.0,0.0,0.0,0.0,1
2023-04-28,10.44,10.44,10.44,10.44,100,0.0,0.0,0.0,0.0,0.0,-1
2023-04-27,10.44,10.44,10.44,10.44,100,0.0,0.0,0.0,0.0,0.0,1
2023-04-26,10.43,10.43,10.43,10.43,100,0.0,0.0,0.0,0.0,0.0,1
2023-04-25,10.42,10.42,10.42,10.42,101,0.0,0.0,0.0,0.0,0.0,-1
2023-04-24,10.43,10.43,10.43,10.43,100,0.0,0.0,0.0,0.0,0.0,-1
2023-04-21,10.43,10.43,10.43,10.43,100,0.0,0.0,0.0,0.0,0.0,-1
2023-04-20,10.43,10.43,10.43,10.43,100,0.0,0.0,0.0,0.0,0.0,1
2023-04-19,10.42,10.42,10.42,10.42,0,0.0,0.0,0.0,0.0,0.0,-1
2023-04-18,10.42,10.42,10.42,10.42,100,0.0,0.0,0.0,0.0,0.0,-1
2023-04-17,10.42,10.42,10.42,10.42,100,0.0,0.0,0.0,0.0,0.0,-1
2023-04-14,10.43,10.43,10.43,10.43,100,0.0,0.0,0.0,0.0,0.0,1
2023-04-13,10.41,10.41,10.41,10.41,101,0.0,0.0,0.0,0.0,0.0,-1
2023-04-12,10.41,10.41,10.41,10.41,100,0.0,0.0,0.0,0.0,0.0,-1
2023-04-11,10.41,10.41,10.41,10.41,100,0.0,0.0,0.0,0.0,0.0,-1
2023-04-10,10.45,10.45,10.45,10.45,0,0.0,0.0,0.0,0.0,0.0,-1
2023-04-06,10.45,10.45,10.45,10.45,0,0.0,0.0,0.0,0.0,0.0,-1
2023-04-05,10.45,10.45,10.45,10.45,0,0.0,0.0,0.0,0.0,0.0,-1
2023-04-04,10.45,10.45,10.45,10.45,0,0.0,0.0,0.0,0.0,0.0,-1
2023-04-03,10.45,10.45,10.45,10.45,0,0.0,0.0,0.0,0.0,0.0,-1
2023-03-31,10.45,10.45,10.45,10.45,800,0.0,0.0,0.0,0.0,0.0,1
2023-03-30,10.49,11.06,10.44,10.44,800,-0.05,0.62,-0.48,5.98,0.31,-1
2023-03-29,10.44,10.44,10.44,10.44,100,0.0,0.0,0.0,0.0,0.0,-1
2023-03-28,10.46,10.46,10.46,10.46,100,0.0,0.0,0.0,0.0,0.0,-1
2023-03-27,10.47,10.47,10.47,10.47,0,0.0,0.0,0.0,0.0,0.0,-1
2023-03-24,10.47,10.47,10.47,10.47,100,0.0,0.0,0.0,0.0,0.0,1
