Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-08-11,0.13,0.13,0.13,0.13,100,0.0,0.0,0.0,0.0,0.0,0.13,0.15,-0.0,0.0,-0.01,-1127974,28.04,88.33,50.0,1.0,38.33,Weak Buy Signal,0.19,0.13,0.08,0.88,49.01,Target Volume,Expected Range,21.38,Absent or Weak Trend
2023-08-10,0.14,0.14,0.14,0.14,960,0.01,0.01,4.31,4.31,0.0,0.13,0.15,-0.0,0.01,-0.01,-1127874,29.41,90.0,51.67,1.0,38.33,Weak Buy Signal,0.19,0.13,0.08,0.88,50.15,Target Volume,Expected Range,21.27,Absent or Weak Trend
2023-08-09,0.13,0.14,0.13,0.14,1000,0.02,0.02,13.72,13.72,0.01,0.14,0.15,-0.0,0.01,-0.01,-1126914,29.41,91.67,53.33,1.0,38.33,Weak Buy Signal,0.2,0.14,0.07,0.9,50.26,Target Volume,Expected Range,21.13,Absent or Weak Trend
2023-08-08,0.12,0.12,0.12,0.12,108,0.0,0.0,0.0,0.0,0.0,0.14,0.15,0.0,0.01,-0.01,-1127914,27.34,93.33,55.0,1.0,38.33,Weak Buy Signal,0.2,0.14,0.07,0.91,48.52,Target Volume,Expected Range,20.99,Absent or Weak Trend
2023-08-07,0.14,0.14,0.14,0.14,452,0.0,0.0,0.0,0.0,0.0,0.14,0.15,0.0,0.01,-0.01,-1127806,30.15,95.0,56.67,1.0,38.33,Weak Buy Signal,0.2,0.14,0.07,0.93,49.8,Target Volume,Expected Range,20.88,Absent or Weak Trend
2023-08-04,0.19,0.19,0.13,0.13,1294,-0.06,0.06,-43.6,43.82,0.03,0.14,0.15,0.01,0.01,-0.01,-1128258,30.15,96.67,58.33,1.0,38.33,Weak Buy Signal,0.2,0.14,0.07,0.94,49.23,Target Volume,Expected Range,20.72,Absent or Weak Trend
2023-08-03,0.16,0.16,0.14,0.14,389,-0.02,0.02,-17.36,17.36,0.01,0.14,0.15,0.01,0.01,-0.0,-1126964,27.28,98.33,60.0,1.0,38.33,Weak Buy Signal,0.21,0.14,0.07,0.95,49.79,Target Volume,Expected Range,20.57,Absent or Weak Trend
2023-08-02,0.25,0.25,0.17,0.18,12628,-0.07,0.08,-38.8,44.25,0.04,0.14,0.15,0.01,0.01,-0.0,-1126575,33.15,100.0,61.67,1.0,38.33,Weak Buy Signal,0.21,0.14,0.07,0.96,53.44,Target Volume,Expected Range,20.45,Absent or Weak Trend
2023-08-01,0.15,0.18,0.11,0.18,6901,0.03,0.07,16.5,38.72,0.03,0.14,0.15,0.01,0.02,-0.0,-1113947,25.33,85.0,63.33,1.0,21.67,Weak Buy Signal,0.21,0.14,0.07,0.97,53.45,Target Volume,Expected Range,20.24,Absent or Weak Trend
2023-07-31,0.17,0.21,0.12,0.12,1915,-0.05,0.09,-37.4,71.69,0.04,0.14,0.15,0.01,0.02,-0.0,-1120848,27.83,86.67,65.0,1.0,21.67,Weak Buy Signal,0.21,0.14,0.07,0.97,48.12,Target Volume,Expected Range,20.15,Absent or Weak Trend
2023-07-28,0.19,0.19,0.19,0.19,0,0.0,0.0,0.0,0.0,0.0,0.14,0.15,0.02,0.02,0.0,-1118933,44.59,88.33,66.67,1.0,21.67,Weak Buy Signal,0.21,0.14,0.07,0.98,55.73,Target Volume,Expected Range,20.02,Absent or Weak Trend
2023-07-27,0.19,0.19,0.19,0.19,0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.02,0.02,0.0,-1118933,44.59,90.0,68.33,1.0,21.67,Weak Buy Signal,0.21,0.14,0.07,0.98,55.73,Target Volume,Expected Range,19.6,Absent or Weak Trend
