Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-21,0.07,0.07,0.06,0.06,2011,-0.01,0.01,-21.15,21.15,0.01,-1
2023-07-20,0.08,0.08,0.08,0.08,182,0.0,0.0,0.0,0.0,0.0,-1
2023-07-19,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,0.0,0.0,-1
2023-07-18,0.09,0.09,0.09,0.09,1016,0.0,0.0,0.0,3.21,0.0,1
2023-07-17,0.08,0.08,0.08,0.08,287,0.0,0.0,0.0,0.0,0.0,-1
2023-07-14,0.08,0.08,0.08,0.08,197,0.0,0.0,0.0,0.0,0.0,-1
2023-07-13,0.08,0.08,0.08,0.08,2442,-0.01,0.01,-7.49,8.66,0.0,-1
2023-07-12,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,0.0,0.0,-1
2023-07-11,0.09,0.09,0.09,0.09,801,0.0,0.0,0.0,0.0,0.0,-1
2023-07-10,0.09,0.09,0.09,0.09,400,0.0,0.0,0.0,0.0,0.0,-1
2023-07-07,0.1,0.15,0.06,0.09,16040,-0.01,0.09,-9.89,98.13,0.04,-1
2023-07-06,0.11,0.11,0.1,0.1,666,-0.01,0.01,-11.68,11.98,0.01,-1
2023-07-05,0.1,0.1,0.1,0.1,126,0.0,0.0,0.0,0.0,0.0,-1
2023-07-03,0.1,0.38,0.09,0.1,20062,-0.0,0.29,-2.84,307.47,0.15,-1
2023-06-30,0.09,0.14,0.05,0.1,12793,0.01,0.09,11.5,89.4,0.04,-1
2023-06-29,0.18,0.22,0.14,0.14,7589,-0.04,0.08,-33.23,61.14,0.04,1
2023-06-28,0.1,0.22,0.05,0.08,8708,-0.02,0.17,-21.61,216.88,0.08,-1
2023-06-27,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-26,0.06,0.09,0.06,0.09,2359,0.03,0.03,33.0,33.0,0.01,1
2023-06-23,0.06,0.06,0.06,0.06,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-22,0.05,0.06,0.05,0.06,393,0.02,0.02,26.07,26.07,0.01,-1
2023-06-21,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-20,0.08,0.09,0.07,0.07,3501,-0.01,0.02,-18.57,22.57,0.01,-1
2023-06-16,0.04,0.17,0.04,0.09,20468,0.05,0.13,54.67,146.44,0.07,1
2023-06-15,0.09,0.09,0.07,0.07,7172,-0.02,0.02,-25.98,29.21,0.01,1
2023-06-14,0.06,0.06,0.06,0.06,100,0.0,0.0,0.0,0.0,0.0,-1
2023-06-13,0.07,0.07,0.06,0.06,1200,-0.0,0.0,-4.78,4.78,0.0,1
2023-06-12,0.08,0.08,0.04,0.05,3840,-0.03,0.03,-65.23,68.9,0.02,-1
2023-06-09,0.08,0.09,0.04,0.05,5446,-0.03,0.04,-73.0,96.76,0.02,-1
2023-06-08,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-07,0.07,0.1,0.05,0.08,9926,0.01,0.05,10.13,64.67,0.02,1
2023-06-06,0.05,0.05,0.05,0.05,91339,0.0,0.0,0.0,0.0,0.0,1
2023-06-05,0.04,0.04,0.04,0.04,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-02,0.04,0.04,0.04,0.04,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-01,0.04,0.09,0.04,0.04,8909,-0.0,0.05,-0.75,128.64,0.03,-1
2023-05-31,0.06,0.06,0.06,0.06,0,0.0,0.0,0.0,0.0,0.0,-1
