Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-08-04,110.16,111.33,107.56,110.18,103647,0.02,3.77,0.02,3.42,1.88,99.1,101.75,1.87,1.72,0.15,13210895,12.8,96.67,8.33,1.0,88.33,Strong Buy Signal,110.42,99.1,87.78,0.23,54.86,Target Volume,Expected Range,7.29,Absent or Weak Trend
2023-08-03,108.9,111.76,105.64,109.81,124608,0.91,6.11,0.83,5.57,3.06,98.79,101.46,1.59,1.69,-0.1,13107248,12.8,98.33,10.0,1.0,88.33,Strong Buy Signal,109.89,98.79,87.69,0.22,54.68,Target Volume,Expected Range,7.2,Absent or Weak Trend
2023-08-02,101.48,114.41,99.76,109.32,340957,7.84,14.66,7.17,13.41,7.33,98.5,101.18,1.24,1.71,-0.47,12982640,12.8,100.0,0.0,1.0,100.0,Strong Buy Signal,109.33,98.5,87.68,0.22,54.43,Target Volume,Expected Range,7.1,Absent or Weak Trend
2023-08-01,100.98,101.0,99.02,100.81,95310,-0.17,1.98,-0.17,1.96,0.99,98.19,100.9,0.83,1.83,-1.0,12641683,2.13,80.0,1.67,1.0,78.33,Strong Buy Signal,108.83,98.19,87.56,0.22,49.9,Target Volume,Expected Range,7.0,Absent or Weak Trend
2023-07-31,99.93,102.28,99.8,101.28,55235,1.35,2.48,1.33,2.45,1.24,98.01,100.91,1.16,2.08,-0.92,12736993,1.17,81.67,3.33,1.0,78.33,Strong Buy Signal,108.83,98.01,87.2,0.22,50.17,Target Volume,Expected Range,7.09,Absent or Weak Trend
2023-07-28,101.14,101.51,98.33,99.75,179429,-1.39,3.18,-1.39,3.19,1.59,97.86,100.89,1.51,2.31,-0.8,12681758,2.14,83.33,0.0,1.0,83.33,Strong Buy Signal,108.75,97.86,86.97,0.22,49.29,Target Volume,Expected Range,7.19,Absent or Weak Trend
2023-07-27,107.91,107.91,98.37,100.1,248196,-7.81,9.54,-7.8,9.53,4.77,97.77,100.93,2.1,2.51,-0.41,12861187,2.09,85.0,1.67,1.0,83.33,Strong Buy Signal,108.69,97.77,86.85,0.22,49.48,Target Volume,Expected Range,7.27,Absent or Weak Trend
2023-07-26,107.53,108.16,107.23,107.56,138171,0.03,0.93,0.03,0.86,0.46,97.85,100.96,2.78,2.61,0.17,13109383,9.75,86.67,3.33,1.0,83.33,Strong Buy Signal,108.92,97.85,86.79,0.23,54.01,Target Volume,Expected Range,7.36,Absent or Weak Trend
2023-07-25,107.55,108.21,107.2,107.45,53401,-0.1,1.01,-0.09,0.94,0.5,97.83,100.74,2.85,2.57,0.28,12971212,9.75,88.33,5.0,1.0,83.33,Strong Buy Signal,108.83,97.83,86.84,0.22,53.95,Target Volume,Expected Range,7.32,Absent or Weak Trend
2023-07-24,107.87,108.66,107.44,107.55,71509,-0.32,1.22,-0.3,1.13,0.61,97.79,100.51,2.91,2.5,0.41,13024613,10.1,90.0,6.67,1.0,83.33,Strong Buy Signal,108.65,97.79,86.93,0.22,54.02,Target Volume,Expected Range,7.28,Absent or Weak Trend
2023-07-21,107.92,108.19,107.24,107.55,159595,-0.37,0.95,-0.34,0.88,0.48,97.67,100.27,2.94,2.4,0.54,13024613,9.54,91.67,8.33,1.0,83.33,Strong Buy Signal,108.26,97.67,87.08,0.22,54.02,Target Volume,Expected Range,7.23,Absent or Weak Trend
2023-07-20,106.96,107.72,106.75,107.58,83253,0.62,0.97,0.58,0.9,0.48,97.56,100.02,2.93,2.26,0.67,13184208,8.99,93.33,10.0,1.0,83.33,Strong Buy Signal,107.87,97.56,87.25,0.21,54.03,Target Volume,Expected Range,7.19,Absent or Weak Trend
