Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-08-21,10.57,10.64,10.35,10.41,127633,-0.16,0.29,-1.54,2.79,0.15,11.22,11.32,-0.3,-0.17,-0.13,-28275176,15.7,70.0,1.67,1.0,68.33,Weak Buy Signal,12.62,11.22,9.82,0.25,44.89,Target Volume,Expected Range,13.11,Absent or Weak Trend
2023-08-18,10.39,10.65,10.39,10.59,216272,0.2,0.26,1.89,2.46,0.13,11.21,11.35,-0.27,-0.14,-0.13,-28147543,15.42,71.67,3.33,1.0,68.33,Weak Buy Signal,12.63,11.21,9.8,0.25,45.53,Target Volume,Expected Range,13.06,Absent or Weak Trend
2023-08-17,10.78,10.84,10.48,10.51,159212,-0.27,0.37,-2.57,3.47,0.18,11.21,11.38,-0.25,-0.11,-0.14,-28363815,14.82,73.33,5.0,1.0,68.33,Weak Buy Signal,12.63,11.21,9.79,0.25,45.19,Target Volume,Expected Range,13.02,Absent or Weak Trend
2023-08-16,10.62,10.84,10.62,10.77,146817,0.15,0.22,1.39,2.04,0.11,11.2,11.41,-0.21,-0.07,-0.14,-28204603,13.8,75.0,6.67,1.0,68.33,Weak Buy Signal,12.64,11.2,9.76,0.26,46.12,Target Volume,Expected Range,12.99,Absent or Weak Trend
2023-08-15,10.87,10.89,10.6,10.66,111141,-0.21,0.29,-1.97,2.72,0.15,11.2,11.43,-0.18,-0.03,-0.15,-28351420,13.8,76.67,8.33,1.0,68.33,Weak Buy Signal,12.65,11.2,9.75,0.26,45.66,Target Volume,Expected Range,12.98,Absent or Weak Trend
2023-08-14,11.1,11.17,10.89,10.93,103397,-0.17,0.28,-1.56,2.56,0.14,11.19,11.46,-0.14,0.0,-0.14,-28240279,11.76,78.33,10.0,1.0,68.33,Weak Buy Signal,12.65,11.19,9.72,0.26,46.63,Target Volume,Expected Range,12.96,Absent or Weak Trend
2023-08-11,11.15,11.32,11.13,11.19,119457,0.04,0.19,0.36,1.68,0.09,11.18,11.47,-0.1,0.04,-0.14,-28136882,10.02,80.0,11.67,1.0,68.33,Weak Buy Signal,12.66,11.18,9.7,0.26,47.6,Target Volume,Expected Range,12.98,Absent or Weak Trend
2023-08-10,11.22,11.36,11.15,11.24,145703,0.02,0.21,0.18,1.87,0.1,11.16,11.48,-0.08,0.07,-0.16,-28017425,9.88,81.67,13.33,1.0,68.33,Weak Buy Signal,12.66,11.16,9.67,0.27,47.79,Target Volume,Expected Range,13.03,Absent or Weak Trend
2023-08-09,11.18,11.26,11.02,11.14,138228,-0.04,0.25,-0.36,2.2,0.12,11.15,11.49,-0.06,0.11,-0.18,-28163128,10.71,83.33,15.0,1.0,68.33,Weak Buy Signal,12.66,11.15,9.65,0.27,47.38,Target Volume,Expected Range,13.09,Absent or Weak Trend
2023-08-08,11.04,11.29,10.96,11.27,148616,0.23,0.33,2.04,2.93,0.16,11.15,11.5,-0.02,0.16,-0.18,-28024900,10.71,85.0,16.67,1.0,68.33,Weak Buy Signal,12.65,11.15,9.64,0.27,47.86,Target Volume,Expected Range,13.13,Absent or Weak Trend
2023-08-07,11.14,11.28,10.83,11.25,177148,0.11,0.45,0.98,4.0,0.22,11.14,11.51,0.01,0.2,-0.19,-28173516,10.8,86.67,18.33,1.0,68.33,Weak Buy Signal,12.65,11.14,9.63,0.27,47.78,Target Volume,Expected Range,13.17,Absent or Weak Trend
2023-08-04,10.81,11.31,10.8,11.19,174602,0.38,0.51,3.4,4.56,0.25,11.13,11.52,0.06,0.25,-0.19,-28350664,10.8,88.33,20.0,1.0,68.33,Weak Buy Signal,12.64,11.13,9.62,0.27,47.54,Target Volume,Expected Range,13.21,Absent or Weak Trend
2023-08-03,10.8,10.88,10.16,10.81,392365,0.01,0.72,0.09,6.66,0.36,11.13,11.53,0.12,0.3,-0.18,-28525266,14.48,90.0,21.67,1.0,68.33,Weak Buy Signal,12.64,11.13,9.61,0.27,46.02,Target Volume,Expected Range,13.25,Absent or Weak Trend
2023-08-02,11.75,12.29,11.16,11.28,352380,-0.47,1.13,-4.17,10.02,0.56,11.13,11.56,0.24,0.34,-0.1,-28132901,7.45,91.67,23.33,1.0,68.33,Weak Buy Signal,12.64,11.13,9.62,0.27,47.7,Target Volume,Expected Range,13.23,Absent or Weak Trend
2023-08-01,12.41,12.41,12.08,12.18,180045,-0.23,0.33,-1.89,2.71,0.17,11.12,11.57,0.34,0.37,-0.03,-27780521,0.0,93.33,25.0,1.0,68.33,Weak Buy Signal,12.63,11.12,9.61,0.27,51.22,Target Volume,Expected Range,13.33,Absent or Weak Trend
2023-07-31,12.36,12.5,12.27,12.32,156833,-0.04,0.24,-0.32,1.91,0.12,11.1,11.55,0.38,0.38,0.0,-27600476,1.66,95.0,26.67,1.0,68.33,Weak Buy Signal,12.59,11.1,9.6,0.27,51.8,Target Volume,Expected Range,13.55,Absent or Weak Trend
