Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-06,0.01,0.01,0.01,0.01,0,0.0,0.0,0.0,0.0,0.0,0.15,0.14,-0.05,-0.03,-0.01,-28660,17.4,63.33,88.33,-1.0,-25.0,Weak Sell Signal,0.27,0.15,0.03,1.56,39.13,Trending High,Bullish Trend,30.2,Strong Trend
2023-07-05,0.01,0.01,0.01,0.01,0,0.0,0.0,0.0,0.0,0.0,0.16,0.14,-0.05,-0.03,-0.02,-28660,17.4,65.0,90.0,-1.0,-25.0,Weak Sell Signal,0.27,0.16,0.04,1.47,39.13,Trending High,Bullish Trend,30.42,Strong Trend
2023-07-03,0.01,0.01,0.01,0.01,0,0.0,0.0,0.0,0.0,0.0,0.16,0.15,-0.05,-0.03,-0.02,-28660,17.4,66.67,91.67,-1.0,-25.0,Weak Sell Signal,0.27,0.16,0.05,1.38,39.13,Trending High,Bullish Trend,30.64,Strong Trend
2023-06-30,0.01,0.01,0.01,0.01,0,0.0,0.0,0.0,0.0,0.0,0.17,0.15,-0.04,-0.02,-0.02,-28660,17.4,68.33,93.33,-1.0,-25.0,Weak Sell Signal,0.27,0.17,0.06,1.28,39.13,Trending High,Bullish Trend,30.86,Strong Trend
2023-06-29,0.01,0.01,0.01,0.01,0,0.0,0.0,0.0,0.0,0.0,0.17,0.15,-0.04,-0.02,-0.02,-28660,17.4,70.0,95.0,-1.0,-25.0,Weak Sell Signal,0.27,0.17,0.07,1.18,39.13,Trending High,Bullish Trend,31.09,Strong Trend
2023-06-28,0.01,0.01,0.01,0.01,0,0.0,0.0,0.0,0.0,0.0,0.17,0.16,-0.03,-0.01,-0.02,-28660,17.4,71.67,96.67,-1.0,-25.0,Weak Sell Signal,0.26,0.17,0.08,1.06,39.13,Trending High,Bullish Trend,31.33,Strong Trend
2023-06-27,0.01,0.01,0.01,0.01,0,0.0,0.0,0.0,0.0,0.0,0.17,0.16,-0.02,-0.01,-0.02,-28660,17.4,73.33,98.33,-1.0,-25.0,Weak Sell Signal,0.26,0.17,0.09,0.92,39.13,Trending High,Bullish Trend,31.56,Strong Trend
2023-06-26,0.07,0.09,0.01,0.01,8900,-0.07,0.09,-817.28,1056.79,0.04,0.18,0.17,-0.01,-0.0,-0.01,-28660,17.4,75.0,100.0,-1.0,-25.0,Weak Sell Signal,0.25,0.18,0.11,0.77,39.13,Trending High,Bullish Trend,31.8,Strong Trend
2023-06-23,0.17,0.17,0.17,0.17,74408,0.0,0.0,0.0,0.0,0.0,0.18,0.18,-0.0,0.0,-0.0,-19760,41.26,76.67,68.33,1.0,8.33,High Volatility / Hold Signal,0.23,0.18,0.13,0.58,50.04,Target Volume,Expected Range,32.05,Strong Trend
2023-06-22,0.17,0.17,0.17,0.17,24,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.0,0.0,-0.0,-19760,41.26,78.33,70.0,1.0,8.33,High Volatility / Hold Signal,0.23,0.18,0.13,0.58,50.04,Target Volume,Expected Range,31.89,Strong Trend
2023-06-21,0.16,0.17,0.16,0.17,1448,0.01,0.01,3.94,5.88,0.01,0.18,0.18,0.0,0.0,-0.0,-19760,41.26,80.0,71.67,1.0,8.33,High Volatility / Hold Signal,0.23,0.18,0.13,0.59,50.04,Target Volume,Expected Range,31.73,Strong Trend
2023-06-20,0.21,0.21,0.16,0.16,855,-0.05,0.05,-28.29,28.98,0.02,0.18,0.18,0.0,0.0,0.0,-21208,41.27,81.67,73.33,1.0,8.33,High Volatility / Hold Signal,0.23,0.18,0.13,0.59,49.22,Target Volume,Expected Range,31.57,Strong Trend
2023-06-16,0.21,0.21,0.21,0.21,302,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.01,0.0,0.0,-20353,49.5,83.33,75.0,1.0,8.33,High Volatility / Hold Signal,0.23,0.18,0.13,0.59,53.33,Target Volume,Expected Range,31.4,Strong Trend
2023-06-15,0.21,0.21,0.21,0.21,100,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.0,0.0,0.0,-20353,49.5,85.0,76.67,1.0,8.33,High Volatility / Hold Signal,0.23,0.18,0.13,0.59,53.33,Target Volume,Expected Range,31.1,Strong Trend
2023-06-14,0.21,0.21,0.21,0.21,3,0.0,0.0,0.0,0.0,0.0,0.18,0.17,0.0,0.0,0.0,-20353,49.5,86.67,78.33,1.0,8.33,High Volatility / Hold Signal,0.23,0.18,0.13,0.59,53.33,Target Volume,Expected Range,30.79,Strong Trend
2023-06-13,0.2,0.21,0.19,0.21,953,0.01,0.02,4.2,8.49,0.01,0.18,0.17,0.0,0.0,0.0,-20353,49.5,88.33,80.0,1.0,8.33,High Volatility / Hold Signal,0.23,0.18,0.13,0.59,53.33,Target Volume,Expected Range,30.47,Strong Trend
2023-06-12,0.16,0.16,0.16,0.16,0,0.0,0.0,0.0,0.0,0.0,0.18,0.17,-0.0,0.0,-0.0,-21306,46.64,90.0,81.67,1.0,8.33,High Volatility / Hold Signal,0.23,0.18,0.12,0.58,49.44,Target Volume,Expected Range,30.15,Strong Trend
2023-06-09,0.21,0.21,0.16,0.16,6646,-0.05,0.05,-32.28,32.71,0.03,0.18,0.17,-0.0,0.0,-0.0,-21306,46.64,91.67,83.33,1.0,8.33,High Volatility / Hold Signal,0.23,0.18,0.13,0.58,49.44,Target Volume,Expected Range,29.87,Strong Trend
2023-06-08,0.19,0.23,0.16,0.16,9591,-0.03,0.07,-17.44,41.38,0.03,0.18,0.17,0.0,0.0,-0.0,-27952,46.64,93.33,85.0,1.0,8.33,High Volatility / Hold Signal,0.23,0.18,0.13,0.58,49.37,Target Volume,Expected Range,29.58,Strong Trend
2023-06-07,0.2,0.28,0.16,0.16,43280,-0.04,0.12,-24.61,73.03,0.06,0.18,0.17,0.0,0.0,0.0,-18361,46.64,95.0,86.67,1.0,8.33,High Volatility / Hold Signal,0.23,0.18,0.13,0.57,49.44,Target Volume,Expected Range,29.29,Strong Trend
2023-06-06,0.19,0.19,0.16,0.18,11051,-0.01,0.03,-6.25,15.17,0.01,0.18,0.17,0.01,0.0,0.0,24919,40.56,96.67,88.33,1.0,8.33,High Volatility / Hold Signal,0.23,0.18,0.13,0.57,50.73,Target Volume,Expected Range,29.0,Strong Trend
2023-06-05,0.24,0.28,0.22,0.22,9897,-0.02,0.06,-8.43,26.51,0.03,0.18,0.17,0.01,0.0,0.01,35970,51.61,98.33,90.0,1.0,8.33,High Volatility / Hold Signal,0.23,0.18,0.13,0.57,54.78,Target Volume,Expected Range,28.8,Strong Trend
2023-06-02,0.17,0.29,0.16,0.21,20342,0.04,0.13,17.35,61.0,0.06,0.18,0.17,0.0,0.0,0.0,26073,51.61,100.0,91.67,1.0,8.33,High Volatility / Hold Signal,0.23,0.18,0.13,0.56,54.08,Target Volume,Expected Range,28.42,Strong Trend
2023-06-01,0.16,0.2,0.16,0.2,10368,0.03,0.03,16.92,16.92,0.02,0.18,0.17,0.0,-0.0,0.0,5731,44.84,98.33,93.33,1.0,5.0,High Volatility / Hold Signal,0.23,0.18,0.13,0.55,52.77,Target Volume,Expected Range,28.02,Strong Trend
2023-05-31,0.19,0.29,0.16,0.22,24423,0.04,0.13,16.9,56.09,0.06,0.18,0.17,0.0,-0.0,0.0,16099,44.84,100.0,95.0,1.0,5.0,High Volatility / Hold Signal,0.22,0.18,0.13,0.55,55.68,Target Volume,Expected Range,27.74,Strong Trend
2023-05-30,0.16,0.16,0.16,0.16,0,0.0,0.0,0.0,0.0,0.0,0.18,0.17,-0.0,-0.0,-0.0,-8324,32.44,41.67,0.0,1.0,41.67,Weak Buy Signal,0.22,0.18,0.13,0.54,49.55,Target Volume,Expected Range,27.45,Strong Trend
2023-05-26,0.16,0.16,0.16,0.16,132882,-0.0,0.0,-0.06,0.06,0.0,0.18,0.17,-0.0,-0.0,-0.0,-8324,32.44,43.33,1.67,1.0,41.67,Weak Buy Signal,0.22,0.18,0.13,0.54,49.55,Target Volume,Expected Range,27.36,Strong Trend
2023-05-25,0.16,0.16,0.16,0.16,0,0.0,0.0,0.0,0.0,0.0,0.18,0.17,-0.0,-0.0,-0.0,-141206,32.35,45.0,0.0,1.0,45.0,Weak Buy Signal,0.22,0.18,0.13,0.54,49.47,Target Volume,Expected Range,27.28,Strong Trend
2023-05-24,0.16,0.16,0.16,0.16,0,0.0,0.0,0.0,0.0,0.0,0.18,0.17,-0.0,-0.0,-0.0,-141206,32.35,0.0,1.67,-1.0,-1.67,High Volatility / Hold Signal,0.22,0.18,0.13,0.54,49.47,Target Volume,Expected Range,27.19,Strong Trend
2023-05-23,0.16,0.16,0.16,0.16,401,-0.0,0.0,-0.5,0.5,0.0,0.17,0.17,-0.0,0.0,-0.0,-141206,32.35,1.67,3.33,-1.0,-1.67,High Volatility / Hold Signal,0.22,0.17,0.13,0.54,49.47,Target Volume,Expected Range,27.1,Strong Trend
2023-05-22,0.18,0.18,0.16,0.16,370,-0.02,0.02,-12.43,12.43,0.01,0.17,0.17,-0.0,0.0,-0.0,-140805,32.52,0.0,5.0,-1.0,-5.0,High Volatility / Hold Signal,0.22,0.17,0.13,0.55,49.55,Target Volume,Expected Range,27.02,Strong Trend
2023-05-19,0.17,0.17,0.17,0.17,0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.0,-0.0,-140435,34.67,1.67,6.67,-1.0,-5.0,High Volatility / Hold Signal,0.22,0.17,0.13,0.55,50.54,Target Volume,Expected Range,26.92,Strong Trend
2023-05-18,0.17,0.17,0.17,0.17,0,0.0,0.0,0.0,0.0,0.0,0.18,0.17,0.0,0.0,-0.0,-140435,34.67,3.33,8.33,-1.0,-5.0,High Volatility / Hold Signal,0.22,0.18,0.13,0.55,50.54,Target Volume,Expected Range,26.79,Strong Trend
2023-05-17,0.17,0.17,0.17,0.17,501,0.0,0.0,0.0,0.0,0.0,0.18,0.17,0.0,0.0,-0.0,-140435,34.67,5.0,10.0,-1.0,-5.0,High Volatility / Hold Signal,0.22,0.18,0.13,0.55,50.54,Target Volume,Expected Range,26.66,Strong Trend
2023-05-16,0.22,0.22,0.17,0.17,2601,-0.04,0.05,-25.07,26.41,0.02,0.18,0.17,0.0,0.0,0.0,-139934,34.67,6.67,11.67,-1.0,-5.0,High Volatility / Hold Signal,0.22,0.18,0.13,0.56,50.75,Target Volume,Expected Range,26.52,Strong Trend
2023-05-15,0.16,0.19,0.16,0.19,43704,0.03,0.03,15.69,15.75,0.01,0.18,0.17,0.0,0.0,0.0,-137333,32.03,8.33,13.33,-1.0,-5.0,High Volatility / Hold Signal,0.22,0.18,0.13,0.57,52.48,Target Volume,Expected Range,26.38,Strong Trend
2023-05-12,0.2,0.2,0.17,0.2,1600,-0.0,0.03,-0.4,14.5,0.01,0.17,0.17,0.0,0.0,0.0,-93629,34.11,10.0,15.0,-1.0,-5.0,High Volatility / Hold Signal,0.22,0.17,0.13,0.57,53.29,Target Volume,Expected Range,26.29,Strong Trend
2023-05-11,0.18,0.18,0.18,0.18,0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.0,0.0,-95229,32.49,11.67,16.67,-1.0,-5.0,High Volatility / Hold Signal,0.22,0.17,0.12,0.57,51.95,Target Volume,Expected Range,26.16,Strong Trend
2023-05-10,0.18,0.18,0.18,0.18,0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.0,0.0,-95229,32.49,13.33,18.33,-1.0,-5.0,High Volatility / Hold Signal,0.22,0.17,0.12,0.57,51.95,Target Volume,Expected Range,26.05,Strong Trend
2023-05-09,0.18,0.18,0.18,0.18,0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.0,0.0,-95229,32.49,15.0,0.0,1.0,15.0,High Volatility / Hold Signal,0.22,0.17,0.12,0.58,51.95,Target Volume,Expected Range,25.94,Strong Trend
2023-05-08,0.18,0.18,0.18,0.18,0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,-0.0,0.0,-95229,32.49,16.67,1.67,1.0,15.0,High Volatility / Hold Signal,0.22,0.17,0.12,0.58,51.95,Target Volume,Expected Range,25.83,Strong Trend
