Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-21,0.6,0.6,0.51,0.52,576432,-0.08,0.09,-15.41,17.5,0.05,-1
2023-08-18,0.6,0.65,0.59,0.59,436536,-0.01,0.06,-1.49,10.15,0.03,-1
2023-08-17,0.57,0.63,0.56,0.62,430849,0.05,0.07,7.47,10.71,0.03,1
2023-08-16,0.61,0.61,0.56,0.57,426306,-0.04,0.05,-6.96,9.02,0.03,-1
2023-08-15,0.64,0.64,0.61,0.61,323666,-0.02,0.03,-3.54,4.15,0.01,-1
2023-08-14,0.72,0.72,0.63,0.64,912581,-0.08,0.1,-13.31,15.09,0.05,-1
2023-08-11,0.81,0.81,0.7,0.72,755593,-0.09,0.11,-12.27,15.27,0.06,-1
2023-08-10,0.74,0.88,0.73,0.82,1844715,0.07,0.15,8.92,17.77,0.07,1
2023-08-09,0.72,0.76,0.72,0.74,206459,0.03,0.04,3.73,5.79,0.02,1
2023-08-08,0.89,0.89,0.69,0.72,328938,-0.17,0.2,-22.93,27.62,0.1,-1
2023-08-07,0.85,0.86,0.77,0.8,237232,-0.05,0.09,-6.71,11.64,0.05,-1
2023-08-04,0.84,0.88,0.82,0.84,274825,-0.0,0.06,-0.48,7.43,0.03,-1
2023-08-03,0.84,0.88,0.79,0.85,194525,0.0,0.09,0.5,10.62,0.04,1
2023-08-02,0.82,0.87,0.76,0.82,441884,-0.01,0.11,-0.82,13.74,0.06,1
2023-08-01,0.75,0.82,0.73,0.78,444789,0.03,0.09,3.74,11.55,0.04,1
2023-07-31,0.67,0.77,0.67,0.72,641909,0.05,0.1,7.02,13.66,0.05,1
2023-07-28,0.69,0.69,0.66,0.68,390913,-0.01,0.03,-1.59,4.98,0.02,-1
2023-07-27,0.71,0.71,0.68,0.69,263607,-0.02,0.03,-2.88,4.33,0.01,-1
2023-07-26,0.68,0.71,0.67,0.69,126150,0.01,0.04,0.86,6.12,0.02,-1
2023-07-25,0.71,0.72,0.68,0.69,344425,-0.03,0.04,-3.73,6.56,0.02,1
2023-07-24,0.69,0.72,0.67,0.68,371495,-0.01,0.05,-2.06,7.34,0.02,-1
2023-07-21,0.67,0.74,0.67,0.7,330438,0.03,0.07,4.55,9.53,0.03,1
2023-07-20,0.73,0.74,0.66,0.67,475434,-0.06,0.08,-8.96,12.34,0.04,-1
2023-07-19,0.64,0.75,0.64,0.7,885912,0.06,0.11,9.01,15.67,0.05,1
2023-07-18,0.62,0.66,0.61,0.65,155878,0.03,0.05,4.47,8.07,0.03,1
2023-07-17,0.67,0.67,0.59,0.61,309872,-0.06,0.08,-9.12,13.03,0.04,-1
2023-07-14,0.71,0.73,0.66,0.66,219901,-0.05,0.07,-7.55,10.59,0.03,-1
2023-07-13,0.72,0.75,0.69,0.71,487015,-0.01,0.06,-0.76,7.92,0.03,-1
