Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-08-30,13.32,13.39,13.18,13.35,577086,0.03,0.21,0.22,1.57,0.11,13.18,12.98,-0.03,-0.09,0.06,20864877,0.76,50.0,1.67,1.0,48.33,Weak Buy Signal,13.8,13.18,12.57,0.09,54.06,Target Volume,Expected Range,6.7,Absent or Weak Trend
2023-08-29,13.32,13.48,13.25,13.48,690015,0.16,0.23,1.19,1.71,0.12,13.17,12.96,-0.06,-0.1,0.04,20287791,0.09,51.67,0.0,1.0,51.67,Weak Buy Signal,13.81,13.17,12.52,0.1,53.95,Target Volume,Expected Range,6.8,Absent or Weak Trend
2023-08-28,13.1,13.34,13.1,13.32,697700,0.22,0.24,1.65,1.8,0.12,13.15,12.95,-0.1,-0.11,0.01,19597776,2.09,53.33,0.0,1.0,53.33,Weak Buy Signal,13.82,13.15,12.49,0.1,53.04,Target Volume,Expected Range,6.92,Absent or Weak Trend
2023-08-25,13.05,13.14,12.93,13.05,550177,0.0,0.21,0.0,1.61,0.11,13.14,12.94,-0.13,-0.12,-0.02,18900076,5.04,55.0,0.0,1.0,55.0,Weak Buy Signal,13.85,13.14,12.43,0.11,51.46,Target Volume,Expected Range,7.0,Absent or Weak Trend
2023-08-24,12.93,13.11,12.93,12.95,560945,0.02,0.18,0.15,1.39,0.09,13.12,12.95,-0.15,-0.11,-0.04,18349899,5.49,56.67,0.0,1.0,56.67,Weak Buy Signal,13.88,13.12,12.37,0.11,50.85,Target Volume,Expected Range,7.03,Absent or Weak Trend
2023-08-23,12.85,13.01,12.81,13.0,683931,0.15,0.2,1.15,1.54,0.1,13.11,12.95,-0.15,-0.1,-0.05,18910844,6.99,58.33,1.67,1.0,56.67,Weak Buy Signal,13.91,13.11,12.31,0.12,51.16,Target Volume,Expected Range,7.06,Absent or Weak Trend
2023-08-22,12.85,12.93,12.78,12.81,398039,-0.04,0.15,-0.31,1.17,0.07,13.1,12.95,-0.16,-0.09,-0.07,18226913,8.21,60.0,3.33,1.0,56.67,Weak Buy Signal,13.92,13.1,12.28,0.13,50.01,Target Volume,Expected Range,7.06,Absent or Weak Trend
2023-08-21,12.9,12.91,12.75,12.79,571812,-0.11,0.16,-0.86,1.25,0.08,13.09,12.96,-0.15,-0.07,-0.07,17828874,8.51,61.67,5.0,1.0,56.67,Weak Buy Signal,13.96,13.09,12.21,0.13,49.89,Target Volume,Expected Range,7.04,Absent or Weak Trend
2023-08-18,12.74,12.91,12.68,12.85,892837,0.11,0.23,0.86,1.79,0.12,13.08,12.97,-0.13,-0.05,-0.07,18400686,8.51,63.33,6.67,1.0,56.67,Weak Buy Signal,13.98,13.08,12.18,0.14,50.25,Target Volume,Expected Range,7.01,Absent or Weak Trend
2023-08-17,13.0,13.1,12.82,12.85,596388,-0.15,0.28,-1.17,2.18,0.14,13.07,12.98,-0.11,-0.04,-0.07,18400686,6.74,65.0,8.33,1.0,56.67,Weak Buy Signal,13.99,13.07,12.16,0.14,50.25,Target Volume,Expected Range,6.99,Absent or Weak Trend
2023-08-16,13.1,13.18,12.95,12.97,723397,-0.13,0.24,-1.0,1.81,0.12,13.07,12.99,-0.08,-0.02,-0.07,18997074,5.08,66.67,10.0,1.0,56.67,Weak Buy Signal,14.0,13.07,12.13,0.14,50.97,Target Volume,Expected Range,6.99,Absent or Weak Trend
2023-08-15,13.14,13.16,13.01,13.1,522921,-0.04,0.15,-0.31,1.15,0.08,13.06,13.0,-0.06,-0.0,-0.06,19720471,4.3,68.33,11.67,1.0,56.67,Weak Buy Signal,14.02,13.06,12.09,0.15,51.76,Target Volume,Expected Range,7.02,Absent or Weak Trend
2023-08-14,13.28,13.28,13.12,13.2,580756,-0.08,0.16,-0.61,1.21,0.08,13.04,13.0,-0.04,0.01,-0.06,20243392,2.87,70.0,13.33,1.0,56.67,Weak Buy Signal,14.03,13.04,12.06,0.15,52.37,Target Volume,Expected Range,7.07,Absent or Weak Trend
2023-08-11,13.19,13.29,13.19,13.29,361782,0.1,0.1,0.75,0.75,0.05,13.03,13.0,-0.03,0.03,-0.06,20824148,1.95,71.67,15.0,1.0,56.67,Weak Buy Signal,14.04,13.03,12.01,0.16,52.92,Target Volume,Expected Range,7.14,Absent or Weak Trend
2023-08-10,13.3,13.4,13.17,13.26,620559,-0.04,0.23,-0.3,1.77,0.12,13.01,12.99,-0.02,0.04,-0.07,20462366,1.95,73.33,16.67,1.0,56.67,Weak Buy Signal,14.06,13.01,11.95,0.16,52.76,Target Volume,Expected Range,7.23,Absent or Weak Trend
2023-08-09,13.3,13.4,13.22,13.3,553791,0.0,0.18,0.0,1.32,0.09,12.99,12.99,-0.01,0.06,-0.07,21082925,1.18,75.0,0.0,1.0,75.0,Strong Buy Signal,14.08,12.99,11.89,0.17,53.0,Target Volume,Expected Range,7.32,Absent or Weak Trend
2023-08-08,13.3,13.36,13.08,13.3,796893,0.0,0.28,0.0,2.11,0.14,12.96,12.98,-0.0,0.08,-0.08,21082925,1.7,76.67,0.0,1.0,76.67,Strong Buy Signal,14.1,12.96,11.82,0.18,53.0,Target Volume,Expected Range,7.42,Absent or Weak Trend
2023-08-07,13.35,13.44,13.28,13.37,577510,0.02,0.16,0.15,1.19,0.08,12.94,12.98,0.01,0.1,-0.08,21879818,0.89,78.33,1.67,1.0,76.67,Strong Buy Signal,14.12,12.94,11.75,0.18,53.41,Target Volume,Expected Range,7.52,Absent or Weak Trend
2023-08-04,13.15,13.4,13.12,13.31,587779,0.16,0.28,1.2,2.14,0.14,12.91,12.97,0.02,0.12,-0.09,21302308,0.37,80.0,3.33,1.0,76.67,Strong Buy Signal,14.14,12.91,11.69,0.19,53.1,Target Volume,Expected Range,7.63,Absent or Weak Trend
2023-08-03,13.39,13.39,13.07,13.08,1048192,-0.31,0.32,-2.37,2.45,0.16,12.89,12.96,0.04,0.14,-0.1,20714529,0.25,81.67,0.0,1.0,81.67,Strong Buy Signal,14.15,12.89,11.62,0.2,51.9,Target Volume,Expected Range,7.76,Absent or Weak Trend
2023-08-02,13.46,13.5,13.34,13.39,681635,-0.07,0.16,-0.52,1.19,0.08,12.86,12.96,0.09,0.16,-0.07,21762721,3.77,83.33,0.0,1.0,83.33,Strong Buy Signal,14.17,12.86,11.56,0.2,53.73,Target Volume,Expected Range,7.88,Absent or Weak Trend
2023-08-01,13.49,13.6,13.41,13.52,688394,0.03,0.19,0.22,1.41,0.09,12.84,12.95,0.12,0.18,-0.06,22444356,4.71,85.0,0.0,1.0,85.0,Strong Buy Signal,14.18,12.84,11.49,0.21,54.52,Target Volume,Expected Range,7.95,Absent or Weak Trend
2023-07-31,13.69,13.69,13.46,13.52,718672,-0.17,0.23,-1.26,1.7,0.11,12.8,12.94,0.14,0.2,-0.05,22444356,5.38,86.67,1.67,1.0,85.0,Strong Buy Signal,14.2,12.8,11.4,0.22,54.52,Target Volume,Expected Range,8.01,Absent or Weak Trend
2023-07-28,13.62,13.69,13.47,13.67,769531,0.05,0.22,0.37,1.62,0.11,12.77,12.92,0.17,0.21,-0.04,23163028,5.51,88.33,3.33,1.0,85.0,Strong Buy Signal,14.2,12.77,11.34,0.22,55.43,Target Volume,Expected Range,8.05,Absent or Weak Trend
2023-07-27,14.02,14.05,13.67,13.68,1198232,-0.34,0.38,-2.49,2.78,0.19,12.73,12.9,0.18,0.22,-0.04,22393497,6.19,90.0,5.0,1.0,85.0,Strong Buy Signal,14.19,12.73,11.27,0.23,54.74,Target Volume,Expected Range,8.1,Absent or Weak Trend
2023-07-26,13.89,14.0,13.88,13.99,1030215,0.1,0.12,0.71,0.86,0.06,12.71,12.89,0.22,0.23,-0.02,23591729,8.96,91.67,6.67,1.0,85.0,Strong Buy Signal,14.17,12.71,11.25,0.23,56.64,Target Volume,Expected Range,8.13,Absent or Weak Trend
2023-07-25,13.9,13.98,13.73,13.89,1094016,-0.01,0.25,-0.07,1.8,0.12,12.69,12.86,0.22,0.23,-0.01,22561514,8.74,93.33,8.33,1.0,85.0,Strong Buy Signal,14.13,12.69,11.24,0.23,56.15,Target Volume,Expected Range,8.11,Absent or Weak Trend
2023-07-24,14.06,14.12,13.84,13.86,1172300,-0.2,0.28,-1.44,2.02,0.14,12.66,12.84,0.23,0.24,-0.0,21467498,10.2,95.0,10.0,1.0,85.0,Strong Buy Signal,14.1,12.66,11.22,0.23,56.01,Target Volume,Expected Range,8.1,Absent or Weak Trend
2023-07-21,14.15,14.19,14.02,14.06,568845,-0.09,0.16,-0.64,1.17,0.08,12.63,12.81,0.25,0.24,0.01,22639798,12.7,96.67,11.67,1.0,85.0,Strong Buy Signal,14.07,12.63,11.19,0.23,57.24,Target Volume,Expected Range,8.07,Absent or Weak Trend
2023-07-20,14.09,14.13,14.0,14.06,676545,-0.03,0.13,-0.21,0.92,0.06,12.6,12.78,0.25,0.24,0.01,22639798,12.06,98.33,13.33,1.0,85.0,Strong Buy Signal,14.02,12.6,11.18,0.23,57.24,Target Volume,Expected Range,7.99,Absent or Weak Trend
2023-07-19,14.03,14.21,13.99,14.07,460380,0.04,0.22,0.28,1.56,0.11,12.57,12.75,0.24,0.23,0.01,23316343,12.06,100.0,15.0,1.0,85.0,Strong Buy Signal,13.96,12.57,11.17,0.22,57.3,Target Volume,Expected Range,7.92,Absent or Weak Trend
