Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-03,10.0,10.0,10.0,10.0,400,0.0,0.0,0.0,0.0,0.0,-1
2023-06-30,10.05,10.05,10.0,10.0,422,-0.05,0.05,-0.5,0.5,0.03,-1
2023-06-29,11.0,11.0,11.0,11.0,492,0.0,0.0,0.0,0.0,0.0,1
2023-06-28,9.85,10.82,9.85,10.82,250,0.97,0.97,8.96,8.96,0.49,1
2023-06-27,10.0,10.0,9.6,9.7,2582,-0.3,0.4,-3.09,4.12,0.2,-1
2023-06-26,9.75,9.75,9.65,9.7,2276,-0.05,0.1,-0.52,1.03,0.05,1
2023-06-23,9.28,9.28,9.28,9.28,514,0.0,0.0,0.0,0.0,0.0,-1
2023-06-22,11.01,11.01,10.45,10.45,436,-0.56,0.56,-5.36,5.36,0.28,-1
2023-06-21,11.86,11.86,11.86,11.86,100,0.0,0.0,0.0,0.0,0.0,1
2023-06-20,10.82,10.82,10.82,10.82,1116,0.0,0.0,0.0,0.0,0.0,-1
2023-06-16,10.82,10.82,10.82,10.82,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-15,10.82,10.82,10.82,10.82,289,0.0,0.0,0.0,0.0,0.0,1
2023-06-14,10.55,10.55,10.55,10.55,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-13,10.55,10.55,10.55,10.55,217,0.0,0.0,0.0,0.0,0.0,-1
2023-06-12,10.55,10.55,10.55,10.55,8003,0.0,0.0,0.0,0.0,0.0,1
2023-06-09,10.5,10.5,10.5,10.5,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-08,10.5,10.5,10.5,10.5,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-07,10.5,10.5,10.5,10.5,1000,0.0,0.0,0.0,0.0,0.0,-1
2023-06-06,10.99,10.99,10.99,10.99,650,0.0,0.0,0.0,0.0,0.0,-1
2023-06-05,11.06,11.06,11.05,11.06,1100,0.0,0.01,0.0,0.09,0.0,1
2023-06-02,10.3,10.3,10.3,10.3,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-01,10.3,10.3,10.3,10.3,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-31,10.3,10.3,10.3,10.3,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-30,10.3,10.3,10.3,10.3,202,0.0,0.0,0.0,0.0,0.0,1
2023-05-26,10.0,10.27,10.0,10.27,1313,0.27,0.27,2.63,2.63,0.13,1
2023-05-25,9.92,9.92,9.92,9.92,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-24,9.92,9.92,9.92,9.92,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-23,9.92,9.92,9.92,9.92,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-22,9.92,9.92,9.92,9.92,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-19,9.92,9.92,9.92,9.92,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-18,9.92,9.92,9.92,9.92,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-17,9.92,9.92,9.92,9.92,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-16,9.92,9.92,9.92,9.92,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-15,9.92,9.92,9.92,9.92,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-12,9.92,9.92,9.92,9.92,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-11,9.92,9.92,9.92,9.92,0,0.0,0.0,0.0,0.0,0.0,-1
