Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-28,10.62,10.62,10.62,10.62,1400,0.0,0.0,0.0,0.05,0.0,10.56,10.56,0.01,0.01,0.0,4603922,49.06,100.0,0.0,1.0,100.0,Strong Buy Signal,10.62,10.56,10.51,0.01,61.54,Trending Low,Bearish Trend,57.16,Very Strong Trend
2023-07-27,10.61,10.61,10.61,10.61,4,0.0,0.0,0.0,0.0,0.0,10.56,10.56,0.01,0.01,0.0,4602522,48.43,100.0,1.67,1.0,98.33,Strong Buy Signal,10.62,10.56,10.51,0.01,60.81,Trending Low,Bearish Trend,57.3,Very Strong Trend
2023-07-26,10.61,10.61,10.61,10.61,4707,0.0,0.0,0.0,0.0,0.0,10.56,10.56,0.01,0.01,-0.0,4602522,48.43,100.0,3.33,1.0,96.67,Strong Buy Signal,10.61,10.56,10.5,0.01,60.81,Trending Low,Bearish Trend,57.45,Very Strong Trend
2023-07-25,10.58,10.58,10.58,10.58,0,0.0,0.0,0.0,0.0,0.0,10.56,10.55,0.01,0.01,-0.0,4597815,46.52,93.33,5.0,1.0,88.33,Strong Buy Signal,10.61,10.56,10.5,0.01,58.55,Target Volume,Expected Range,57.6,Very Strong Trend
2023-07-24,10.58,10.58,10.58,10.58,1,0.0,0.0,0.0,0.0,0.0,10.56,10.55,0.01,0.01,-0.0,4597815,46.52,95.0,6.67,1.0,88.33,Strong Buy Signal,10.61,10.56,10.5,0.01,58.55,Target Volume,Expected Range,57.79,Very Strong Trend
2023-07-21,10.58,10.58,10.58,10.58,2005,0.0,0.0,0.0,0.0,0.0,10.56,10.55,0.01,0.01,-0.0,4597815,46.52,96.67,8.33,1.0,88.33,Strong Buy Signal,10.61,10.56,10.5,0.01,58.55,Target Volume,Expected Range,57.98,Very Strong Trend
2023-07-20,10.58,10.58,10.58,10.58,4525,0.0,0.0,0.0,0.0,0.0,10.55,10.55,0.01,0.01,0.0,4597815,46.52,98.33,10.0,1.0,88.33,Strong Buy Signal,10.61,10.55,10.5,0.01,58.55,Target Volume,Expected Range,58.17,Very Strong Trend
2023-07-19,10.6,10.6,10.6,10.6,26,0.0,0.0,0.0,0.0,0.0,10.55,10.55,0.01,0.01,0.0,4602340,49.98,100.0,0.0,1.0,100.0,Strong Buy Signal,10.61,10.55,10.49,0.01,60.74,Trending Low,Bearish Trend,58.37,Very Strong Trend
2023-07-18,10.6,10.6,10.6,10.6,10,0.0,0.0,0.0,0.0,0.0,10.55,10.55,0.01,0.01,0.0,4602340,49.98,100.0,1.67,1.0,98.33,Strong Buy Signal,10.61,10.55,10.49,0.01,60.74,Trending Low,Bearish Trend,58.51,Very Strong Trend
2023-07-17,10.6,10.6,10.6,10.6,20,0.0,0.0,0.0,0.0,0.0,10.55,10.55,0.01,0.01,0.0,4602340,49.98,100.0,3.33,1.0,96.67,Strong Buy Signal,10.61,10.55,10.49,0.01,60.74,Trending Low,Bearish Trend,58.66,Very Strong Trend
2023-07-14,10.58,10.6,10.58,10.6,2552,0.02,0.02,0.19,0.19,0.01,10.55,10.54,0.01,0.01,0.0,4602340,49.98,100.0,5.0,1.0,95.0,Strong Buy Signal,10.61,10.55,10.49,0.01,60.74,Trending Low,Bearish Trend,58.81,Very Strong Trend
2023-07-13,10.6,10.6,10.59,10.59,6389,-0.01,0.01,-0.05,0.09,0.0,10.55,10.54,0.01,0.01,0.0,4599788,51.66,100.0,6.67,1.0,93.33,Strong Buy Signal,10.61,10.55,10.49,0.01,60.04,Trending Low,Bearish Trend,58.95,Very Strong Trend
2023-07-12,10.59,10.59,10.59,10.59,108,0.0,0.0,0.0,0.0,0.0,10.55,10.54,0.01,0.01,0.0,4599788,51.12,96.67,0.0,1.0,96.67,Strong Buy Signal,10.6,10.55,10.49,0.01,60.04,Trending Low,Bearish Trend,59.08,Very Strong Trend
2023-07-11,10.59,10.59,10.59,10.59,101,0.0,0.0,0.0,0.0,0.0,10.54,10.54,0.01,0.0,0.0,4599788,51.12,98.33,1.67,1.0,96.67,Strong Buy Signal,10.6,10.54,10.49,0.01,60.04,Trending Low,Bearish Trend,59.21,Very Strong Trend
2023-07-10,10.6,10.6,10.59,10.59,5021,-0.01,0.01,-0.09,0.09,0.0,10.54,10.54,0.01,0.0,0.0,4599788,51.12,100.0,3.33,1.0,96.67,Strong Buy Signal,10.6,10.54,10.48,0.01,60.04,Trending Low,Bearish Trend,59.35,Very Strong Trend
