Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-15,0.1,0.19,0.09,0.09,9303,-0.01,0.1,-6.38,106.49,0.05,-1
2023-08-14,0.11,0.2,0.09,0.1,30596,-0.01,0.11,-12.64,108.96,0.05,-1
2023-08-11,0.21,0.21,0.11,0.12,28992,-0.09,0.1,-81.02,86.11,0.05,1
2023-08-10,0.11,0.14,0.11,0.11,3273,-0.0,0.03,-1.73,27.27,0.02,-1
2023-08-09,0.09,0.25,0.09,0.12,31331,0.03,0.16,24.88,132.61,0.08,1
2023-08-08,0.11,0.11,0.11,0.11,271,0.0,0.0,0.0,0.0,0.0,-1
2023-08-07,0.13,0.13,0.11,0.11,4010,-0.02,0.02,-16.13,16.13,0.01,-1
2023-08-04,0.07,0.19,0.07,0.14,39117,0.07,0.12,52.19,90.73,0.06,1
2023-08-03,0.19,0.19,0.06,0.13,9620,-0.06,0.13,-43.83,98.33,0.06,-1
2023-08-02,0.13,0.26,0.05,0.19,51243,0.06,0.21,30.28,108.65,0.1,1
2023-08-01,0.05,0.22,0.05,0.14,41465,0.09,0.17,63.2,126.33,0.09,1
2023-07-31,0.05,0.13,0.05,0.07,17536,0.02,0.08,32.07,107.71,0.04,-1
2023-07-28,0.09,0.09,0.09,0.09,1249,-0.0,0.0,-4.63,4.63,0.0,-1
2023-07-27,0.09,0.09,0.09,0.09,303,0.0,0.0,0.0,0.0,0.0,-1
2023-07-26,0.07,0.09,0.06,0.09,1703,0.02,0.02,20.42,28.65,0.01,1
2023-07-25,0.07,0.07,0.06,0.07,1202,-0.0,0.01,-0.71,10.92,0.0,-1
2023-07-24,0.05,0.13,0.05,0.08,8078,0.03,0.08,40.19,98.56,0.04,1
2023-07-21,0.05,0.05,0.05,0.05,0,0.0,0.0,0.0,0.0,0.0,-1
2023-07-20,0.05,0.05,0.05,0.05,0,0.0,0.0,0.0,0.0,0.0,-1
2023-07-19,0.04,0.05,0.04,0.05,2322,0.01,0.01,20.04,20.04,0.01,1
2023-07-18,0.04,0.04,0.04,0.04,818,-0.0,0.0,-1.96,3.92,0.0,-1
2023-07-17,0.04,0.04,0.04,0.04,0,0.0,0.0,0.0,0.0,0.0,-1
2023-07-14,0.04,0.04,0.04,0.04,0,0.0,0.0,0.0,0.0,0.0,-1
2023-07-13,0.04,0.04,0.04,0.04,400,0.0,0.0,0.0,0.28,0.0,-1
2023-07-12,0.04,0.04,0.04,0.04,0,0.0,0.0,0.0,0.0,0.0,-1
2023-07-11,0.04,0.04,0.04,0.04,198,0.0,0.0,0.0,0.0,0.0,-1
2023-07-10,0.04,0.04,0.04,0.04,1,0.0,0.0,0.0,0.0,0.0,-1
2023-07-07,0.04,0.04,0.04,0.04,202,0.0,0.0,0.0,0.0,0.0,-1
2023-07-06,0.04,0.04,0.04,0.04,0,0.0,0.0,0.0,0.0,0.0,-1
2023-07-05,0.04,0.04,0.04,0.04,0,0.0,0.0,0.0,0.0,0.0,-1
2023-07-03,0.04,0.04,0.04,0.04,7,0.0,0.0,0.0,0.0,0.0,-1
2023-06-30,0.03,0.04,0.03,0.04,300,0.01,0.01,30.4,30.4,0.01,1
2023-06-29,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-28,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-27,0.03,0.03,0.03,0.03,100,0.0,0.0,0.0,0.0,0.0,-1
2023-06-26,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-23,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-22,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,-1
