Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-08-08,0.42,0.42,0.42,0.42,100,0.0,0.0,0.0,0.0,0.0,0.38,0.4,0.01,0.01,-0.01,-217780,36.35,83.33,20.0,1.0,63.33,Weak Buy Signal,0.49,0.38,0.26,0.62,50.47,Target Volume,Expected Range,48.3,Strong Trend
2023-08-07,0.39,0.39,0.39,0.39,2,0.0,0.0,0.0,0.0,0.0,0.38,0.4,0.01,0.02,-0.01,-217880,35.42,85.0,21.67,1.0,63.33,Weak Buy Signal,0.49,0.38,0.26,0.63,49.42,Target Volume,Expected Range,48.51,Strong Trend
2023-08-04,0.43,0.45,0.39,0.39,4056,-0.04,0.05,-10.09,13.89,0.03,0.37,0.4,0.01,0.02,-0.01,-217880,35.42,86.67,23.33,1.0,63.33,Weak Buy Signal,0.49,0.37,0.25,0.64,49.42,Target Volume,Expected Range,48.73,Strong Trend
2023-08-03,0.45,0.45,0.45,0.45,202,0.0,0.0,0.0,0.0,0.0,0.37,0.4,0.02,0.02,-0.0,-213824,38.89,88.33,25.0,1.0,63.33,Weak Buy Signal,0.49,0.37,0.25,0.65,51.27,Target Volume,Expected Range,48.95,Strong Trend
2023-08-02,0.35,0.4,0.35,0.4,4500,0.05,0.05,11.73,12.61,0.03,0.37,0.4,0.02,0.02,-0.01,-214026,37.56,90.0,26.67,1.0,63.33,Weak Buy Signal,0.49,0.37,0.25,0.65,49.58,Target Volume,Expected Range,49.13,Strong Trend
2023-08-01,0.34,0.43,0.33,0.43,353,0.09,0.1,20.67,23.23,0.05,0.37,0.4,0.02,0.02,-0.0,-209526,37.56,91.67,28.33,1.0,63.33,Weak Buy Signal,0.49,0.37,0.25,0.65,50.74,Target Volume,Expected Range,49.32,Strong Trend
2023-07-31,0.45,0.46,0.31,0.45,4811,-0.0,0.15,-0.02,34.19,0.08,0.37,0.4,0.02,0.02,0.0,-209173,37.56,93.33,30.0,1.0,63.33,Weak Buy Signal,0.49,0.37,0.25,0.64,51.45,Target Volume,Expected Range,49.52,Strong Trend
2023-07-28,0.47,0.47,0.47,0.47,1,0.0,0.0,0.0,0.0,0.0,0.37,0.4,0.02,0.02,0.0,-204362,48.5,95.0,31.67,1.0,63.33,Weak Buy Signal,0.49,0.37,0.25,0.64,52.15,Target Volume,Expected Range,49.72,Strong Trend
2023-07-27,0.4,0.47,0.4,0.47,2489,0.07,0.07,14.82,14.84,0.03,0.37,0.39,0.02,0.02,0.0,-204362,48.5,96.67,33.33,1.0,63.33,Weak Buy Signal,0.48,0.37,0.25,0.63,52.15,Target Volume,Expected Range,49.74,Strong Trend
2023-07-26,0.47,0.48,0.47,0.48,395,0.01,0.01,2.08,2.08,0.01,0.37,0.39,0.02,0.02,0.0,-201873,53.54,98.33,35.0,1.0,63.33,Weak Buy Signal,0.48,0.37,0.26,0.61,52.52,Target Volume,Expected Range,49.77,Strong Trend
