Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-15,8.73,8.93,8.69,8.9,286163,0.17,0.24,1.91,2.64,0.12,1
2023-08-14,8.76,8.93,8.68,8.82,278975,0.06,0.25,0.68,2.83,0.12,1
2023-08-11,8.36,8.81,8.36,8.79,465270,0.43,0.45,4.89,5.12,0.23,1
2023-08-10,8.58,8.74,8.36,8.39,386531,-0.19,0.38,-2.26,4.53,0.19,-1
2023-08-09,8.53,8.64,8.44,8.56,272511,0.03,0.21,0.35,2.39,0.1,1
2023-08-08,8.44,8.57,8.34,8.52,364366,0.09,0.23,1.0,2.76,0.12,1
2023-08-07,8.67,8.76,8.27,8.51,419529,-0.16,0.49,-1.88,5.72,0.24,-1
2023-08-04,8.72,8.93,8.68,8.69,444943,-0.03,0.25,-0.35,2.82,0.12,-1
2023-08-03,9.02,9.02,8.64,8.73,598563,-0.29,0.38,-3.32,4.41,0.19,-1
2023-08-02,9.44,9.67,8.93,9.04,741129,-0.4,0.74,-4.42,8.19,0.37,-1
2023-08-01,9.01,9.5,8.68,9.45,1297666,0.44,0.82,4.66,8.68,0.41,1
2023-07-31,8.16,8.46,8.16,8.4,979164,0.24,0.3,2.86,3.57,0.15,1
2023-07-28,8.22,8.37,8.15,8.16,436508,-0.06,0.22,-0.74,2.7,0.11,-1
2023-07-27,8.31,8.37,8.1,8.16,635600,-0.15,0.27,-1.84,3.31,0.13,-1
2023-07-26,7.99,8.25,7.96,8.25,699586,0.26,0.29,3.15,3.52,0.15,1
2023-07-25,7.94,8.06,7.9,8.0,366688,0.06,0.16,0.75,2.0,0.08,1
2023-07-24,7.75,8.0,7.65,7.97,528657,0.22,0.35,2.76,4.39,0.17,1
2023-07-21,8.1,8.13,7.71,7.72,327765,-0.38,0.42,-4.92,5.44,0.21,-1
2023-07-20,8.09,8.26,7.99,8.04,522228,-0.05,0.27,-0.62,3.36,0.13,-1
2023-07-19,7.91,8.11,7.84,8.06,448418,0.15,0.27,1.86,3.35,0.13,1
2023-07-18,7.9,8.01,7.79,7.9,419163,0.0,0.22,0.0,2.78,0.11,1
2023-07-17,7.95,7.95,7.66,7.88,519060,-0.07,0.29,-0.89,3.65,0.14,-1
2023-07-14,8.19,8.24,7.9,7.96,549615,-0.23,0.34,-2.89,4.21,0.17,-1
2023-07-13,8.18,8.25,8.12,8.21,402714,0.03,0.13,0.37,1.58,0.07,1
2023-07-12,8.49,8.49,8.11,8.16,463312,-0.33,0.38,-4.04,4.66,0.19,-1
2023-07-11,8.17,8.25,8.13,8.2,357794,0.03,0.12,0.37,1.46,0.06,1
2023-07-10,8.19,8.3,8.14,8.18,298928,-0.01,0.16,-0.12,1.96,0.08,-1
2023-07-07,8.1,8.27,8.1,8.22,432701,0.12,0.17,1.46,2.07,0.08,1
2023-07-06,8.13,8.2,7.97,8.1,389838,-0.03,0.24,-0.37,2.9,0.12,-1
2023-07-05,8.25,8.25,8.03,8.15,406669,-0.1,0.22,-1.23,2.7,0.11,-1
2023-07-03,8.1,8.26,8.1,8.24,210148,0.14,0.17,1.7,2.0,0.08,1
2023-06-30,8.23,8.26,8.1,8.16,370659,-0.07,0.15,-0.86,1.9,0.08,1
2023-06-29,8.1,8.19,8.05,8.15,418195,0.05,0.14,0.61,1.72,0.07,1
2023-06-28,8.09,8.09,8.0,8.07,370396,-0.02,0.09,-0.25,1.12,0.05,1
2023-06-27,7.87,8.1,7.74,8.06,366585,0.19,0.36,2.36,4.46,0.18,1
2023-06-26,7.57,7.92,7.52,7.87,391814,0.3,0.4,3.81,5.05,0.2,1
2023-06-23,7.62,7.84,7.49,7.59,1104017,-0.03,0.35,-0.4,4.61,0.17,-1
2023-06-22,7.87,7.9,7.71,7.76,363532,-0.11,0.2,-1.42,2.51,0.1,-1
2023-06-21,7.7,7.96,7.6,7.88,530495,0.18,0.35,2.28,4.51,0.18,1
2023-06-20,7.48,7.74,7.42,7.72,330550,0.24,0.32,3.11,4.08,0.16,1
2023-06-16,7.53,7.53,7.31,7.48,978646,-0.05,0.22,-0.67,2.94,0.11,-1
2023-06-15,7.53,7.53,7.3,7.48,389910,-0.05,0.23,-0.67,3.07,0.12,-1
2023-06-14,7.37,7.7,7.29,7.57,664900,0.2,0.41,2.64,5.35,0.2,1
2023-06-13,7.46,7.6,7.38,7.42,308518,-0.04,0.21,-0.54,2.9,0.11,-1
2023-06-12,7.21,7.46,7.11,7.42,270563,0.21,0.34,2.83,4.65,0.17,1
2023-06-09,7.2,7.26,7.01,7.18,309704,-0.02,0.25,-0.28,3.55,0.13,-1
2023-06-08,7.43,7.45,7.14,7.21,366889,-0.22,0.31,-3.05,4.3,0.16,-1
2023-06-07,7.33,7.52,7.32,7.41,360619,0.08,0.2,1.08,2.7,0.1,1
2023-06-06,7.14,7.32,7.08,7.25,387867,0.11,0.24,1.52,3.24,0.12,1
2023-06-05,7.29,7.36,7.03,7.17,340382,-0.12,0.33,-1.67,4.57,0.16,-1
2023-06-02,7.08,7.39,7.0,7.3,659103,0.22,0.39,3.01,5.34,0.19,1
2023-06-01,6.37,6.97,6.34,6.94,551001,0.57,0.63,8.21,9.08,0.31,1
2023-05-31,6.4,6.56,6.28,6.34,714202,-0.06,0.27,-0.95,4.34,0.14,-1
2023-05-30,6.65,6.76,6.37,6.4,492609,-0.25,0.39,-3.91,6.17,0.2,-1
2023-05-26,6.6,6.68,6.49,6.6,390752,0.0,0.18,0.0,2.8,0.09,-1
2023-05-25,6.76,6.79,6.5,6.61,355772,-0.15,0.29,-2.27,4.31,0.14,-1
2023-05-24,7.14,7.15,6.8,6.81,354661,-0.33,0.36,-4.85,5.21,0.18,-1
2023-05-23,7.23,7.42,7.13,7.2,531479,-0.03,0.29,-0.42,4.1,0.15,-1
2023-05-22,6.94,7.33,6.94,7.28,572950,0.34,0.39,4.67,5.36,0.19,1
2023-05-19,6.97,6.97,6.73,6.85,390747,-0.12,0.24,-1.75,3.49,0.12,-1
2023-05-18,6.72,6.87,6.62,6.85,393694,0.13,0.25,1.9,3.65,0.12,1
2023-05-17,6.33,6.78,6.33,6.74,378689,0.41,0.45,6.08,6.68,0.23,1
2023-05-16,6.37,6.76,6.3,6.3,455068,-0.07,0.46,-1.11,7.38,0.23,-1
2023-05-15,6.32,7.01,6.27,6.36,752297,0.04,0.74,0.63,11.64,0.37,1
2023-05-12,6.23,6.25,6.0,6.02,408116,-0.21,0.25,-3.49,4.15,0.12,-1
2023-05-11,6.04,6.2,5.94,6.17,405044,0.13,0.26,2.11,4.29,0.13,1
2023-05-10,6.03,6.09,5.95,6.05,433277,0.02,0.14,0.33,2.31,0.07,1
2023-05-09,5.82,5.99,5.77,5.94,262861,0.12,0.22,2.02,3.7,0.11,1
2023-05-08,5.8,5.87,5.76,5.85,314697,0.05,0.11,0.85,1.88,0.06,1
2023-05-05,5.65,5.8,5.65,5.75,357869,0.1,0.15,1.74,2.61,0.07,1
2023-05-04,5.83,5.88,5.4,5.55,476392,-0.28,0.48,-5.05,8.65,0.24,-1
2023-05-03,5.81,6.03,5.74,5.89,531392,0.08,0.29,1.36,4.84,0.14,1
2023-05-02,6.0,6.05,5.51,5.79,432121,-0.21,0.54,-3.63,9.33,0.27,-1
2023-05-01,5.76,5.89,5.74,5.83,380742,0.07,0.14,1.2,2.49,0.07,1
2023-04-28,5.45,5.84,5.45,5.73,434334,0.28,0.38,4.89,6.72,0.19,1
2023-04-27,5.3,5.44,5.28,5.44,426438,0.14,0.17,2.57,3.03,0.08,1
2023-04-26,5.36,5.44,5.26,5.3,339779,-0.06,0.18,-1.13,3.4,0.09,-1
2023-04-25,5.46,5.47,5.34,5.41,304366,-0.05,0.13,-0.92,2.4,0.06,-1
2023-04-24,5.32,5.55,5.3,5.51,404007,0.19,0.25,3.45,4.54,0.12,1
2023-04-21,5.3,5.44,5.3,5.34,358072,0.04,0.14,0.75,2.62,0.07,1
2023-04-20,5.36,5.36,5.28,5.32,451222,-0.04,0.08,-0.75,1.41,0.04,-1
2023-04-19,5.42,5.44,5.34,5.41,379975,-0.01,0.09,-0.18,1.66,0.04,-1
2023-04-18,5.9,5.9,5.42,5.48,316640,-0.42,0.48,-7.66,8.76,0.24,-1
2023-04-17,5.69,5.89,5.65,5.88,234795,0.19,0.24,3.23,4.08,0.12,1
2023-04-14,5.65,5.72,5.59,5.69,337016,0.04,0.13,0.7,2.28,0.06,1
2023-04-13,5.56,5.64,5.52,5.63,357784,0.07,0.12,1.24,2.13,0.06,1
2023-04-12,5.7,5.71,5.54,5.56,346992,-0.14,0.17,-2.52,3.15,0.09,-1
2023-04-11,5.46,5.7,5.45,5.64,434816,0.18,0.25,3.19,4.43,0.12,1
2023-04-10,5.35,5.44,5.23,5.42,361408,0.07,0.21,1.29,3.87,0.1,1
2023-04-06,5.27,5.36,5.23,5.35,315975,0.08,0.13,1.5,2.43,0.06,1
2023-04-05,5.26,5.29,5.2,5.27,303493,0.01,0.09,0.19,1.8,0.05,-1
2023-04-04,5.46,5.46,5.27,5.3,581680,-0.16,0.19,-3.02,3.58,0.1,-1
2023-04-03,5.41,5.52,5.31,5.44,510837,0.03,0.21,0.55,3.86,0.1,1
2023-03-31,5.35,5.43,5.34,5.43,499334,0.08,0.09,1.47,1.66,0.04,1
2023-03-30,5.36,5.48,5.27,5.29,490439,-0.07,0.21,-1.32,3.97,0.11,-1
2023-03-29,5.22,5.4,5.18,5.32,634666,0.1,0.22,1.88,4.04,0.11,1
2023-03-28,5.17,5.24,5.12,5.17,415156,0.0,0.12,0.0,2.22,0.06,-1
2023-03-27,5.1,5.22,5.04,5.19,600802,0.09,0.18,1.73,3.56,0.09,1
2023-03-24,4.86,5.06,4.76,5.06,603087,0.2,0.3,3.95,5.93,0.15,1
2023-03-23,4.88,4.92,4.74,4.8,1032795,-0.08,0.17,-1.67,3.54,0.08,-1
2023-03-22,5.11,5.12,4.87,4.88,476570,-0.23,0.25,-4.71,5.12,0.12,-1
2023-03-21,5.05,5.25,5.01,5.12,663296,0.07,0.24,1.37,4.69,0.12,1
2023-03-20,4.85,5.01,4.82,4.91,1000747,0.06,0.19,1.22,3.97,0.1,1
2023-03-17,4.97,5.0,4.82,4.82,1780321,-0.15,0.18,-3.11,3.73,0.09,-1
2023-03-16,5.04,5.15,4.98,5.01,831452,-0.03,0.17,-0.6,3.39,0.08,-1
2023-03-15,5.19,5.23,5.01,5.14,660175,-0.05,0.22,-0.97,4.28,0.11,-1
2023-03-14,5.48,5.55,5.25,5.29,611574,-0.19,0.3,-3.59,5.62,0.15,-1
2023-03-13,5.46,5.56,5.28,5.32,903439,-0.14,0.29,-2.63,5.45,0.15,-1
2023-03-10,5.65,5.7,5.49,5.54,585506,-0.11,0.21,-1.99,3.79,0.1,-1
2023-03-09,5.69,5.75,5.59,5.68,605573,-0.01,0.16,-0.18,2.82,0.08,-1
2023-03-08,5.64,5.7,5.56,5.69,397890,0.05,0.15,0.88,2.64,0.08,1
2023-03-07,5.79,5.85,5.6,5.62,463179,-0.17,0.24,-3.02,4.36,0.12,-1
2023-03-06,5.89,5.92,5.74,5.78,627444,-0.11,0.18,-1.9,3.2,0.09,-1
2023-03-03,5.57,5.82,5.5,5.8,496169,0.23,0.32,3.97,5.52,0.16,1
2023-03-02,5.51,5.6,5.51,5.56,369519,0.05,0.1,0.9,1.71,0.05,1
2023-03-01,5.75,5.77,5.54,5.55,1019342,-0.2,0.22,-3.6,4.02,0.11,-1
2023-02-28,5.8,5.89,5.72,5.74,921961,-0.06,0.17,-1.13,2.96,0.08,-1
2023-02-27,5.84,6.0,5.8,5.83,483382,-0.01,0.2,-0.17,3.43,0.1,1
2023-02-24,5.82,5.9,5.78,5.8,549070,-0.02,0.11,-0.34,1.98,0.06,-1
2023-02-23,5.92,6.08,5.81,5.92,583905,0.0,0.27,0.0,4.56,0.14,1
2023-02-22,5.94,6.02,5.87,5.88,660564,-0.06,0.14,-1.02,2.47,0.07,-1
2023-02-21,6.26,6.27,5.86,5.94,837363,-0.32,0.4,-5.39,6.82,0.2,-1
2023-02-17,6.12,6.36,6.05,6.33,801101,0.21,0.31,3.32,4.9,0.16,1
2023-02-16,6.16,6.42,6.02,6.12,1004581,-0.04,0.4,-0.65,6.53,0.2,-1
2023-02-15,5.62,6.3,5.21,6.16,2994807,0.54,1.09,8.77,17.78,0.55,-1
2023-02-14,6.44,6.76,6.43,6.73,909227,0.29,0.33,4.31,4.83,0.16,1
2023-02-13,6.52,6.56,6.35,6.51,773169,-0.01,0.21,-0.15,3.23,0.1,1
2023-02-10,6.59,6.59,6.44,6.5,909732,-0.09,0.15,-1.38,2.31,0.07,-1
2023-02-09,6.77,6.85,6.55,6.57,502585,-0.2,0.3,-3.04,4.57,0.15,-1
2023-02-08,6.91,6.93,6.7,6.76,349531,-0.15,0.23,-2.22,3.4,0.11,-1
2023-02-07,6.79,6.94,6.62,6.92,779444,0.13,0.32,1.88,4.62,0.16,1
2023-02-06,6.82,6.9,6.72,6.84,489589,0.02,0.18,0.29,2.56,0.09,-1
2023-02-03,6.98,7.1,6.87,6.9,600370,-0.08,0.23,-1.16,3.33,0.11,-1
2023-02-02,6.85,7.08,6.85,7.0,991694,0.15,0.23,2.14,3.29,0.12,1
2023-02-01,6.85,7.05,6.75,6.86,426439,0.01,0.3,0.15,4.37,0.15,-1
2023-01-31,6.88,6.9,6.68,6.88,762200,0.0,0.22,0.0,3.2,0.11,-1
2023-01-30,6.8,6.97,6.75,6.88,843877,0.08,0.22,1.16,3.16,0.11,1
2023-01-27,6.64,6.85,6.64,6.79,290209,0.15,0.21,2.21,3.09,0.1,1
2023-01-26,6.84,6.91,6.53,6.66,333459,-0.18,0.38,-2.7,5.71,0.19,-1
2023-01-25,6.7,6.88,6.62,6.77,510811,0.07,0.26,1.03,3.84,0.13,-1
2023-01-24,6.9,6.9,6.59,6.78,339991,-0.12,0.31,-1.77,4.57,0.16,-1
2023-01-23,6.8,6.96,6.71,6.9,532839,0.1,0.25,1.45,3.62,0.12,1
2023-01-20,6.58,6.91,6.37,6.7,2465813,0.12,0.54,1.79,8.06,0.27,1
