Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-08-15,10.9,10.9,10.9,10.9,0,0.0,0.0,0.0,0.0,0.0,10.63,10.7,0.05,0.07,-0.02,2939607,48.71,55.0,53.33,1.0,1.67,High Volatility / Hold Signal,11.15,10.63,10.1,0.1,57.81,Target Volume,Expected Range,58.72,Very Strong Trend
2023-08-14,10.9,10.9,10.9,10.9,0,0.0,0.0,0.0,0.0,0.0,10.62,10.7,0.06,0.07,-0.02,2939607,48.71,56.67,55.0,1.0,1.67,High Volatility / Hold Signal,11.14,10.62,10.1,0.1,57.81,Target Volume,Expected Range,58.89,Very Strong Trend
2023-08-11,10.9,10.9,10.9,10.9,0,0.0,0.0,0.0,0.0,0.0,10.61,10.69,0.06,0.08,-0.02,2939607,48.71,58.33,56.67,1.0,1.67,High Volatility / Hold Signal,11.13,10.61,10.09,0.1,57.81,Target Volume,Expected Range,59.06,Very Strong Trend
2023-08-10,10.9,10.9,10.9,10.9,0,0.0,0.0,0.0,0.0,0.0,10.61,10.68,0.06,0.08,-0.02,2939607,48.71,60.0,58.33,1.0,1.67,High Volatility / Hold Signal,11.12,10.61,10.09,0.1,57.81,Target Volume,Expected Range,59.24,Very Strong Trend
2023-08-09,10.9,10.9,10.9,10.9,0,0.0,0.0,0.0,0.0,0.0,10.6,10.68,0.07,0.09,-0.02,2939607,48.71,61.67,60.0,1.0,1.67,High Volatility / Hold Signal,11.11,10.6,10.08,0.1,57.81,Target Volume,Expected Range,59.41,Very Strong Trend
2023-08-08,10.9,10.9,10.9,10.9,0,0.0,0.0,0.0,0.0,0.0,10.59,10.67,0.07,0.09,-0.02,2939607,48.71,63.33,61.67,1.0,1.67,High Volatility / Hold Signal,11.1,10.59,10.08,0.1,57.81,Target Volume,Expected Range,59.6,Very Strong Trend
2023-08-07,10.9,10.9,10.9,10.9,0,0.0,0.0,0.0,0.0,0.0,10.58,10.66,0.08,0.09,-0.02,2939607,48.71,65.0,63.33,1.0,1.67,High Volatility / Hold Signal,11.09,10.58,10.08,0.1,57.81,Target Volume,Expected Range,59.78,Very Strong Trend
2023-08-04,10.9,10.9,10.9,10.9,6,0.0,0.0,0.0,0.0,0.0,10.57,10.65,0.08,0.1,-0.01,2939607,48.71,66.67,65.0,1.0,1.67,High Volatility / Hold Signal,11.07,10.57,10.07,0.09,57.81,Target Volume,Expected Range,59.97,Very Strong Trend
2023-08-03,10.9,10.9,10.9,10.9,3,0.0,0.0,0.0,0.0,0.0,10.57,10.65,0.09,0.1,-0.01,2939607,48.71,68.33,66.67,1.0,1.67,High Volatility / Hold Signal,11.06,10.57,10.07,0.09,57.81,Target Volume,Expected Range,60.16,Very Strong Trend
2023-08-02,10.9,10.9,10.9,10.9,0,0.0,0.0,0.0,0.0,0.0,10.56,10.64,0.09,0.1,-0.01,2939607,48.71,70.0,68.33,1.0,1.67,High Volatility / Hold Signal,11.05,10.56,10.07,0.09,57.81,Target Volume,Expected Range,60.35,Very Strong Trend
2023-08-01,10.9,10.9,10.9,10.9,0,0.0,0.0,0.0,0.0,0.0,10.55,10.63,0.1,0.11,-0.01,2939607,48.71,71.67,70.0,1.0,1.67,High Volatility / Hold Signal,11.03,10.55,10.07,0.09,57.81,Target Volume,Expected Range,60.55,Very Strong Trend
2023-07-31,10.9,10.9,10.9,10.9,3,0.0,0.0,0.0,0.0,0.0,10.54,10.62,0.1,0.11,-0.01,2939607,48.71,73.33,71.67,1.0,1.67,High Volatility / Hold Signal,11.02,10.54,10.07,0.09,57.81,Target Volume,Expected Range,60.75,Very Strong Trend
2023-07-28,10.9,10.9,10.9,10.9,0,0.0,0.0,0.0,0.0,0.0,10.53,10.61,0.11,0.11,-0.0,2939607,48.71,75.0,73.33,1.0,1.67,High Volatility / Hold Signal,11.0,10.53,10.07,0.09,57.81,Target Volume,Expected Range,60.96,Very Strong Trend
2023-07-27,10.9,10.9,10.9,10.9,1,0.0,0.0,0.0,0.0,0.0,10.53,10.6,0.11,0.11,-0.0,2939607,48.71,76.67,75.0,1.0,1.67,High Volatility / Hold Signal,10.98,10.53,10.07,0.09,57.81,Target Volume,Expected Range,61.16,Very Strong Trend
2023-07-26,10.9,10.9,10.9,10.9,0,0.0,0.0,0.0,0.0,0.0,10.52,10.59,0.12,0.11,0.0,2939607,48.71,78.33,76.67,1.0,1.67,High Volatility / Hold Signal,10.98,10.52,10.07,0.09,57.81,Target Volume,Expected Range,61.37,Very Strong Trend
2023-07-25,10.9,10.9,10.9,10.9,0,0.0,0.0,0.0,0.0,0.0,10.52,10.58,0.12,0.11,0.01,2939607,48.71,80.0,78.33,1.0,1.67,High Volatility / Hold Signal,10.97,10.52,10.07,0.09,57.81,Target Volume,Expected Range,61.59,Very Strong Trend
2023-07-24,10.9,10.9,10.9,10.9,0,0.0,0.0,0.0,0.0,0.0,10.52,10.57,0.12,0.11,0.01,2939607,48.71,81.67,80.0,1.0,1.67,High Volatility / Hold Signal,10.97,10.52,10.08,0.08,57.81,Target Volume,Expected Range,61.81,Very Strong Trend
2023-07-21,10.9,10.9,10.9,10.9,0,0.0,0.0,0.0,0.0,0.0,10.52,10.56,0.13,0.11,0.02,2939607,48.71,83.33,81.67,1.0,1.67,High Volatility / Hold Signal,10.95,10.52,10.08,0.08,57.81,Target Volume,Expected Range,62.03,Very Strong Trend
2023-07-20,10.9,10.9,10.9,10.9,0,0.0,0.0,0.0,0.0,0.0,10.51,10.55,0.13,0.1,0.02,2939607,48.71,85.0,83.33,1.0,1.67,High Volatility / Hold Signal,10.94,10.51,10.09,0.08,57.81,Target Volume,Expected Range,62.25,Very Strong Trend
2023-07-19,10.9,10.9,10.9,10.9,11,0.0,0.0,0.0,0.0,0.0,10.5,10.54,0.12,0.1,0.03,2939607,48.71,86.67,85.0,1.0,1.67,High Volatility / Hold Signal,10.92,10.5,10.09,0.08,57.81,Target Volume,Expected Range,62.48,Very Strong Trend
2023-07-18,10.9,10.9,10.9,10.9,0,0.0,0.0,0.0,0.0,0.0,10.5,10.52,0.12,0.09,0.03,2939607,48.71,88.33,86.67,1.0,1.67,High Volatility / Hold Signal,10.9,10.5,10.09,0.08,57.81,Target Volume,Expected Range,62.72,Very Strong Trend
2023-07-17,10.9,10.9,10.9,10.9,724,0.0,0.0,0.0,0.0,0.0,10.49,10.51,0.12,0.09,0.03,2939607,48.71,90.0,88.33,1.0,1.67,High Volatility / Hold Signal,10.88,10.49,10.1,0.07,57.81,Target Volume,Expected Range,62.95,Very Strong Trend
2023-07-14,11.2,11.2,10.6,10.61,2225,-0.59,0.6,-5.61,5.66,0.3,10.48,10.5,0.11,0.08,0.03,2938883,48.71,91.67,90.0,1.0,1.67,High Volatility / Hold Signal,10.86,10.48,10.11,0.07,53.25,Target Volume,Expected Range,63.2,Very Strong Trend
2023-07-13,10.82,10.82,10.82,10.82,171,0.0,0.0,0.0,0.0,0.0,10.48,10.49,0.12,0.07,0.05,2941108,43.16,93.33,91.67,1.0,1.67,High Volatility / Hold Signal,10.85,10.48,10.11,0.07,57.8,Target Volume,Expected Range,63.44,Very Strong Trend
2023-07-12,10.9,10.9,10.9,10.9,179,0.0,0.0,0.0,0.0,0.0,10.47,10.48,0.12,0.06,0.07,2941279,46.44,95.0,93.33,1.0,1.67,High Volatility / Hold Signal,10.84,10.47,10.11,0.07,59.67,Target Volume,Expected Range,63.79,Very Strong Trend
2023-07-11,10.94,10.94,10.94,10.94,205,0.0,0.0,0.0,0.0,0.0,10.47,10.47,0.11,0.04,0.07,2941458,48.11,96.67,95.0,1.0,1.67,High Volatility / Hold Signal,10.81,10.47,10.12,0.07,60.63,Trending Low,Bearish Trend,64.08,Very Strong Trend
