Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-08-08,21.43,21.81,21.31,21.78,3959353,0.35,0.5,1.61,2.3,0.25,25.26,25.69,-0.75,-0.12,-0.63,45192793,13.59,76.67,100.0,-1.0,-23.33,Weak Sell Signal,28.51,25.26,22.01,0.26,43.85,Target Volume,Expected Range,7.17,Absent or Weak Trend
2023-08-07,24.16,24.16,21.56,21.71,4095758,-2.45,2.6,-11.29,11.97,1.3,25.32,25.83,-0.54,0.04,-0.57,41233440,12.96,78.33,100.0,-1.0,-21.67,Weak Sell Signal,28.44,25.32,22.2,0.25,43.75,Target Volume,Expected Range,7.06,Absent or Weak Trend
2023-08-04,24.26,25.06,23.9,24.45,986775,0.19,1.16,0.78,4.74,0.58,25.38,25.97,-0.24,0.18,-0.42,45329198,6.8,80.0,21.67,1.0,58.33,Weak Buy Signal,28.36,25.38,22.4,0.23,46.86,Target Volume,Expected Range,6.96,Absent or Weak Trend
2023-08-03,24.05,24.41,23.64,24.4,893401,0.35,0.77,1.43,3.16,0.38,25.38,26.02,-0.14,0.29,-0.43,44342423,8.91,81.67,23.33,1.0,58.33,Weak Buy Signal,28.36,25.38,22.4,0.23,46.79,Target Volume,Expected Range,6.96,Absent or Weak Trend
2023-08-02,24.62,24.67,23.69,23.97,860249,-0.65,0.98,-2.71,4.08,0.49,25.4,26.07,-0.0,0.39,-0.4,43449022,8.77,83.33,25.0,1.0,58.33,Weak Buy Signal,28.36,25.4,22.43,0.23,46.21,Target Volume,Expected Range,6.93,Absent or Weak Trend
2023-08-01,25.91,26.0,24.91,24.94,755480,-0.97,1.09,-3.89,4.37,0.54,25.43,26.14,0.21,0.49,-0.28,44309271,5.37,85.0,26.67,1.0,58.33,Weak Buy Signal,28.37,25.43,22.48,0.23,47.36,Target Volume,Expected Range,6.9,Absent or Weak Trend
2023-07-31,26.25,26.74,25.86,26.11,779121,-0.14,0.88,-0.54,3.37,0.44,25.42,26.18,0.39,0.57,-0.18,45064751,2.6,86.67,28.33,1.0,58.33,Weak Buy Signal,28.37,25.42,22.46,0.23,48.79,Target Volume,Expected Range,6.92,Absent or Weak Trend
2023-07-28,26.75,26.94,25.9,26.02,613764,-0.73,1.04,-2.81,4.0,0.52,25.41,26.19,0.48,0.61,-0.13,44285630,2.48,88.33,30.0,1.0,58.33,Weak Buy Signal,28.36,25.41,22.46,0.23,48.68,Target Volume,Expected Range,7.0,Absent or Weak Trend
2023-07-27,26.89,27.13,26.04,26.31,541940,-0.58,1.09,-2.2,4.14,0.54,25.38,26.19,0.61,0.64,-0.03,44899394,2.07,90.0,31.67,1.0,58.33,Weak Buy Signal,28.34,25.38,22.43,0.23,49.03,Target Volume,Expected Range,7.07,Absent or Weak Trend
2023-07-26,27.0,27.62,26.78,27.04,625017,0.04,0.84,0.15,3.11,0.42,25.4,26.19,0.74,0.65,0.09,45441334,0.12,91.67,33.33,1.0,58.33,Weak Buy Signal,28.38,25.4,22.42,0.23,49.94,Target Volume,Expected Range,7.16,Absent or Weak Trend
2023-07-25,27.68,27.98,27.15,27.24,750189,-0.44,0.83,-1.62,3.05,0.42,25.41,26.16,0.81,0.63,0.18,46066351,1.23,93.33,35.0,1.0,58.33,Weak Buy Signal,28.43,25.41,22.4,0.24,50.19,Target Volume,Expected Range,7.28,Absent or Weak Trend
2023-07-24,28.34,28.51,27.64,27.68,576828,-0.66,0.87,-2.38,3.13,0.43,25.42,26.12,0.87,0.58,0.29,46816540,2.73,95.0,36.67,1.0,58.33,Weak Buy Signal,28.45,25.42,22.39,0.24,50.74,Target Volume,Expected Range,7.38,Absent or Weak Trend
2023-07-21,28.76,28.76,27.86,28.09,534327,-0.67,0.9,-2.39,3.19,0.45,25.39,26.07,0.89,0.51,0.38,47393368,3.4,96.67,38.33,1.0,58.33,Weak Buy Signal,28.37,25.39,22.41,0.23,51.26,Target Volume,Expected Range,7.46,Absent or Weak Trend
2023-07-20,29.06,29.13,28.2,28.34,737685,-0.72,0.93,-2.54,3.3,0.47,25.38,26.0,0.86,0.41,0.45,47927695,4.4,98.33,40.0,1.0,58.33,Weak Buy Signal,28.33,25.38,22.43,0.23,51.57,Target Volume,Expected Range,7.53,Absent or Weak Trend
2023-07-19,28.82,29.43,28.61,29.31,785056,0.49,0.82,1.67,2.8,0.41,25.39,25.92,0.79,0.3,0.49,48665380,5.67,100.0,41.67,1.0,58.33,Weak Buy Signal,28.35,25.39,22.42,0.23,52.8,Target Volume,Expected Range,7.58,Absent or Weak Trend
2023-07-18,27.78,28.66,27.72,28.56,978232,0.78,0.95,2.73,3.31,0.47,25.37,25.81,0.59,0.18,0.41,47880324,3.54,100.0,43.33,1.0,56.67,Weak Buy Signal,28.24,25.37,22.49,0.23,51.93,Target Volume,Expected Range,7.61,Absent or Weak Trend
2023-07-17,26.15,27.72,25.98,27.62,686998,1.47,1.74,5.32,6.3,0.87,25.35,25.71,0.39,0.07,0.32,46902092,0.85,5.0,45.0,-1.0,-40.0,Weak Sell Signal,28.18,25.35,22.53,0.22,50.81,Target Volume,Expected Range,7.68,Absent or Weak Trend
2023-07-14,26.6,26.7,25.97,26.2,517302,-0.4,0.73,-1.53,2.79,0.37,25.36,25.65,0.24,-0.01,0.24,46215094,2.22,6.67,46.67,-1.0,-40.0,Weak Sell Signal,28.23,25.36,22.5,0.23,49.04,Target Volume,Expected Range,7.8,Absent or Weak Trend
2023-07-13,26.6,26.83,26.41,26.66,644186,0.06,0.42,0.23,1.58,0.21,25.4,25.63,0.18,-0.07,0.25,46732396,0.93,8.33,48.33,-1.0,-40.0,Weak Sell Signal,28.33,25.4,22.46,0.23,49.61,Target Volume,Expected Range,7.89,Absent or Weak Trend
2023-07-12,26.43,26.76,26.04,26.37,900687,-0.06,0.72,-0.23,2.73,0.36,25.42,25.6,0.06,-0.13,0.18,46088210,1.14,10.0,50.0,-1.0,-40.0,Weak Sell Signal,28.42,25.42,22.42,0.24,49.24,Target Volume,Expected Range,8.01,Absent or Weak Trend
2023-07-11,25.37,25.79,25.16,25.64,523381,0.27,0.62,1.05,2.43,0.31,25.44,25.57,-0.07,-0.17,0.1,45187523,4.08,11.67,51.67,-1.0,-40.0,Weak Sell Signal,28.47,25.44,22.4,0.24,48.32,Target Volume,Expected Range,8.13,Absent or Weak Trend
2023-07-10,24.5,25.43,24.5,25.27,669512,0.77,0.93,3.05,3.68,0.46,25.48,25.57,-0.16,-0.2,0.04,44664142,5.19,13.33,53.33,-1.0,-40.0,Weak Sell Signal,28.59,25.48,22.37,0.24,47.84,Target Volume,Expected Range,8.2,Absent or Weak Trend
2023-07-07,24.03,25.0,23.96,24.64,569321,0.61,1.04,2.48,4.22,0.52,25.52,25.58,-0.24,-0.21,-0.03,43994630,6.53,15.0,55.0,-1.0,-40.0,Weak Sell Signal,28.67,25.52,22.36,0.25,47.03,Target Volume,Expected Range,8.25,Absent or Weak Trend
2023-07-06,24.0,24.18,23.41,23.97,556742,-0.03,0.77,-0.13,3.22,0.39,25.57,25.61,-0.26,-0.2,-0.06,43425309,9.14,16.67,56.67,-1.0,-40.0,Weak Sell Signal,28.78,25.57,22.37,0.25,46.15,Target Volume,Expected Range,8.27,Absent or Weak Trend
2023-07-05,24.55,24.81,24.24,24.45,531932,-0.1,0.57,-0.41,2.33,0.29,25.63,25.66,-0.23,-0.19,-0.04,43982051,6.86,18.33,58.33,-1.0,-40.0,Weak Sell Signal,28.85,25.63,22.41,0.25,46.7,Target Volume,Expected Range,8.26,Absent or Weak Trend
2023-07-03,24.6,25.14,24.56,24.74,416957,0.14,0.58,0.57,2.34,0.29,25.68,25.71,-0.22,-0.18,-0.05,44513983,5.97,20.0,60.0,-1.0,-40.0,Weak Sell Signal,28.91,25.68,22.45,0.25,47.03,Target Volume,Expected Range,8.28,Absent or Weak Trend
2023-06-30,25.55,25.55,24.86,25.0,671211,-0.55,0.69,-2.2,2.74,0.34,25.72,25.74,-0.24,-0.16,-0.08,44097026,5.97,21.67,61.67,-1.0,-40.0,Weak Sell Signal,28.96,25.72,22.47,0.25,46.86,Target Volume,Expected Range,8.32,Absent or Weak Trend
2023-06-29,24.62,25.5,24.52,25.12,744659,0.5,0.98,1.99,3.9,0.49,25.77,25.78,-0.26,-0.14,-0.11,44768237,6.12,0.0,63.33,-1.0,-63.33,Weak Sell Signal,29.04,25.77,22.5,0.25,46.99,Target Volume,Expected Range,8.36,Absent or Weak Trend
2023-06-28,24.38,24.67,24.12,24.55,767555,0.17,0.55,0.69,2.26,0.28,25.82,25.81,-0.28,-0.12,-0.16,44023578,8.64,1.67,65.0,-1.0,-63.33,Weak Sell Signal,29.1,25.82,22.53,0.25,46.29,Target Volume,Expected Range,8.4,Absent or Weak Trend
2023-06-27,24.27,24.61,23.98,24.42,664458,0.15,0.63,0.61,2.59,0.32,25.88,25.87,-0.25,-0.07,-0.17,43256023,8.84,3.33,66.67,-1.0,-63.33,Weak Sell Signal,29.19,25.88,22.57,0.26,46.13,Target Volume,Expected Range,8.4,Absent or Weak Trend
2023-06-26,23.73,24.38,23.54,24.11,823986,0.38,0.84,1.58,3.48,0.42,25.94,25.93,-0.19,-0.03,-0.16,42591565,9.54,5.0,68.33,-1.0,-63.33,Weak Sell Signal,29.24,25.94,22.64,0.25,45.75,Target Volume,Expected Range,8.39,Absent or Weak Trend
2023-06-23,24.05,24.37,23.6,23.74,1601046,-0.31,0.77,-1.31,3.24,0.38,25.99,26.01,-0.09,0.01,-0.1,41767579,9.39,6.67,70.0,-1.0,-63.33,Weak Sell Signal,29.25,25.99,22.73,0.25,45.3,Target Volume,Expected Range,8.37,Absent or Weak Trend
2023-06-22,25.37,25.6,24.46,24.56,796963,-0.81,1.14,-3.3,4.64,0.57,26.03,26.09,0.09,0.03,0.05,43368625,7.23,8.33,71.67,-1.0,-63.33,Weak Sell Signal,29.22,26.03,22.84,0.24,46.14,Target Volume,Expected Range,8.35,Absent or Weak Trend
2023-06-21,25.68,26.3,25.3,25.6,893496,-0.08,1.0,-0.31,3.91,0.5,26.05,26.16,0.23,0.02,0.21,44165588,5.05,10.0,73.33,-1.0,-63.33,Weak Sell Signal,29.21,26.05,22.9,0.24,47.22,Target Volume,Expected Range,8.37,Absent or Weak Trend
2023-06-20,26.73,26.93,26.16,26.17,850471,-0.56,0.77,-2.14,2.94,0.38,26.05,26.19,0.3,-0.03,0.33,45059084,2.75,11.67,75.0,-1.0,-63.33,Weak Sell Signal,29.21,26.05,22.9,0.24,47.83,Target Volume,Expected Range,8.43,Absent or Weak Trend
2023-06-16,28.42,28.42,26.57,27.14,2901309,-1.28,1.85,-4.72,6.82,0.93,26.04,26.21,0.32,-0.11,0.44,45909555,1.64,13.33,76.67,-1.0,-63.33,Weak Sell Signal,29.21,26.04,22.86,0.24,48.89,Target Volume,Expected Range,8.52,Absent or Weak Trend
2023-06-15,27.3,28.55,27.11,28.41,895199,1.11,1.44,3.91,5.07,0.72,26.01,26.19,0.25,-0.22,0.48,48810864,0.16,15.0,78.33,-1.0,-63.33,Weak Sell Signal,29.19,26.01,22.83,0.24,50.31,Target Volume,Expected Range,8.64,Absent or Weak Trend
2023-06-14,27.19,27.86,27.05,27.48,1309290,0.29,0.81,1.06,2.95,0.4,25.96,26.13,0.04,-0.34,0.38,47915665,2.09,16.67,80.0,-1.0,-63.33,Weak Sell Signal,29.1,25.96,22.81,0.24,49.25,Target Volume,Expected Range,8.78,Absent or Weak Trend
2023-06-13,25.69,26.97,25.61,26.93,1732976,1.24,1.36,4.6,5.05,0.68,25.89,26.1,-0.15,-0.44,0.29,46606375,4.65,18.33,81.67,-1.0,-63.33,Weak Sell Signal,29.1,25.89,22.69,0.25,48.6,Target Volume,Expected Range,8.9,Absent or Weak Trend
2023-06-12,24.44,25.5,24.31,25.37,1206132,0.93,1.19,3.67,4.69,0.6,25.84,26.08,-0.33,-0.51,0.18,44873399,9.1,20.0,83.33,-1.0,-63.33,Weak Sell Signal,29.12,25.84,22.56,0.25,46.73,Target Volume,Expected Range,8.97,Absent or Weak Trend
2023-06-09,25.69,25.76,24.42,24.45,647476,-1.24,1.34,-5.07,5.48,0.67,25.81,26.12,-0.39,-0.56,0.16,43667267,8.81,21.67,85.0,-1.0,-63.33,Weak Sell Signal,29.15,25.81,22.47,0.26,45.57,Target Volume,Expected Range,8.97,Absent or Weak Trend
