Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-08-23,43.89,44.93,43.89,44.92,1612562,1.03,1.04,2.29,2.32,0.52,42.61,43.81,0.27,0.68,-0.41,121045547,0.44,85.0,3.33,1.0,81.67,Strong Buy Signal,48.41,42.61,36.81,0.27,51.14,Target Volume,Expected Range,5.3,Absent or Weak Trend
2023-08-22,43.36,43.9,42.69,43.28,1491330,-0.08,1.21,-0.18,2.8,0.61,42.5,43.77,0.27,0.78,-0.51,119432985,1.45,86.67,5.0,1.0,81.67,Strong Buy Signal,48.39,42.5,36.6,0.28,49.69,Target Volume,Expected Range,5.39,Absent or Weak Trend
2023-08-21,43.16,43.4,41.86,43.11,1800924,-0.05,1.54,-0.12,3.57,0.77,42.41,43.79,0.44,0.91,-0.47,117941655,2.38,88.33,6.67,1.0,81.67,Strong Buy Signal,48.41,42.41,36.41,0.28,49.54,Target Volume,Expected Range,5.45,Absent or Weak Trend
2023-08-18,43.45,44.27,42.93,43.92,1619715,0.47,1.34,1.07,3.05,0.67,42.31,43.81,0.67,1.03,-0.36,119742579,0.46,90.0,8.33,1.0,81.67,Strong Buy Signal,48.44,42.31,36.19,0.29,50.25,Target Volume,Expected Range,5.5,Absent or Weak Trend
2023-08-17,46.34,46.62,44.87,44.89,986933,-1.45,1.75,-3.23,3.9,0.88,42.25,43.81,0.86,1.12,-0.26,121362294,3.15,91.67,10.0,1.0,81.67,Strong Buy Signal,48.39,42.25,36.1,0.29,51.12,Target Volume,Expected Range,5.59,Absent or Weak Trend
2023-08-16,45.45,45.48,44.13,45.25,831934,-0.2,1.35,-0.44,2.99,0.68,42.2,43.77,1.0,1.18,-0.18,122349227,1.08,93.33,11.67,1.0,81.67,Strong Buy Signal,48.3,42.2,36.09,0.29,51.44,Target Volume,Expected Range,5.63,Absent or Weak Trend
2023-08-15,45.77,46.24,45.29,45.96,1210146,0.19,0.95,0.41,2.07,0.48,42.14,43.72,1.13,1.23,-0.1,123181161,3.3,95.0,13.33,1.0,81.67,Strong Buy Signal,48.19,42.14,36.08,0.29,52.08,Target Volume,Expected Range,5.71,Absent or Weak Trend
2023-08-14,44.22,46.24,44.02,45.86,1171374,1.64,2.21,3.58,4.83,1.11,42.06,43.64,1.2,1.25,-0.05,121971015,3.29,96.67,15.0,1.0,81.67,Strong Buy Signal,48.04,42.06,36.09,0.28,51.99,Target Volume,Expected Range,5.75,Absent or Weak Trend
2023-08-11,45.08,45.56,44.31,44.99,1595701,-0.09,1.25,-0.2,2.77,0.62,42.0,43.57,1.29,1.27,0.02,120799641,2.08,98.33,16.67,1.0,81.67,Strong Buy Signal,47.9,42.0,36.11,0.28,51.28,Target Volume,Expected Range,5.79,Absent or Weak Trend
2023-08-10,48.04,48.84,46.71,46.93,980041,-1.11,2.13,-2.37,4.54,1.07,41.97,43.52,1.47,1.26,0.21,122395342,6.74,100.0,18.33,1.0,81.67,Strong Buy Signal,47.81,41.97,36.12,0.28,53.01,Target Volume,Expected Range,5.85,Absent or Weak Trend
2023-08-09,47.0,47.99,45.5,47.79,1349874,0.79,2.49,1.65,5.21,1.25,41.91,43.4,1.48,1.21,0.27,123375383,5.23,88.33,20.0,1.0,68.33,Weak Buy Signal,47.63,41.91,36.2,0.27,53.81,Target Volume,Expected Range,5.84,Absent or Weak Trend
2023-08-08,45.36,46.86,44.61,46.73,1172123,1.37,2.25,2.93,4.81,1.12,41.81,43.26,1.39,1.14,0.24,122025509,3.19,90.0,21.67,1.0,68.33,Weak Buy Signal,47.32,41.81,36.3,0.26,52.95,Target Volume,Expected Range,5.85,Absent or Weak Trend
2023-08-07,46.49,46.92,45.84,46.55,790673,0.06,1.09,0.13,2.33,0.54,41.75,43.14,1.35,1.08,0.27,120853386,5.62,91.67,23.33,1.0,68.33,Weak Buy Signal,47.12,41.75,36.38,0.26,52.81,Target Volume,Expected Range,5.89,Absent or Weak Trend
2023-08-04,46.07,46.54,45.62,45.96,990242,-0.11,0.92,-0.24,2.0,0.46,41.67,43.02,1.31,1.01,0.3,120062713,4.94,93.33,25.0,1.0,68.33,Weak Buy Signal,46.89,41.67,36.45,0.25,52.33,Target Volume,Expected Range,5.9,Absent or Weak Trend
2023-08-03,45.32,46.17,44.86,46.13,1797891,0.81,1.31,1.76,2.84,0.66,41.6,42.92,1.29,0.94,0.35,121052955,4.27,95.0,26.67,1.0,68.33,Weak Buy Signal,46.7,41.6,36.5,0.25,52.48,Target Volume,Expected Range,5.91,Absent or Weak Trend
2023-08-02,45.12,45.52,43.73,44.14,1484005,-0.98,1.8,-2.22,4.07,0.9,41.57,42.81,1.23,0.85,0.38,119255064,3.11,96.67,28.33,1.0,68.33,Weak Buy Signal,46.57,41.57,36.57,0.24,50.86,Target Volume,Expected Range,5.94,Absent or Weak Trend
2023-08-01,46.8,46.8,45.5,46.12,857765,-0.68,1.3,-1.47,2.81,0.65,41.58,42.77,1.35,0.75,0.59,120739069,6.6,98.33,30.0,1.0,68.33,Weak Buy Signal,46.62,41.58,36.54,0.24,52.62,Target Volume,Expected Range,5.99,Absent or Weak Trend
2023-07-31,47.97,48.25,47.16,48.04,1043612,0.07,1.09,0.15,2.27,0.55,41.57,42.66,1.27,0.6,0.66,121596834,10.02,100.0,31.67,1.0,68.33,Weak Buy Signal,46.56,41.57,36.58,0.24,54.41,Target Volume,Expected Range,5.98,Absent or Weak Trend
2023-07-28,45.75,47.92,45.54,47.74,1763877,1.99,2.39,4.17,5.0,1.19,41.51,42.47,0.96,0.44,0.52,120553222,9.45,100.0,33.33,1.0,66.67,Weak Buy Signal,46.29,41.51,36.74,0.23,54.17,Target Volume,Expected Range,5.91,Absent or Weak Trend
