Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-21,10.62,10.62,10.62,10.62,35,0.0,0.0,0.0,0.0,0.0,-1
2023-07-20,10.62,10.62,10.62,10.62,0,0.0,0.0,0.0,0.0,0.0,-1
2023-07-19,10.62,10.62,10.62,10.62,112,0.0,0.0,0.0,0.0,0.0,-1
2023-07-18,10.62,10.62,10.62,10.62,135,0.0,0.0,0.0,0.0,0.0,-1
2023-07-17,10.51,10.62,10.51,10.62,400,0.11,0.11,1.04,1.04,0.05,1
2023-07-14,10.5,10.51,10.5,10.51,773,0.01,0.01,0.1,0.1,0.0,-1
2023-07-13,10.52,10.52,10.52,10.52,120,0.0,0.0,0.0,0.0,0.0,1
2023-07-12,10.45,10.45,10.45,10.45,0,0.0,0.0,0.0,0.0,0.0,-1
2023-07-11,10.45,10.45,10.45,10.45,5,0.0,0.0,0.0,0.0,0.0,-1
2023-07-10,10.45,10.45,10.45,10.45,32,0.0,0.0,0.0,0.0,0.0,-1
2023-07-07,10.45,10.45,10.45,10.45,0,0.0,0.0,0.0,0.0,0.0,-1
2023-07-06,10.45,10.45,10.45,10.45,0,0.0,0.0,0.0,0.0,0.0,-1
2023-07-05,10.45,10.45,10.45,10.45,5,0.0,0.0,0.0,0.0,0.0,-1
2023-07-03,10.88,10.88,10.45,10.45,1201,-0.43,0.43,-4.11,4.11,0.22,-1
2023-06-30,10.47,10.47,10.47,10.47,47,0.0,0.0,0.0,0.0,0.0,-1
2023-06-29,10.47,10.47,10.47,10.47,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-28,10.47,10.47,10.47,10.47,6,0.0,0.0,0.0,0.0,0.0,-1
2023-06-27,10.47,10.47,10.47,10.47,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-26,11.02,11.27,10.46,10.47,1321,-0.55,0.81,-5.25,7.73,0.4,-1
2023-06-23,11.02,11.02,10.44,10.5,4417,-0.51,0.57,-4.85,5.43,0.29,-1
2023-06-22,11.01,11.01,10.5,10.54,4983,-0.46,0.51,-4.41,4.84,0.25,1
2023-06-21,10.47,10.47,10.47,10.47,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-20,10.47,10.47,10.47,10.47,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-16,10.37,10.74,10.37,10.47,3578,0.1,0.37,0.96,3.52,0.18,1
2023-06-15,10.47,10.48,10.46,10.46,6375,-0.01,0.02,-0.1,0.19,0.01,-1
2023-06-14,10.48,10.5,10.47,10.47,1147,-0.01,0.03,-0.1,0.29,0.01,1
2023-06-13,10.44,10.44,10.44,10.44,91,0.0,0.0,0.0,0.0,0.0,-1
2023-06-12,10.5,10.5,10.44,10.44,435,-0.06,0.06,-0.57,0.57,0.03,1
2023-06-09,10.43,10.43,10.43,10.43,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-08,10.43,10.43,10.43,10.43,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-07,10.43,10.43,10.43,10.43,15,0.0,0.0,0.0,0.0,0.0,-1
2023-06-06,10.43,10.43,10.43,10.43,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-05,10.42,10.43,10.42,10.43,16173,0.01,0.01,0.1,0.1,0.0,1
2023-06-02,10.42,10.42,10.42,10.42,6,0.0,0.0,0.0,0.0,0.0,-1
2023-06-01,10.42,10.42,10.42,10.42,870,0.0,0.0,0.0,0.0,0.0,1
2023-05-31,10.39,10.39,10.39,10.39,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-30,10.39,10.4,10.39,10.39,29048,-0.0,0.01,-0.0,0.1,0.01,1
2023-05-26,10.37,10.37,10.37,10.37,1200,-0.0,0.0,-0.0,0.0,0.0,-1
2023-05-25,10.38,10.39,10.38,10.39,11208,0.01,0.01,0.09,0.1,0.0,1
2023-05-24,10.37,10.37,10.37,10.37,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-23,10.41,10.43,10.37,10.37,14969,-0.04,0.06,-0.39,0.58,0.03,-1
