Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-08-08,171.51,176.05,170.52,175.05,360734,3.54,5.53,2.02,3.16,2.76,155.18,158.59,3.55,3.65,-0.09,50129501,8.88,100.0,0.0,1.0,100.0,Strong Buy Signal,177.06,155.18,133.3,0.28,56.51,Target Volume,Expected Range,10.51,Absent or Weak Trend
2023-08-07,168.48,174.21,168.48,173.86,326460,5.38,5.73,3.09,3.3,2.87,154.54,158.03,3.19,3.67,-0.47,49768767,7.66,100.0,0.0,1.0,100.0,Strong Buy Signal,176.29,154.54,132.78,0.28,56.15,Target Volume,Expected Range,10.54,Absent or Weak Trend
2023-08-04,162.53,169.59,162.53,168.35,305356,5.82,7.06,3.46,4.19,3.53,153.92,157.5,2.81,3.79,-0.98,49442307,4.51,80.0,0.0,1.0,80.0,Strong Buy Signal,175.54,153.92,132.3,0.28,54.42,Target Volume,Expected Range,10.59,Absent or Weak Trend
2023-08-03,162.83,167.06,159.06,164.32,554290,1.49,8.0,0.91,4.87,4.0,153.33,157.13,2.84,4.03,-1.19,49136951,2.72,81.67,1.67,1.0,80.0,Strong Buy Signal,175.3,153.33,131.35,0.29,53.09,Target Volume,Expected Range,10.69,Absent or Weak Trend
2023-08-02,163.19,166.5,161.35,165.51,343590,2.32,5.15,1.4,3.11,2.57,152.78,156.89,3.25,4.33,-1.08,49691241,4.46,83.33,3.33,1.0,80.0,Strong Buy Signal,175.25,152.78,130.31,0.29,53.55,Target Volume,Expected Range,10.83,Absent or Weak Trend
2023-08-01,165.04,166.37,162.27,165.6,570836,0.56,4.1,0.34,2.48,2.05,152.28,156.59,3.61,4.6,-0.99,50034831,5.16,85.0,0.0,1.0,85.0,Strong Buy Signal,174.93,152.28,129.63,0.3,53.58,Target Volume,Expected Range,10.94,Absent or Weak Trend
2023-07-31,165.37,168.69,165.37,166.55,301158,1.18,3.32,0.71,1.99,1.66,151.75,156.29,4.0,4.85,-0.85,50605667,7.57,86.67,1.67,1.0,85.0,Strong Buy Signal,174.63,151.75,128.87,0.3,53.94,Target Volume,Expected Range,11.03,Absent or Weak Trend
2023-07-28,166.99,168.65,164.4,165.71,332816,-1.28,4.25,-0.77,2.56,2.12,151.21,155.94,4.34,5.06,-0.72,50304509,7.54,88.33,3.33,1.0,85.0,Strong Buy Signal,174.19,151.21,128.24,0.3,53.67,Target Volume,Expected Range,11.09,Absent or Weak Trend
2023-07-27,172.62,172.62,162.89,164.5,336419,-8.12,9.73,-4.94,5.91,4.87,150.72,155.61,4.8,5.24,-0.44,49971693,7.54,90.0,5.0,1.0,85.0,Strong Buy Signal,173.69,150.72,127.75,0.3,53.29,Target Volume,Expected Range,11.15,Absent or Weak Trend
2023-07-26,169.23,172.13,167.86,171.53,231242,2.3,4.26,1.34,2.49,2.13,150.29,155.31,5.44,5.35,0.09,50308112,11.43,91.67,6.67,1.0,85.0,Strong Buy Signal,173.18,150.29,127.41,0.3,55.94,Target Volume,Expected Range,11.21,Absent or Weak Trend
2023-07-25,166.71,170.02,166.71,169.31,294534,2.6,3.31,1.54,1.95,1.66,149.75,154.76,5.46,5.32,0.14,50076870,10.07,93.33,8.33,1.0,85.0,Strong Buy Signal,172.13,149.75,127.37,0.3,55.25,Target Volume,Expected Range,11.21,Absent or Weak Trend
2023-07-24,170.64,172.24,168.13,168.32,205041,-2.32,4.11,-1.38,2.44,2.06,149.2,154.27,5.64,5.29,0.35,49782336,11.2,95.0,10.0,1.0,85.0,Strong Buy Signal,171.26,149.2,127.15,0.3,54.94,Target Volume,Expected Range,11.23,Absent or Weak Trend
2023-07-21,170.25,170.25,167.16,169.56,242030,-0.69,3.09,-0.41,1.82,1.55,148.52,153.79,5.88,5.2,0.68,49987377,9.93,96.67,11.67,1.0,85.0,Strong Buy Signal,170.7,148.52,126.33,0.3,55.41,Target Volume,Expected Range,11.23,Absent or Weak Trend
2023-07-20,172.66,172.66,168.54,169.45,223349,-3.21,4.12,-1.89,2.43,2.06,147.83,153.25,5.98,5.03,0.95,49745347,11.01,98.33,13.33,1.0,85.0,Strong Buy Signal,169.93,147.83,125.72,0.3,55.38,Target Volume,Expected Range,11.25,Absent or Weak Trend
2023-07-19,172.95,173.38,170.18,171.49,252371,-1.46,3.2,-0.85,1.87,1.6,147.16,152.71,6.03,4.79,1.24,49968696,12.3,100.0,15.0,1.0,85.0,Strong Buy Signal,169.02,147.16,125.3,0.3,56.14,Target Volume,Expected Range,11.26,Absent or Weak Trend
2023-07-18,168.96,172.1,168.96,171.39,214720,2.43,3.14,1.42,1.83,1.57,146.51,152.07,5.8,4.48,1.31,49716325,11.52,100.0,16.67,1.0,83.33,Strong Buy Signal,167.74,146.51,125.29,0.29,56.12,Target Volume,Expected Range,11.24,Absent or Weak Trend
2023-07-17,166.6,168.86,165.21,168.66,168183,2.06,3.65,1.22,2.16,1.83,145.91,151.41,5.43,4.16,1.27,49501605,9.48,98.33,18.33,1.0,80.0,Strong Buy Signal,166.32,145.91,125.5,0.28,55.31,Target Volume,Expected Range,11.23,Absent or Weak Trend
2023-07-14,170.33,171.04,165.88,166.83,235623,-3.5,5.16,-2.1,3.09,2.58,145.39,150.83,5.16,3.84,1.32,49333422,10.0,100.0,20.0,1.0,80.0,Strong Buy Signal,165.03,145.39,125.75,0.27,54.76,Target Volume,Expected Range,11.26,Absent or Weak Trend
2023-07-13,166.51,170.67,166.51,170.56,360706,4.05,4.16,2.37,2.44,2.08,144.89,150.29,4.92,3.51,1.41,49569045,10.47,100.0,21.67,1.0,78.33,Strong Buy Signal,163.83,144.89,125.95,0.26,56.14,Target Volume,Expected Range,11.28,Absent or Weak Trend
2023-07-12,167.36,168.52,164.82,165.66,289020,-1.7,3.69,-1.03,2.23,1.85,144.36,149.6,4.16,3.16,1.01,49208339,9.14,100.0,23.33,1.0,76.67,Strong Buy Signal,162.15,144.36,126.58,0.25,54.67,Target Volume,Expected Range,11.3,Absent or Weak Trend
2023-07-11,161.98,164.79,161.84,163.2,423448,1.22,2.94,0.75,1.8,1.47,143.84,149.06,3.64,2.9,0.74,48919319,6.79,100.0,25.0,1.0,75.0,Strong Buy Signal,160.92,143.84,126.75,0.24,53.91,Target Volume,Expected Range,11.33,Absent or Weak Trend
2023-07-10,155.3,160.71,155.3,160.51,326934,5.21,5.41,3.25,3.37,2.7,143.37,148.58,3.17,2.72,0.45,48495871,4.11,100.0,26.67,1.0,73.33,Strong Buy Signal,159.83,143.37,126.92,0.23,53.06,Target Volume,Expected Range,11.41,Absent or Weak Trend
2023-07-07,152.74,157.04,152.74,156.28,418872,3.54,4.3,2.27,2.75,2.15,142.95,148.17,2.8,2.61,0.19,48168937,1.61,95.0,28.33,1.0,66.67,Weak Buy Signal,158.92,142.95,126.97,0.22,51.68,Target Volume,Expected Range,11.54,Absent or Weak Trend
2023-07-06,153.63,154.42,151.64,153.17,254953,-0.46,2.78,-0.3,1.81,1.39,142.63,147.9,2.71,2.56,0.15,47750065,0.22,96.67,30.0,1.0,66.67,Weak Buy Signal,158.29,142.63,126.96,0.22,50.63,Target Volume,Expected Range,11.7,Absent or Weak Trend
2023-07-05,154.04,157.0,152.58,156.15,299355,2.11,4.42,1.35,2.83,2.21,142.34,147.72,2.87,2.52,0.35,48005018,0.44,98.33,31.67,1.0,66.67,Weak Buy Signal,157.85,142.34,126.83,0.22,51.69,Target Volume,Expected Range,11.9,Absent or Weak Trend
2023-07-03,155.34,158.68,153.99,155.46,197058,0.12,4.69,0.08,3.02,2.35,142.04,147.43,2.74,2.43,0.31,47705663,1.42,100.0,33.33,1.0,66.67,Weak Buy Signal,157.16,142.04,126.92,0.21,51.46,Target Volume,Expected Range,12.09,Absent or Weak Trend
2023-06-30,156.95,157.14,154.2,155.8,528411,-1.15,2.94,-0.74,1.89,1.47,141.75,147.16,2.6,2.35,0.25,47902721,0.37,100.0,35.0,1.0,65.0,Weak Buy Signal,156.49,141.75,127.01,0.21,51.58,Target Volume,Expected Range,12.27,Absent or Weak Trend
2023-06-29,150.95,155.56,150.95,155.32,261190,4.37,4.61,2.81,2.96,2.3,141.5,146.87,2.35,2.29,0.06,47374310,0.72,100.0,36.67,1.0,63.33,Weak Buy Signal,155.78,141.5,127.22,0.2,51.42,Target Volume,Expected Range,12.47,Absent or Weak Trend
2023-06-28,151.1,152.51,149.29,152.07,255851,0.97,3.22,0.64,2.12,1.61,141.33,146.58,2.05,2.28,-0.23,47113120,2.85,85.0,38.33,1.0,46.67,Weak Buy Signal,155.19,141.33,127.47,0.2,50.35,Target Volume,Expected Range,12.67,Absent or Weak Trend
2023-06-27,149.89,153.72,148.95,152.01,274704,2.12,4.77,1.39,3.14,2.39,141.22,146.39,1.96,2.34,-0.38,46857269,2.85,86.67,40.0,1.0,46.67,Weak Buy Signal,154.84,141.22,127.6,0.19,50.33,Target Volume,Expected Range,12.84,Absent or Weak Trend
2023-06-26,146.98,152.11,146.98,149.34,289520,2.36,5.13,1.58,3.44,2.57,141.04,146.2,1.82,2.43,-0.61,46582565,3.97,88.33,41.67,1.0,46.67,Weak Buy Signal,154.37,141.04,127.72,0.19,49.45,Target Volume,Expected Range,13.01,Absent or Weak Trend
2023-06-23,146.41,146.58,143.07,146.03,682907,-0.38,3.51,-0.26,2.4,1.76,140.9,146.1,1.89,2.58,-0.69,46293045,7.95,90.0,43.33,1.0,46.67,Weak Buy Signal,154.05,140.9,127.75,0.19,48.33,Target Volume,Expected Range,13.16,Absent or Weak Trend
