Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-08-24,49.39,49.95,48.52,48.56,1163896,-0.83,1.43,-1.71,2.94,0.71,51.16,50.25,-0.94,-0.32,-0.62,164328867,2.32,55.0,1.67,1.0,53.33,Weak Buy Signal,56.62,51.16,45.7,0.21,52.13,Target Volume,Expected Range,15.97,Absent or Weak Trend
2023-08-23,49.4,49.98,48.9,49.35,983502,-0.05,1.08,-0.1,2.18,0.54,51.09,50.3,-0.82,-0.17,-0.65,165492763,1.31,56.67,3.33,1.0,53.33,Weak Buy Signal,56.78,51.09,45.39,0.22,53.09,Target Volume,Expected Range,16.2,Absent or Weak Trend
2023-08-22,48.79,49.26,48.5,49.06,1026710,0.27,0.76,0.55,1.55,0.38,51.0,50.34,-0.74,-0.01,-0.73,164509261,3.28,58.33,5.0,1.0,53.33,Weak Buy Signal,56.97,51.0,45.03,0.23,52.77,Target Volume,Expected Range,16.45,Absent or Weak Trend
2023-08-21,49.13,49.39,47.52,48.56,1399983,-0.57,1.87,-1.17,3.85,0.93,50.91,50.38,-0.59,0.18,-0.77,163482551,3.28,60.0,6.67,1.0,53.33,Weak Buy Signal,57.12,50.91,44.71,0.24,52.23,Target Volume,Expected Range,16.67,Absent or Weak Trend
2023-08-18,47.99,49.14,47.81,49.08,1809762,1.09,1.32,2.22,2.7,0.66,50.83,50.44,-0.34,0.37,-0.71,164882534,2.54,61.67,0.0,1.0,61.67,Weak Buy Signal,57.29,50.83,44.36,0.25,52.85,Target Volume,Expected Range,16.9,Absent or Weak Trend
2023-08-17,51.75,51.91,47.97,48.47,2551059,-3.28,3.94,-6.77,8.13,1.97,50.72,50.49,-0.08,0.55,-0.62,163072772,2.13,63.33,1.67,1.0,61.67,Weak Buy Signal,57.51,50.72,43.94,0.27,52.19,Target Volume,Expected Range,17.14,Absent or Weak Trend
2023-08-16,53.16,53.73,51.47,51.48,1325083,-1.68,2.26,-3.26,4.39,1.13,50.65,50.56,0.33,0.7,-0.37,165623831,7.55,65.0,3.33,1.0,61.67,Weak Buy Signal,57.62,50.65,43.67,0.28,55.96,Target Volume,Expected Range,17.4,Absent or Weak Trend
2023-08-15,53.35,54.56,53.02,53.77,1042810,0.42,1.54,0.78,2.86,0.77,50.54,50.52,0.54,0.79,-0.26,166948914,12.39,66.67,5.0,1.0,61.67,Weak Buy Signal,57.67,50.54,43.4,0.28,59.16,Target Volume,Expected Range,17.57,Absent or Weak Trend
2023-08-14,52.29,53.36,52.17,53.32,1086216,1.03,1.19,1.93,2.23,0.59,50.4,50.41,0.56,0.86,-0.3,165906104,9.28,68.33,6.67,1.0,61.67,Weak Buy Signal,57.58,50.4,43.22,0.28,58.71,Target Volume,Expected Range,17.65,Absent or Weak Trend
2023-08-11,52.56,53.28,52.26,52.41,959604,-0.15,1.02,-0.29,1.95,0.51,50.28,50.32,0.62,0.93,-0.31,164819888,9.57,70.0,8.33,1.0,61.67,Weak Buy Signal,57.52,50.28,43.04,0.29,57.77,Target Volume,Expected Range,17.8,Absent or Weak Trend
2023-08-10,54.48,54.74,52.34,52.73,1026234,-1.75,2.4,-3.32,4.55,1.2,50.16,50.24,0.79,1.01,-0.22,165779492,9.82,71.67,10.0,1.0,61.67,Weak Buy Signal,57.48,50.16,42.84,0.29,58.23,Target Volume,Expected Range,17.94,Absent or Weak Trend
2023-08-09,54.71,54.76,54.0,54.02,741507,-0.69,0.76,-1.28,1.41,0.38,50.04,50.16,0.96,1.06,-0.1,166805726,15.23,73.33,11.67,1.0,61.67,Weak Buy Signal,57.43,50.04,42.65,0.3,60.11,Trending Low,Bearish Trend,18.07,Absent or Weak Trend
2023-08-08,54.5,54.95,54.0,54.82,824874,0.32,0.95,0.58,1.73,0.48,49.9,50.03,1.03,1.09,-0.06,167547233,15.23,75.0,13.33,1.0,61.67,Weak Buy Signal,57.3,49.9,42.5,0.3,61.32,Trending Low,Bearish Trend,18.12,Absent or Weak Trend
2023-08-07,53.96,55.02,53.96,54.76,1317914,0.8,1.05,1.46,1.93,0.53,49.75,49.87,1.03,1.1,-0.08,166722359,15.23,76.67,15.0,1.0,61.67,Weak Buy Signal,57.11,49.75,42.39,0.3,61.26,Trending Low,Bearish Trend,18.17,Absent or Weak Trend
2023-08-04,53.81,54.62,53.39,54.3,1114241,0.49,1.23,0.9,2.27,0.61,49.59,49.7,1.01,1.12,-0.11,165404445,14.27,78.33,16.67,1.0,61.67,Weak Buy Signal,56.92,49.59,42.26,0.3,60.82,Trending Low,Bearish Trend,18.22,Absent or Weak Trend
2023-08-03,54.26,54.26,52.46,53.24,1183845,-1.02,1.8,-1.92,3.38,0.9,49.43,49.55,1.03,1.15,-0.13,164290204,13.4,80.0,18.33,1.0,61.67,Weak Buy Signal,56.76,49.43,42.11,0.3,59.79,Target Volume,Expected Range,18.29,Absent or Weak Trend
2023-08-02,53.93,54.5,53.46,54.36,1036924,0.43,1.04,0.79,1.91,0.52,49.29,49.42,1.14,1.18,-0.05,165474049,16.65,81.67,20.0,1.0,61.67,Weak Buy Signal,56.65,49.29,41.93,0.3,61.48,Trending Low,Bearish Trend,18.37,Absent or Weak Trend
2023-08-01,53.68,54.9,53.62,54.87,1177474,1.19,1.28,2.17,2.33,0.64,49.11,49.25,1.14,1.2,-0.05,166510973,16.65,83.33,21.67,1.0,61.67,Weak Buy Signal,56.48,49.11,41.75,0.3,61.95,Trending Low,Bearish Trend,18.4,Absent or Weak Trend
2023-07-31,54.51,54.7,53.32,53.97,1096049,-0.54,1.38,-1.0,2.57,0.69,48.92,49.07,1.11,1.21,-0.1,165333499,16.2,85.0,23.33,1.0,61.67,Weak Buy Signal,56.3,48.92,41.55,0.3,61.09,Trending Low,Bearish Trend,18.43,Absent or Weak Trend
2023-07-28,53.81,54.51,53.62,54.3,1226652,0.49,0.89,0.9,1.64,0.45,48.76,48.91,1.14,1.23,-0.1,166429548,17.16,86.67,25.0,1.0,61.67,Weak Buy Signal,56.13,48.76,41.39,0.3,61.59,Trending Low,Bearish Trend,18.47,Absent or Weak Trend
2023-07-27,54.35,54.69,52.67,53.05,1531607,-1.3,2.02,-2.45,3.81,1.01,48.59,48.73,1.12,1.26,-0.14,165202896,17.16,88.33,26.67,1.0,61.67,Weak Buy Signal,55.94,48.59,41.23,0.3,60.39,Trending Low,Bearish Trend,18.49,Absent or Weak Trend
2023-07-26,53.86,54.59,53.43,53.85,1576573,-0.01,1.16,-0.02,2.15,0.58,48.43,48.59,1.21,1.29,-0.08,166734503,19.57,90.0,0.0,1.0,90.0,Strong Buy Signal,55.81,48.43,41.06,0.3,61.6,Trending Low,Bearish Trend,18.51,Absent or Weak Trend
2023-07-25,52.97,54.52,52.95,54.1,1752534,1.13,1.57,2.09,2.9,0.79,48.26,48.42,1.23,1.31,-0.08,168311076,19.42,91.67,0.0,1.0,91.67,Strong Buy Signal,55.62,48.26,40.91,0.3,61.99,Trending Low,Bearish Trend,18.49,Absent or Weak Trend
2023-07-24,52.7,53.63,52.66,52.99,1402163,0.29,0.97,0.55,1.83,0.49,48.07,48.24,1.22,1.33,-0.11,166558542,17.49,93.33,0.0,1.0,93.33,Strong Buy Signal,55.44,48.07,40.7,0.31,60.93,Trending Low,Bearish Trend,18.48,Absent or Weak Trend
2023-07-21,52.13,52.98,52.13,52.64,1824661,0.51,0.84,0.97,1.61,0.42,47.87,48.08,1.29,1.36,-0.07,165156379,16.04,95.0,1.67,1.0,93.33,Strong Buy Signal,55.36,47.87,40.37,0.31,60.58,Trending Low,Bearish Trend,18.49,Absent or Weak Trend
2023-07-20,55.31,55.37,51.51,51.88,2322280,-3.43,3.86,-6.61,7.44,1.93,47.69,47.93,1.4,1.38,0.02,163331718,16.04,96.67,3.33,1.0,93.33,Strong Buy Signal,55.26,47.69,40.12,0.32,59.83,Target Volume,Expected Range,18.54,Absent or Weak Trend
2023-07-19,54.77,55.22,54.07,54.72,1945862,-0.05,1.15,-0.09,2.09,0.57,47.52,47.81,1.59,1.37,0.22,165653998,24.33,98.33,5.0,1.0,93.33,Strong Buy Signal,55.17,47.52,39.87,0.32,64.33,Trending Low,Bearish Trend,18.58,Absent or Weak Trend
2023-07-18,54.64,55.37,54.46,54.76,1496641,0.12,0.9,0.22,1.65,0.45,47.3,47.58,1.53,1.32,0.21,167599860,25.69,100.0,6.67,1.0,93.33,Strong Buy Signal,54.89,47.3,39.71,0.32,64.4,Trending Low,Bearish Trend,18.48,Absent or Weak Trend
2023-07-17,54.3,54.68,53.96,54.38,1467852,0.08,0.71,0.15,1.31,0.36,47.08,47.34,1.42,1.27,0.16,166103219,24.26,100.0,0.0,1.0,100.0,Strong Buy Signal,54.58,47.08,39.57,0.32,64.05,Trending Low,Bearish Trend,18.36,Absent or Weak Trend
2023-07-14,54.6,54.63,53.52,54.54,2221260,-0.06,1.11,-0.11,2.04,0.55,46.85,47.11,1.31,1.23,0.08,167571071,24.16,100.0,0.0,1.0,100.0,Strong Buy Signal,54.31,46.85,39.4,0.32,64.31,Trending Low,Bearish Trend,18.26,Absent or Weak Trend
2023-07-13,52.71,53.59,52.56,52.96,1567563,0.25,1.03,0.47,1.94,0.51,46.62,46.87,1.12,1.21,-0.08,165349811,21.98,100.0,0.0,1.0,100.0,Strong Buy Signal,53.99,46.62,39.25,0.32,62.84,Trending Low,Bearish Trend,18.16,Absent or Weak Trend
2023-07-12,51.84,53.07,51.58,52.96,1944456,1.12,1.49,2.11,2.81,0.74,46.4,46.67,1.03,1.23,-0.2,165349811,20.86,100.0,0.0,1.0,100.0,Strong Buy Signal,53.81,46.4,38.98,0.32,62.84,Trending Low,Bearish Trend,18.09,Absent or Weak Trend
2023-07-11,51.04,51.57,50.82,51.21,2367205,0.17,0.75,0.33,1.46,0.37,46.18,46.46,0.9,1.28,-0.38,163405355,17.49,83.33,0.0,1.0,83.33,Strong Buy Signal,53.62,46.18,38.74,0.32,61.11,Trending Low,Bearish Trend,18.05,Absent or Weak Trend
2023-07-10,48.23,50.87,48.23,50.86,2389242,2.63,2.64,5.17,5.19,1.32,45.98,46.3,0.89,1.37,-0.48,161038150,15.85,85.0,1.67,1.0,83.33,Strong Buy Signal,53.53,45.98,38.43,0.33,60.76,Trending Low,Bearish Trend,18.06,Absent or Weak Trend
2023-07-07,48.4,48.95,48.14,48.23,1857115,-0.17,0.81,-0.35,1.68,0.41,45.78,46.16,0.91,1.49,-0.58,158648908,11.08,86.67,3.33,1.0,83.33,Strong Buy Signal,53.45,45.78,38.11,0.34,57.9,Target Volume,Expected Range,18.09,Absent or Weak Trend
2023-07-06,49.83,49.83,47.36,48.33,3262965,-1.5,2.47,-3.1,5.11,1.23,45.63,46.09,1.19,1.63,-0.45,160506023,11.08,88.33,0.0,1.0,88.33,Strong Buy Signal,53.46,45.63,37.8,0.34,58.05,Target Volume,Expected Range,18.21,Absent or Weak Trend
2023-07-05,51.78,51.82,50.28,50.55,1441878,-1.23,1.54,-2.43,3.05,0.77,45.47,46.02,1.51,1.74,-0.23,163768988,21.18,90.0,1.67,1.0,88.33,Strong Buy Signal,53.49,45.47,37.44,0.35,61.74,Trending Low,Bearish Trend,18.33,Absent or Weak Trend
2023-07-03,52.0,52.15,51.22,51.68,677846,-0.32,0.93,-0.62,1.8,0.46,45.26,45.87,1.68,1.8,-0.13,165210866,24.78,91.67,3.33,1.0,88.33,Strong Buy Signal,53.4,45.26,37.13,0.36,63.76,Trending Low,Bearish Trend,18.28,Absent or Weak Trend
2023-06-30,51.76,51.81,51.18,51.71,1384565,-0.05,0.63,-0.1,1.22,0.31,45.06,45.68,1.75,1.83,-0.08,165888712,23.97,93.33,5.0,1.0,88.33,Strong Buy Signal,53.16,45.06,36.97,0.36,63.82,Trending Low,Bearish Trend,18.17,Absent or Weak Trend
2023-06-29,51.54,51.72,50.73,51.32,1646914,-0.22,0.99,-0.43,1.92,0.49,44.87,45.49,1.82,1.85,-0.04,164504147,23.75,95.0,6.67,1.0,88.33,Strong Buy Signal,52.89,44.87,36.85,0.36,63.42,Trending Low,Bearish Trend,18.08,Absent or Weak Trend
2023-06-28,51.99,52.49,51.52,51.64,2051152,-0.35,0.97,-0.68,1.88,0.49,44.69,45.29,1.91,1.86,0.05,166151061,26.81,96.67,8.33,1.0,88.33,Strong Buy Signal,52.63,44.69,36.75,0.36,63.99,Trending Low,Bearish Trend,17.98,Absent or Weak Trend
2023-06-27,51.19,52.71,51.17,52.25,2501606,1.06,1.54,2.03,2.95,0.77,44.5,45.09,1.98,1.85,0.12,168202213,26.81,98.33,10.0,1.0,88.33,Strong Buy Signal,52.33,44.5,36.67,0.35,65.09,Trending Low,Bearish Trend,17.83,Absent or Weak Trend
2023-06-26,52.25,52.88,51.14,51.15,1719765,-1.1,1.74,-2.15,3.4,0.87,44.29,44.85,1.97,1.82,0.15,165700607,26.81,100.0,11.67,1.0,88.33,Strong Buy Signal,51.98,44.29,36.6,0.35,63.99,Trending Low,Bearish Trend,17.68,Absent or Weak Trend
2023-06-23,51.69,52.4,51.69,52.02,3690670,0.33,0.71,0.63,1.36,0.36,44.1,44.64,2.04,1.78,0.25,167420372,28.91,100.0,13.33,1.0,86.67,Strong Buy Signal,51.67,44.1,36.53,0.34,65.59,Trending Low,Bearish Trend,17.52,Absent or Weak Trend
2023-06-22,51.64,52.03,50.06,51.55,5379376,-0.09,1.97,-0.17,3.82,0.98,43.91,44.4,2.01,1.72,0.29,163729702,28.12,98.33,15.0,1.0,83.33,Strong Buy Signal,51.27,43.91,36.54,0.34,65.13,Trending Low,Bearish Trend,17.33,Absent or Weak Trend
2023-06-21,51.2,52.2,50.74,52.01,4352165,0.81,1.46,1.56,2.81,0.73,43.71,44.16,1.99,1.65,0.34,169109078,30.74,100.0,16.67,1.0,83.33,Strong Buy Signal,50.89,43.71,36.54,0.33,65.99,Trending Low,Bearish Trend,17.15,Absent or Weak Trend
2023-06-20,50.77,51.71,50.67,51.05,1860732,0.28,1.04,0.55,2.04,0.52,43.52,43.9,1.89,1.56,0.33,164756913,29.72,100.0,18.33,1.0,81.67,Strong Buy Signal,50.44,43.52,36.6,0.32,65.04,Trending Low,Bearish Trend,16.92,Absent or Weak Trend
