Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-21,10.64,10.64,10.64,10.64,0,0.0,0.0,0.0,0.0,0.0,-1
2023-07-20,10.64,10.64,10.64,10.64,0,0.0,0.0,0.0,0.0,0.0,-1
2023-07-19,10.64,10.64,10.64,10.64,0,0.0,0.0,0.0,0.0,0.0,-1
2023-07-18,10.61,10.66,10.61,10.64,14096,0.03,0.05,0.28,0.47,0.03,1
2023-07-17,10.61,10.61,10.61,10.61,6,0.0,0.0,0.0,0.0,0.0,-1
2023-07-14,10.61,10.61,10.61,10.61,2833,0.0,0.0,0.0,0.0,0.0,-1
2023-07-13,10.61,10.62,10.61,10.62,1223,0.01,0.01,0.13,0.13,0.01,1
2023-07-12,10.61,10.61,10.61,10.61,400,0.0,0.0,0.0,0.0,0.0,1
2023-07-11,10.59,10.59,10.59,10.59,100,0.0,0.0,0.0,0.0,0.0,-1
2023-07-10,10.6,10.6,10.6,10.6,103,0.0,0.0,0.0,0.0,0.0,1
2023-07-07,10.59,10.59,10.59,10.59,101,0.0,0.0,0.0,0.0,0.0,-1
2023-07-06,10.59,10.59,10.59,10.59,100,0.0,0.0,0.0,0.0,0.0,1
2023-07-05,10.62,10.62,10.58,10.58,3100,-0.04,0.04,-0.38,0.38,0.02,-1
2023-07-03,10.62,10.62,10.62,10.62,102,0.0,0.0,0.0,0.0,0.0,-1
2023-06-30,10.62,10.62,10.62,10.62,100,0.0,0.0,0.0,0.0,0.0,-1
2023-06-29,10.62,10.62,10.62,10.62,104,0.0,0.0,0.0,0.0,0.0,-1
2023-06-28,10.62,10.62,10.62,10.62,100,0.0,0.0,0.0,0.0,0.0,-1
2023-06-27,10.62,10.62,10.62,10.62,4,0.0,0.0,0.0,0.0,0.0,-1
2023-06-26,10.62,10.62,10.62,10.62,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-23,10.62,10.62,10.62,10.62,35,0.0,0.0,0.0,0.0,0.0,-1
2023-06-22,10.62,10.62,10.62,10.62,1,0.0,0.0,0.0,0.0,0.0,-1
2023-06-21,10.62,10.62,10.62,10.62,0,0.0,0.0,0.0,0.0,0.0,-1
