Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-14,10.85,10.85,10.85,10.85,96,0.0,0.0,0.0,0.0,0.0,10.65,10.69,0.04,0.04,-0.0,2366931,67.97,100.0,46.67,1.0,53.33,Weak Buy Signal,10.91,10.65,10.39,0.05,62.56,Trending Low,Bearish Trend,62.83,Very Strong Trend
2023-07-13,10.84,10.85,10.84,10.85,2380,0.01,0.01,0.09,0.09,0.0,10.65,10.69,0.04,0.04,-0.01,2366931,67.97,100.0,48.33,1.0,51.67,Weak Buy Signal,10.91,10.65,10.39,0.05,62.56,Trending Low,Bearish Trend,62.74,Very Strong Trend
2023-07-12,10.8,10.8,10.8,10.8,0,0.0,0.0,0.0,0.0,0.0,10.64,10.68,0.04,0.04,-0.01,2364551,66.86,100.0,50.0,1.0,50.0,Weak Buy Signal,10.9,10.64,10.39,0.05,60.61,Trending Low,Bearish Trend,62.65,Very Strong Trend
2023-07-11,10.8,10.8,10.8,10.8,0,0.0,0.0,0.0,0.0,0.0,10.64,10.68,0.04,0.05,-0.01,2364551,66.86,100.0,51.67,1.0,48.33,Weak Buy Signal,10.89,10.64,10.38,0.05,60.61,Trending Low,Bearish Trend,62.58,Very Strong Trend
2023-07-10,10.8,10.8,10.8,10.8,0,0.0,0.0,0.0,0.0,0.0,10.63,10.68,0.04,0.05,-0.01,2364551,66.86,100.0,53.33,1.0,46.67,Weak Buy Signal,10.88,10.63,10.38,0.05,60.61,Trending Low,Bearish Trend,62.51,Very Strong Trend
2023-07-07,10.8,10.8,10.8,10.8,0,0.0,0.0,0.0,0.0,0.0,10.63,10.67,0.04,0.05,-0.01,2364551,66.86,100.0,55.0,1.0,45.0,Weak Buy Signal,10.88,10.63,10.38,0.05,60.61,Trending Low,Bearish Trend,62.43,Very Strong Trend
2023-07-06,10.8,10.8,10.8,10.8,0,0.0,0.0,0.0,0.0,0.0,10.62,10.67,0.05,0.05,-0.01,2364551,66.86,100.0,56.67,1.0,43.33,Weak Buy Signal,10.87,10.62,10.38,0.05,60.61,Trending Low,Bearish Trend,62.36,Very Strong Trend
2023-07-05,10.8,10.8,10.8,10.8,0,0.0,0.0,0.0,0.0,0.0,10.62,10.66,0.05,0.06,-0.01,2364551,66.86,100.0,58.33,1.0,41.67,Weak Buy Signal,10.86,10.62,10.38,0.05,60.61,Trending Low,Bearish Trend,62.28,Very Strong Trend
2023-07-03,10.8,10.8,10.8,10.8,0,0.0,0.0,0.0,0.0,0.0,10.62,10.66,0.05,0.06,-0.01,2364551,66.86,100.0,60.0,1.0,40.0,Weak Buy Signal,10.85,10.62,10.38,0.04,60.61,Trending Low,Bearish Trend,62.21,Very Strong Trend
2023-06-30,10.8,10.8,10.8,10.8,0,0.0,0.0,0.0,0.0,0.0,10.61,10.65,0.05,0.06,-0.01,2364551,66.86,100.0,61.67,1.0,38.33,Weak Buy Signal,10.85,10.61,10.38,0.04,60.61,Trending Low,Bearish Trend,62.13,Very Strong Trend
2023-06-29,10.8,10.8,10.8,10.8,2,0.0,0.0,0.0,0.0,0.0,10.61,10.65,0.06,0.06,-0.0,2364551,66.86,100.0,63.33,1.0,36.67,Weak Buy Signal,10.84,10.61,10.38,0.04,60.61,Trending Low,Bearish Trend,62.05,Very Strong Trend
2023-06-28,10.8,10.8,10.8,10.8,0,0.0,0.0,0.0,0.0,0.0,10.6,10.64,0.06,0.06,-0.0,2364551,66.86,100.0,65.0,1.0,35.0,Weak Buy Signal,10.83,10.6,10.38,0.04,60.61,Trending Low,Bearish Trend,61.96,Very Strong Trend
2023-06-27,10.8,10.8,10.8,10.8,41,0.0,0.0,0.0,0.0,0.0,10.6,10.64,0.06,0.06,-0.0,2364551,66.86,100.0,66.67,1.0,33.33,Weak Buy Signal,10.82,10.6,10.38,0.04,60.61,Trending Low,Bearish Trend,61.88,Very Strong Trend
2023-06-26,10.8,10.8,10.8,10.8,2,0.0,0.0,0.0,0.0,0.0,10.59,10.63,0.06,0.06,0.0,2364551,66.86,100.0,68.33,1.0,31.67,Weak Buy Signal,10.81,10.59,10.38,0.04,60.61,Trending Low,Bearish Trend,61.8,Very Strong Trend
2023-06-23,10.8,10.8,10.8,10.8,0,0.0,0.0,0.0,0.0,0.0,10.59,10.63,0.07,0.06,0.0,2364551,66.86,100.0,70.0,1.0,30.0,Weak Buy Signal,10.8,10.59,10.38,0.04,60.61,Trending Low,Bearish Trend,61.71,Very Strong Trend
