Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-08-16,10.89,10.89,10.89,10.89,0,0.0,0.0,0.0,0.0,0.0,10.73,10.71,0.06,0.05,0.01,11172443,31.78,18.33,11.67,1.0,6.67,High Volatility / Hold Signal,11.06,10.73,10.4,0.06,60.3,Trending Low,Bearish Trend,22.04,Absent or Weak Trend
2023-08-15,10.89,10.89,10.89,10.89,0,0.0,0.0,0.0,0.0,0.0,10.72,10.7,0.06,0.04,0.02,11172443,31.78,20.0,13.33,1.0,6.67,High Volatility / Hold Signal,11.05,10.72,10.39,0.06,60.3,Trending Low,Bearish Trend,21.88,Absent or Weak Trend
2023-08-14,10.89,10.89,10.89,10.89,0,0.0,0.0,0.0,0.0,0.0,10.72,10.69,0.06,0.04,0.02,11172443,31.78,21.67,15.0,1.0,6.67,High Volatility / Hold Signal,11.05,10.72,10.38,0.06,60.3,Trending Low,Bearish Trend,21.71,Absent or Weak Trend
2023-08-11,10.89,10.89,10.89,10.89,0,0.0,0.0,0.0,0.0,0.0,10.71,10.69,0.06,0.04,0.02,11172443,31.78,23.33,16.67,1.0,6.67,High Volatility / Hold Signal,11.04,10.71,10.38,0.06,60.3,Trending Low,Bearish Trend,21.54,Absent or Weak Trend
2023-08-10,10.89,10.89,10.89,10.89,0,0.0,0.0,0.0,0.0,0.0,10.7,10.68,0.06,0.03,0.03,11172443,31.78,25.0,18.33,1.0,6.67,High Volatility / Hold Signal,11.04,10.7,10.37,0.06,60.3,Trending Low,Bearish Trend,21.37,Absent or Weak Trend
2023-08-09,10.89,10.89,10.89,10.89,0,0.0,0.0,0.0,0.0,0.0,10.7,10.67,0.05,0.02,0.03,11172443,31.78,26.67,20.0,1.0,6.67,High Volatility / Hold Signal,11.03,10.7,10.36,0.06,60.3,Trending Low,Bearish Trend,21.19,Absent or Weak Trend
2023-08-08,10.89,10.89,10.89,10.89,0,0.0,0.0,0.0,0.0,0.0,10.69,10.67,0.05,0.02,0.03,11172443,31.78,28.33,21.67,1.0,6.67,High Volatility / Hold Signal,11.02,10.69,10.36,0.06,60.3,Trending Low,Bearish Trend,21.01,Absent or Weak Trend
2023-08-07,10.89,10.89,10.89,10.89,0,0.0,0.0,0.0,0.0,0.0,10.68,10.66,0.04,0.01,0.03,11172443,31.78,30.0,23.33,1.0,6.67,High Volatility / Hold Signal,11.02,10.68,10.35,0.06,60.3,Trending Low,Bearish Trend,20.83,Absent or Weak Trend
2023-08-04,10.8,10.89,10.8,10.89,600,0.09,0.09,0.79,0.79,0.04,10.68,10.65,0.03,-0.0,0.03,11172443,31.78,31.67,0.0,1.0,31.67,Weak Buy Signal,11.01,10.68,10.35,0.06,60.3,Trending Low,Bearish Trend,20.64,Absent or Weak Trend
2023-08-03,10.76,10.76,10.76,10.76,0,0.0,0.0,0.0,0.0,0.0,10.67,10.64,0.01,-0.01,0.02,11171843,26.82,33.33,1.67,1.0,31.67,Weak Buy Signal,11.0,10.67,10.34,0.06,57.12,Target Volume,Expected Range,20.45,Absent or Weak Trend
