Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-01,10.98,10.98,10.98,10.98,4170,0.0,0.0,0.0,0.02,0.0,-1
2023-07-31,10.98,10.98,10.98,10.98,1,0.0,0.0,0.0,0.0,0.0,-1
2023-07-28,10.98,10.98,10.98,10.98,0,0.0,0.0,0.0,0.0,0.0,-1
2023-07-27,10.99,10.99,10.98,10.98,28487,-0.01,0.02,-0.09,0.14,0.01,1
2023-07-26,10.96,10.96,10.96,10.96,0,0.0,0.0,0.0,0.0,0.0,-1
2023-07-25,10.96,10.96,10.96,10.96,486,0.0,0.0,0.0,0.0,0.0,-1
2023-07-24,10.99,10.99,10.99,10.99,1,0.0,0.0,0.0,0.0,0.0,-1
2023-07-21,11.0,11.01,10.99,10.99,386,-0.01,0.02,-0.09,0.18,0.01,1
2023-07-20,10.94,10.94,10.94,10.94,47,0.0,0.0,0.0,0.0,0.0,-1
2023-07-19,10.95,11.1,10.94,10.94,17843,-0.01,0.16,-0.09,1.46,0.08,-1
2023-07-18,10.94,10.94,10.94,10.94,207,0.0,0.0,0.0,0.0,0.0,-1
2023-07-17,10.94,10.94,10.94,10.94,206,0.0,0.0,0.0,0.0,0.0,-1
2023-07-14,10.94,10.94,10.94,10.94,601,0.0,0.0,0.0,0.0,0.0,-1
2023-07-13,10.95,10.95,10.95,10.95,501,0.0,0.0,0.0,0.0,0.0,1
2023-07-12,10.94,10.94,10.94,10.94,1504,0.0,0.0,0.0,0.0,0.0,-1
2023-07-11,10.94,10.94,10.94,10.94,21,0.0,0.0,0.0,0.0,0.0,-1
2023-07-10,10.94,10.95,10.94,10.94,6542,0.0,0.01,0.0,0.09,0.0,1
2023-07-07,10.95,10.95,10.92,10.92,673,-0.03,0.03,-0.26,0.27,0.01,1
2023-07-06,10.88,10.88,10.88,10.88,0,0.0,0.0,0.0,0.0,0.0,-1
2023-07-05,10.88,10.88,10.88,10.88,1,0.0,0.0,0.0,0.0,0.0,-1
2023-07-03,10.88,10.88,10.88,10.88,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-30,10.88,10.88,10.88,10.88,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-29,10.88,10.88,10.88,10.88,1,0.0,0.0,0.0,0.0,0.0,-1
2023-06-28,10.88,10.88,10.88,10.88,513,0.0,0.0,0.0,0.0,0.0,-1
2023-06-27,10.89,10.89,10.89,10.89,100,0.0,0.0,0.0,0.0,0.0,1
2023-06-26,10.86,10.86,10.86,10.86,1,0.0,0.0,0.0,0.0,0.0,-1
2023-06-23,10.86,10.86,10.86,10.86,31263,0.0,0.0,0.0,0.0,0.0,-1
2023-06-22,10.86,10.86,10.86,10.86,20,0.0,0.0,0.0,0.0,0.0,-1
2023-06-21,10.86,10.86,10.86,10.86,210,0.0,0.0,0.0,0.0,0.0,-1
2023-06-20,10.86,10.97,10.86,10.86,14152,0.0,0.11,0.0,1.01,0.06,1
2023-06-16,10.85,10.85,10.85,10.85,14,0.0,0.0,0.0,0.0,0.0,-1
2023-06-15,10.85,10.85,10.85,10.85,16,0.0,0.0,0.0,0.0,0.0,-1
2023-06-14,10.86,11.07,10.85,10.85,29602,-0.01,0.22,-0.09,2.03,0.11,1
2023-06-13,10.83,10.83,10.83,10.83,551,0.0,0.0,0.0,0.0,0.0,-1
2023-06-12,10.87,10.87,10.87,10.87,210,0.0,0.0,0.0,0.0,0.0,1
2023-06-09,10.87,11.2,10.83,10.83,22530,-0.04,0.37,-0.37,3.42,0.18,-1
2023-06-08,10.83,10.83,10.83,10.83,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-07,10.83,10.83,10.83,10.83,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-06,10.83,10.83,10.83,10.83,2,0.0,0.0,0.0,0.0,0.0,-1
2023-06-05,10.83,10.84,10.83,10.83,36179,0.0,0.01,0.04,0.06,0.0,-1
2023-06-02,10.84,10.84,10.84,10.84,4,0.0,0.0,0.0,0.0,0.0,-1
2023-06-01,10.84,10.84,10.84,10.84,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-31,10.84,10.84,10.84,10.84,116304,0.0,0.0,0.0,0.0,0.0,-1
2023-05-30,10.84,10.84,10.84,10.84,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-26,10.84,10.84,10.84,10.84,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-25,10.84,10.84,10.84,10.84,3560,0.0,0.0,0.0,0.0,0.0,1
2023-05-24,10.75,10.84,10.7,10.83,79689,0.08,0.14,0.74,1.29,0.07,1
2023-05-23,10.8,10.8,10.8,10.8,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-22,10.85,10.86,10.8,10.8,157667,-0.05,0.06,-0.46,0.56,0.03,-1
2023-05-19,10.85,10.85,10.85,10.85,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-18,10.85,10.85,10.85,10.85,150000,0.0,0.0,0.0,0.0,0.0,1
2023-05-17,10.83,10.83,10.83,10.83,0,0.0,0.0,0.0,0.0,0.0,-1
