Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-17,7.61,7.63,7.41,7.54,715124,-0.07,0.22,-0.93,2.92,0.11,-1
2023-08-16,7.66,7.76,7.56,7.58,604686,-0.08,0.2,-1.06,2.57,0.1,-1
2023-08-15,7.69,7.8,7.6,7.65,1957470,-0.04,0.19,-0.52,2.55,0.1,-1
2023-08-14,7.72,7.76,7.62,7.67,1690937,-0.05,0.13,-0.65,1.76,0.07,-1
2023-08-11,7.78,7.88,7.77,7.79,712129,0.01,0.11,0.13,1.41,0.06,1
2023-08-10,7.92,7.98,7.76,7.77,974761,-0.15,0.22,-1.93,2.85,0.11,-1
2023-08-09,7.86,7.91,7.82,7.86,757263,0.0,0.09,0.0,1.15,0.04,-1
2023-08-08,7.94,8.03,7.84,7.89,802705,-0.05,0.19,-0.63,2.41,0.09,-1
2023-08-07,7.82,8.05,7.8,7.99,851250,0.17,0.25,2.13,3.13,0.13,1
2023-08-04,7.88,7.9,7.71,7.82,813724,-0.06,0.19,-0.77,2.43,0.1,1
2023-08-03,8.02,8.02,7.66,7.8,1667517,-0.22,0.36,-2.82,4.62,0.18,-1
2023-08-02,7.72,8.0,7.55,7.94,1519340,0.22,0.45,2.77,5.67,0.23,1
2023-08-01,7.56,7.62,7.47,7.54,1021041,-0.02,0.15,-0.27,1.99,0.08,-1
2023-07-31,7.46,7.57,7.41,7.55,1297962,0.09,0.16,1.19,2.12,0.08,1
2023-07-28,7.48,7.56,7.41,7.43,1269784,-0.05,0.15,-0.67,2.02,0.07,1
2023-07-27,7.87,7.87,7.35,7.38,1292922,-0.49,0.52,-6.64,7.05,0.26,-1
2023-07-26,7.7,7.84,7.68,7.79,739031,0.09,0.16,1.16,2.05,0.08,1
2023-07-25,7.66,7.78,7.61,7.76,890614,0.1,0.17,1.29,2.19,0.08,1
2023-07-24,7.84,7.9,7.62,7.68,685864,-0.16,0.28,-2.08,3.65,0.14,-1
2023-07-21,7.94,8.0,7.81,7.85,865044,-0.09,0.19,-1.15,2.42,0.1,-1
2023-07-20,7.95,7.98,7.82,7.92,921827,-0.03,0.16,-0.38,2.03,0.08,-1
2023-07-19,8.12,8.16,7.92,7.93,885895,-0.19,0.24,-2.4,3.03,0.12,-1
2023-07-18,8.19,8.29,8.09,8.11,637551,-0.08,0.2,-0.99,2.47,0.1,-1
2023-07-17,8.18,8.27,8.11,8.2,514179,0.02,0.16,0.24,1.95,0.08,1
2023-07-14,8.36,8.39,8.13,8.17,642167,-0.19,0.26,-2.33,3.18,0.13,-1
2023-07-13,8.36,8.44,8.34,8.37,568931,0.01,0.11,0.12,1.31,0.05,1
2023-07-12,8.48,8.51,8.35,8.36,1358710,-0.12,0.16,-1.44,1.97,0.08,-1
2023-07-11,8.35,8.51,8.25,8.38,2137184,0.03,0.26,0.36,3.1,0.13,1
2023-07-10,7.9,8.32,7.9,8.3,748467,0.4,0.42,4.82,5.06,0.21,1
2023-07-07,7.92,8.01,7.88,7.89,543371,-0.03,0.13,-0.38,1.65,0.06,-1
2023-07-06,8.06,8.06,7.87,7.89,534760,-0.17,0.19,-2.15,2.41,0.1,-1
2023-07-05,8.23,8.26,8.12,8.19,702141,-0.04,0.14,-0.49,1.71,0.07,-1
2023-07-03,8.32,8.44,8.22,8.32,385252,0.0,0.22,0.0,2.64,0.11,-1
2023-06-30,8.25,8.49,8.24,8.45,1005072,0.2,0.25,2.37,2.96,0.12,1
2023-06-29,8.32,8.45,8.15,8.17,789591,-0.15,0.3,-1.84,3.67,0.15,-1
2023-06-28,7.79,8.23,7.76,8.22,1386540,0.43,0.47,5.23,5.72,0.24,1
2023-06-27,7.78,7.82,7.71,7.81,1102490,0.03,0.11,0.38,1.41,0.06,1
2023-06-26,8.18,8.19,7.74,7.78,1661538,-0.4,0.45,-5.14,5.78,0.22,-1
2023-06-23,8.2,8.41,8.13,8.24,8628014,0.04,0.28,0.49,3.46,0.14,-1
2023-06-22,8.24,8.41,8.2,8.32,749853,0.08,0.21,0.96,2.52,0.11,1
2023-06-21,8.19,8.42,8.14,8.26,1882346,0.07,0.29,0.85,3.45,0.14,1
2023-06-20,8.15,8.29,8.09,8.25,1726364,0.1,0.2,1.21,2.42,0.1,1
2023-06-16,8.13,8.2,8.08,8.2,2492484,0.07,0.12,0.85,1.46,0.06,-1
2023-06-15,7.99,8.26,7.98,8.21,1417969,0.22,0.28,2.68,3.41,0.14,1
2023-06-14,8.33,8.34,8.02,8.04,1799714,-0.29,0.32,-3.61,3.92,0.16,-1
2023-06-13,8.12,8.3,8.12,8.27,2894825,0.15,0.19,1.81,2.24,0.09,1
2023-06-12,7.99,8.12,7.99,8.07,946644,0.08,0.13,0.99,1.61,0.06,1
2023-06-09,8.21,8.26,7.98,8.0,693432,-0.21,0.27,-2.63,3.44,0.14,-1
2023-06-08,8.31,8.37,8.15,8.17,799616,-0.14,0.22,-1.71,2.69,0.11,-1
2023-06-07,8.24,8.41,8.23,8.35,1246901,0.11,0.18,1.32,2.16,0.09,1
2023-06-06,7.9,8.15,7.88,8.14,1258820,0.24,0.27,2.95,3.32,0.14,1
2023-06-05,8.1,8.15,7.82,7.89,831087,-0.21,0.33,-2.66,4.18,0.17,-1
2023-06-02,8.02,8.2,7.94,8.15,1182811,0.13,0.26,1.6,3.25,0.13,1
2023-06-01,7.9,8.07,7.86,7.98,851104,0.08,0.21,1.0,2.69,0.11,1
2023-05-31,7.79,7.92,7.62,7.91,4091133,0.12,0.3,1.52,3.79,0.15,1
2023-05-30,7.86,8.0,7.82,7.87,1144632,0.01,0.18,0.13,2.29,0.09,1
2023-05-26,7.53,7.81,7.48,7.8,911297,0.27,0.33,3.46,4.23,0.16,1
2023-05-25,7.42,7.54,7.34,7.44,711731,0.02,0.2,0.27,2.69,0.1,-1
2023-05-24,7.77,7.77,7.47,7.48,973854,-0.29,0.3,-3.88,4.01,0.15,-1
2023-05-23,7.79,8.03,7.79,7.85,1114536,0.06,0.24,0.76,3.06,0.12,-1
2023-05-22,7.7,8.0,7.62,7.87,1318742,0.17,0.38,2.16,4.83,0.19,1
2023-05-19,7.85,7.85,7.59,7.66,892312,-0.19,0.26,-2.48,3.39,0.13,-1
2023-05-18,7.73,7.9,7.69,7.74,1352807,0.01,0.21,0.13,2.71,0.1,-1
2023-05-17,7.57,7.8,7.54,7.78,962840,0.21,0.26,2.7,3.41,0.13,1
2023-05-16,7.4,7.62,7.37,7.56,1031205,0.16,0.25,2.12,3.31,0.12,1
2023-05-15,7.58,7.64,7.38,7.52,1348512,-0.06,0.26,-0.8,3.46,0.13,-1
2023-05-12,7.34,7.62,7.21,7.54,5325804,0.2,0.41,2.65,5.44,0.21,-1
2023-05-11,8.12,8.2,7.9,7.92,892681,-0.2,0.29,-2.53,3.72,0.15,-1
2023-05-10,8.6,8.64,8.16,8.21,837456,-0.39,0.47,-4.75,5.79,0.24,-1
2023-05-09,8.34,8.59,8.26,8.51,1180147,0.17,0.33,2.0,3.83,0.16,1
2023-05-08,8.47,8.6,8.36,8.38,837858,-0.09,0.24,-1.07,2.8,0.12,-1
2023-05-05,8.51,8.62,8.36,8.49,1412752,-0.02,0.26,-0.24,3.06,0.13,1
2023-05-04,8.42,8.52,8.3,8.43,876718,0.01,0.22,0.12,2.67,0.11,1
2023-05-03,8.07,8.54,7.9,8.42,1081454,0.35,0.64,4.16,7.6,0.32,1
2023-05-02,8.17,8.28,8.04,8.06,1327244,-0.11,0.24,-1.36,3.04,0.12,-1
2023-05-01,8.07,8.3,8.07,8.24,803507,0.17,0.23,2.06,2.85,0.12,1
2023-04-28,7.99,8.19,7.95,8.1,1880057,0.11,0.24,1.36,2.96,0.12,1
2023-04-27,8.02,8.35,8.01,8.04,1934740,0.02,0.34,0.25,4.23,0.17,1
2023-04-26,8.14,8.16,7.85,7.97,1708017,-0.17,0.31,-2.13,3.95,0.16,-1
2023-04-25,8.17,8.36,8.17,8.2,714383,0.03,0.19,0.37,2.26,0.09,-1
2023-04-24,8.38,8.42,8.12,8.3,538200,-0.08,0.29,-0.96,3.55,0.15,-1
2023-04-21,8.18,8.46,8.16,8.44,752241,0.26,0.3,3.08,3.61,0.15,1
2023-04-20,8.28,8.35,8.13,8.15,502319,-0.13,0.22,-1.6,2.7,0.11,-1
2023-04-19,8.34,8.55,8.28,8.35,453257,0.01,0.27,0.12,3.23,0.14,-1
2023-04-18,8.54,8.65,8.4,8.43,458456,-0.11,0.26,-1.3,3.02,0.13,-1
2023-04-17,8.42,8.51,8.35,8.5,426730,0.08,0.16,0.94,1.88,0.08,1
