Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-08-17,18.29,18.29,18.22,18.23,1335,-0.06,0.07,-0.32,0.38,0.04,17.54,17.63,0.24,0.19,0.05,290578,3.87,93.33,3.33,1.0,90.0,Strong Buy Signal,18.53,17.54,16.56,0.11,53.68,Target Volume,Expected Range,5.38,Absent or Weak Trend
2023-08-16,18.23,18.9,18.22,18.3,8418,0.07,0.68,0.38,3.71,0.34,17.51,17.61,0.25,0.18,0.07,291913,3.87,95.0,5.0,1.0,90.0,Strong Buy Signal,18.51,17.51,16.52,0.11,53.98,Target Volume,Expected Range,5.4,Absent or Weak Trend
2023-08-15,18.69,18.75,18.11,18.63,4342,-0.06,0.64,-0.31,3.43,0.32,17.49,17.59,0.26,0.16,0.1,300331,2.57,96.67,6.67,1.0,90.0,Strong Buy Signal,18.49,17.49,16.48,0.11,55.49,Target Volume,Expected Range,5.43,Absent or Weak Trend
2023-08-14,18.75,18.79,18.56,18.65,5931,-0.1,0.23,-0.54,1.26,0.12,17.45,17.55,0.24,0.14,0.1,304673,6.81,98.33,8.33,1.0,90.0,Strong Buy Signal,18.43,17.45,16.47,0.11,55.58,Target Volume,Expected Range,5.48,Absent or Weak Trend
2023-08-11,18.0,18.99,18.0,18.85,10720,0.85,0.99,4.5,5.25,0.49,17.42,17.52,0.2,0.11,0.09,310604,6.81,100.0,10.0,1.0,90.0,Strong Buy Signal,18.37,17.42,16.47,0.11,56.5,Target Volume,Expected Range,5.46,Absent or Weak Trend
2023-08-10,17.8,18.69,17.75,18.55,4254,0.75,0.94,4.04,5.05,0.47,17.38,17.47,0.13,0.09,0.04,299884,4.21,100.0,11.67,1.0,88.33,Strong Buy Signal,18.28,17.38,16.48,0.1,55.41,Target Volume,Expected Range,5.43,Absent or Weak Trend
2023-08-09,17.82,17.85,17.82,17.85,1081,0.03,0.03,0.17,0.17,0.02,17.35,17.44,0.06,0.08,-0.02,295630,3.67,83.33,13.33,1.0,70.0,Strong Buy Signal,18.22,17.35,16.47,0.1,52.68,Target Volume,Expected Range,5.45,Absent or Weak Trend
2023-08-08,18.0,18.0,17.55,17.55,2949,-0.45,0.45,-2.56,2.56,0.22,17.32,17.42,0.05,0.08,-0.03,294549,3.67,85.0,15.0,1.0,70.0,Strong Buy Signal,18.22,17.32,16.43,0.1,51.43,Target Volume,Expected Range,5.48,Absent or Weak Trend
2023-08-07,17.98,17.98,17.83,17.83,2225,-0.15,0.15,-0.85,0.85,0.08,17.31,17.42,0.07,0.09,-0.02,297498,1.06,86.67,16.67,1.0,70.0,Strong Buy Signal,18.22,17.31,16.39,0.11,52.7,Target Volume,Expected Range,5.52,Absent or Weak Trend
2023-08-04,17.75,17.75,17.6,17.64,1598,-0.11,0.15,-0.62,0.85,0.07,17.28,17.4,0.06,0.1,-0.04,295273,3.34,88.33,18.33,1.0,70.0,Strong Buy Signal,18.22,17.28,16.35,0.11,51.91,Target Volume,Expected Range,5.59,Absent or Weak Trend
