Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-24,14.5,14.93,14.19,14.48,29460,-0.02,0.74,-0.14,5.11,0.37,13.35,13.4,0.29,0.37,-0.08,2365520,15.53,65.0,0.0,1.0,65.0,Weak Buy Signal,15.44,13.35,11.27,0.31,56.72,Target Volume,Expected Range,18.7,Absent or Weak Trend
2023-07-21,14.96,14.96,14.29,14.37,16192,-0.59,0.67,-4.11,4.66,0.34,13.31,13.36,0.32,0.39,-0.07,2336060,16.46,66.67,0.0,1.0,66.67,Weak Buy Signal,15.42,13.31,11.19,0.32,56.42,Target Volume,Expected Range,18.75,Absent or Weak Trend
2023-07-20,14.45,14.92,14.35,14.78,22611,0.33,0.57,2.23,3.86,0.29,13.25,13.33,0.36,0.4,-0.04,2352252,17.02,68.33,1.67,1.0,66.67,Weak Buy Signal,15.42,13.25,11.08,0.33,57.86,Target Volume,Expected Range,18.79,Absent or Weak Trend
2023-07-19,14.8,14.9,14.27,14.41,19597,-0.39,0.63,-2.71,4.35,0.31,13.19,13.28,0.37,0.41,-0.05,2329641,16.87,70.0,0.0,1.0,70.0,Strong Buy Signal,15.39,13.19,10.99,0.33,56.89,Target Volume,Expected Range,18.82,Absent or Weak Trend
2023-07-18,14.71,15.16,14.58,14.96,29423,0.25,0.58,1.67,3.88,0.29,13.14,13.24,0.41,0.43,-0.02,2349238,19.74,71.67,1.67,1.0,70.0,Strong Buy Signal,15.38,13.14,10.9,0.34,58.87,Target Volume,Expected Range,18.85,Absent or Weak Trend
2023-07-17,14.35,14.91,14.35,14.89,14399,0.54,0.56,3.63,3.76,0.28,13.08,13.18,0.4,0.43,-0.03,2319815,18.15,73.33,3.33,1.0,70.0,Strong Buy Signal,15.31,13.08,10.84,0.34,58.69,Target Volume,Expected Range,18.84,Absent or Weak Trend
2023-07-14,14.62,14.7,14.28,14.5,11510,-0.12,0.42,-0.83,2.86,0.21,13.02,13.13,0.39,0.44,-0.04,2305416,16.75,75.0,5.0,1.0,70.0,Strong Buy Signal,15.24,13.02,10.8,0.34,57.67,Target Volume,Expected Range,18.85,Absent or Weak Trend
2023-07-13,14.42,14.9,14.32,14.69,30780,0.27,0.58,1.84,3.95,0.29,12.97,13.08,0.42,0.45,-0.03,2316926,17.11,76.67,6.67,1.0,70.0,Strong Buy Signal,15.18,12.97,10.76,0.34,58.36,Target Volume,Expected Range,18.88,Absent or Weak Trend
2023-07-12,15.01,15.01,13.64,14.16,15379,-0.85,1.37,-6.0,9.68,0.68,12.93,13.02,0.42,0.46,-0.04,2286146,17.11,78.33,8.33,1.0,70.0,Strong Buy Signal,15.1,12.93,10.77,0.34,56.95,Target Volume,Expected Range,18.91,Absent or Weak Trend
2023-07-11,14.41,15.26,14.37,14.95,24435,0.54,0.89,3.61,5.95,0.45,12.9,12.99,0.47,0.47,0.01,2301525,23.97,80.0,10.0,1.0,70.0,Strong Buy Signal,15.05,12.9,10.75,0.33,59.92,Target Volume,Expected Range,18.94,Absent or Weak Trend
