Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-25,10.5,10.5,10.5,10.5,2,0.0,0.0,0.0,0.0,0.0,-1
2023-07-24,10.5,10.5,10.5,10.5,0,0.0,0.0,0.0,0.0,0.0,-1
2023-07-21,10.5,10.5,10.5,10.5,0,0.0,0.0,0.0,0.0,0.0,-1
2023-07-20,10.48,10.51,10.48,10.5,2715,0.01,0.03,0.14,0.29,0.01,-1
2023-07-19,10.7,10.7,10.7,10.7,2,0.0,0.0,0.0,0.0,0.0,-1
2023-07-18,10.7,10.7,10.7,10.7,2,0.0,0.0,0.0,0.0,0.0,-1
2023-07-17,10.7,10.7,10.7,10.7,4,0.0,0.0,0.0,0.0,0.0,-1
2023-07-14,10.7,10.7,10.7,10.7,2,0.0,0.0,0.0,0.0,0.0,-1
2023-07-13,10.7,10.7,10.7,10.7,2,0.0,0.0,0.0,0.0,0.0,-1
2023-07-12,10.7,10.7,10.7,10.7,2,0.0,0.0,0.0,0.0,0.0,-1
2023-07-11,10.7,10.7,10.7,10.7,102,0.0,0.0,0.0,0.0,0.0,-1
2023-07-10,10.7,10.7,10.7,10.7,2,0.0,0.0,0.0,0.0,0.0,-1
2023-07-07,10.7,10.7,10.7,10.7,7,0.0,0.0,0.0,0.0,0.0,-1
2023-07-06,10.7,10.7,10.7,10.7,100,0.0,0.0,0.0,0.0,0.0,1
2023-07-05,10.65,10.65,10.65,10.65,100,0.0,0.0,0.0,0.0,0.0,1
2023-07-03,10.62,10.62,10.62,10.62,5,0.0,0.0,0.0,0.0,0.0,-1
2023-06-30,10.62,10.62,10.62,10.62,103,0.0,0.0,0.0,0.0,0.0,-1
2023-06-29,10.62,10.62,10.62,10.62,155,0.0,0.0,0.0,0.0,0.0,-1
2023-06-28,10.62,10.62,10.62,10.62,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-27,10.62,10.62,10.62,10.62,102,0.0,0.0,0.0,0.0,0.0,-1
2023-06-26,10.64,10.64,10.64,10.64,106,0.0,0.0,0.0,0.0,0.0,-1
2023-06-23,10.7,10.7,10.7,10.7,133,0.0,0.0,0.0,0.0,0.0,1
2023-06-22,10.48,10.48,10.48,10.48,4,0.0,0.0,0.0,0.0,0.0,-1
2023-06-21,10.48,10.48,10.48,10.48,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-20,10.48,10.48,10.48,10.48,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-16,10.48,10.48,10.48,10.48,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-15,10.48,10.48,10.48,10.48,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-14,10.48,10.48,10.48,10.48,106,0.0,0.0,0.0,0.0,0.0,-1
2023-06-13,10.63,10.63,10.63,10.63,2,0.0,0.0,0.0,0.0,0.0,-1
2023-06-12,10.63,10.63,10.63,10.63,10,0.0,0.0,0.0,0.0,0.0,-1
2023-06-09,10.63,10.63,10.63,10.63,7,0.0,0.0,0.0,0.0,0.0,-1
2023-06-08,10.57,10.63,10.57,10.63,481,0.06,0.06,0.56,0.56,0.03,1
2023-06-07,10.55,10.55,10.55,10.55,196,0.0,0.0,0.0,0.0,0.0,1
2023-06-06,10.5,10.97,10.44,10.47,8781,-0.03,0.53,-0.29,5.06,0.27,1
2023-06-05,10.39,10.39,10.39,10.39,312,0.0,0.0,0.0,0.0,0.0,-1
2023-06-02,10.64,10.64,10.64,10.64,13,0.0,0.0,0.0,0.0,0.0,-1
2023-06-01,10.6,10.8,10.49,10.64,12900,0.04,0.31,0.33,2.91,0.16,1
2023-05-31,10.62,10.8,10.39,10.39,5623,-0.23,0.41,-2.21,3.95,0.21,-1
2023-05-30,10.6,10.7,10.6,10.7,415,0.1,0.1,0.98,0.98,0.05,1
2023-05-26,10.39,10.6,10.39,10.6,513,0.21,0.21,1.98,1.98,0.1,1
2023-05-25,10.39,10.39,10.39,10.39,3,0.0,0.0,0.0,0.0,0.0,-1
2023-05-24,10.39,10.4,10.39,10.39,473,0.0,0.01,0.0,0.1,0.0,-1
2023-05-23,10.61,10.61,10.61,10.61,3,0.0,0.0,0.0,0.0,0.0,-1
2023-05-22,10.61,10.61,10.61,10.61,3,0.0,0.0,0.0,0.0,0.0,-1
2023-05-19,10.61,10.61,10.61,10.61,5,0.0,0.0,0.0,0.0,0.0,-1
2023-05-18,10.65,10.65,10.61,10.61,3072,-0.04,0.04,-0.38,0.38,0.02,-1
2023-05-17,10.6,10.62,10.57,10.62,2742,0.02,0.05,0.19,0.52,0.03,1
2023-05-16,10.62,10.63,10.6,10.6,1655,-0.02,0.03,-0.19,0.28,0.02,1
2023-05-15,10.62,10.71,10.56,10.58,7282,-0.04,0.15,-0.38,1.42,0.08,1
2023-05-12,10.84,10.9,10.55,10.56,20594,-0.28,0.35,-2.65,3.31,0.17,-1
2023-05-11,10.7,10.7,10.39,10.6,24619,-0.1,0.31,-0.94,2.92,0.15,-1
2023-05-10,10.75,10.75,10.66,10.66,403,-0.09,0.09,-0.84,0.84,0.04,1
2023-05-09,10.65,11.0,10.5,10.65,66147,0.0,0.5,0.0,4.69,0.25,-1
2023-05-08,10.6,11.67,10.4,10.83,184580,0.23,1.27,2.12,11.73,0.63,1
2023-05-05,10.55,10.76,10.49,10.53,25431,-0.02,0.27,-0.19,2.52,0.13,-1
2023-05-04,10.52,10.78,10.45,10.55,22653,0.03,0.33,0.28,3.08,0.16,1
2023-05-03,10.41,10.68,10.38,10.46,417315,0.05,0.3,0.48,2.91,0.15,1
2023-05-02,10.39,10.39,10.39,10.39,6,0.0,0.0,0.0,0.0,0.0,-1
2023-05-01,10.39,10.42,10.39,10.39,19318,0.0,0.03,0.0,0.29,0.01,-1
2023-04-28,10.39,10.41,10.38,10.4,394749,0.01,0.03,0.1,0.24,0.01,1
2023-04-27,10.45,10.64,10.38,10.39,649194,-0.06,0.26,-0.6,2.5,0.13,-1
2023-04-26,10.79,10.9,10.4,10.4,15193,-0.38,0.5,-3.7,4.81,0.25,-1
2023-04-25,10.56,11.03,10.4,10.41,18870,-0.15,0.62,-1.44,6.0,0.31,-1
2023-04-24,10.42,10.42,10.41,10.41,21965,-0.01,0.01,-0.1,0.1,0.0,-1
