Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-07,0.14,0.14,0.14,0.14,0,0.0,0.0,0.0,0.0,0.0,-1
2023-07-06,0.14,0.14,0.14,0.14,0,0.0,0.0,0.0,0.0,0.0,-1
2023-07-05,0.14,0.14,0.14,0.14,172,0.0,0.0,0.0,0.0,0.0,-1
2023-07-03,0.14,0.14,0.14,0.14,25900,0.0,0.0,0.0,0.0,0.0,-1
2023-06-30,0.14,0.14,0.14,0.14,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-29,0.12,0.14,0.12,0.14,8878,0.02,0.02,14.21,14.21,0.01,-1
2023-06-28,0.15,0.16,0.14,0.14,210354,-0.01,0.02,-7.14,14.29,0.01,-1
2023-06-27,0.16,0.16,0.16,0.16,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-26,0.16,0.16,0.16,0.16,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-23,0.16,0.16,0.16,0.16,173,0.0,0.0,0.0,0.0,0.0,-1
2023-06-22,0.15,0.17,0.15,0.16,14761,0.01,0.02,4.76,12.7,0.01,-1
2023-06-21,0.16,0.16,0.16,0.16,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-20,0.16,0.16,0.16,0.16,173,0.0,0.0,0.0,0.0,0.0,-1
2023-06-16,0.16,0.16,0.16,0.16,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-15,0.13,0.16,0.13,0.16,302,0.03,0.03,18.75,18.75,0.02,-1
2023-06-14,0.16,0.16,0.16,0.16,173,0.0,0.0,0.0,0.0,0.0,-1
2023-06-13,0.16,0.16,0.13,0.16,11500,0.0,0.03,3.06,18.75,0.02,-1
2023-06-12,0.16,0.16,0.16,0.16,253,0.0,0.0,0.0,0.0,0.0,-1
2023-06-09,0.16,0.16,0.14,0.16,2138,0.0,0.02,0.0,12.89,0.01,1
2023-06-08,0.15,0.15,0.15,0.15,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-07,0.16,0.17,0.15,0.15,373,-0.0,0.02,-1.84,10.97,0.01,-1
2023-06-06,0.15,0.15,0.15,0.15,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-05,0.15,0.15,0.15,0.15,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-02,0.15,0.15,0.15,0.15,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-01,0.15,0.15,0.15,0.15,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-31,0.15,0.15,0.15,0.15,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-30,0.17,0.17,0.15,0.15,1173,-0.02,0.02,-12.67,12.67,0.01,-1
2023-05-26,0.17,0.17,0.16,0.16,600,-0.01,0.01,-8.96,8.96,0.01,-1
2023-05-25,0.16,0.16,0.16,0.16,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-24,0.16,0.16,0.16,0.16,173,0.0,0.0,0.0,0.0,0.0,-1
2023-05-23,0.17,0.17,0.17,0.17,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-22,0.17,0.17,0.17,0.17,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-19,0.17,0.17,0.17,0.17,173,0.0,0.0,0.0,0.0,0.0,-1
2023-05-18,0.17,0.17,0.17,0.17,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-17,0.16,0.17,0.16,0.17,573,0.01,0.01,8.76,8.76,0.01,-1
2023-05-16,0.17,0.17,0.17,0.17,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-15,0.17,0.17,0.17,0.17,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-12,0.17,0.17,0.17,0.17,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-11,0.13,0.17,0.13,0.17,25425,0.04,0.04,22.94,22.94,0.02,1
2023-05-10,0.16,0.16,0.16,0.16,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-09,0.16,0.16,0.16,0.16,173,0.0,0.0,0.0,0.0,0.0,-1
2023-05-08,0.17,0.17,0.17,0.17,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-05,0.17,0.17,0.17,0.17,173,0.0,0.0,0.0,0.0,0.0,1
2023-05-04,0.16,0.16,0.16,0.16,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-03,0.16,0.16,0.16,0.16,173,0.0,0.0,0.0,0.0,0.0,-1
2023-05-02,0.18,0.18,0.18,0.18,167,0.0,0.0,0.0,0.0,0.0,1
2023-05-01,0.14,0.14,0.14,0.14,2848,0.0,0.0,0.0,0.0,0.0,-1
2023-04-28,0.16,0.17,0.16,0.17,267,0.02,0.02,10.09,10.09,0.01,-1
2023-04-27,0.17,0.17,0.17,0.17,0,0.0,0.0,0.0,0.0,0.0,-1
2023-04-26,0.17,0.17,0.17,0.17,0,0.0,0.0,0.0,0.0,0.0,-1
2023-04-25,0.18,0.18,0.16,0.17,1005781,-0.01,0.01,-4.97,7.39,0.01,-1
2023-04-24,0.18,0.18,0.18,0.18,0,0.0,0.0,0.0,0.0,0.0,-1
2023-04-21,0.18,0.18,0.18,0.18,169,0.0,0.0,0.0,0.0,0.0,-1
2023-04-20,0.18,0.18,0.18,0.18,0,0.0,0.0,0.0,0.0,0.0,-1
2023-04-19,0.18,0.18,0.18,0.18,0,0.0,0.0,0.0,0.0,0.0,-1
2023-04-18,0.18,0.18,0.18,0.18,167,0.0,0.0,0.0,0.0,0.0,-1
2023-04-17,0.18,0.18,0.18,0.18,0,0.0,0.0,0.0,0.0,0.0,-1
2023-04-14,0.17,0.18,0.17,0.18,432,0.01,0.01,5.39,5.39,0.0,-1
2023-04-13,0.18,0.18,0.18,0.18,7000,0.0,0.0,0.0,0.0,0.0,-1
2023-04-12,0.18,0.18,0.18,0.18,7457,0.0,0.0,0.0,0.0,0.0,-1
2023-04-11,0.17,0.18,0.17,0.18,9950,0.01,0.01,4.23,4.73,0.0,-1
