Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-10,10.8,10.8,10.77,10.77,720,-0.03,0.03,-0.28,0.28,0.01,-1
2023-08-09,10.77,10.77,10.77,10.77,226,0.0,0.0,0.0,0.0,0.0,-1
2023-08-08,10.81,10.81,10.81,10.81,1,0.0,0.0,0.0,0.0,0.0,-1
2023-08-07,10.77,10.81,10.77,10.81,821,0.04,0.04,0.37,0.37,0.02,-1
2023-08-04,10.81,10.81,10.81,10.81,96,0.0,0.0,0.0,0.0,0.0,-1
2023-08-03,10.81,10.81,10.81,10.81,121,0.0,0.0,0.0,0.0,0.0,1
2023-08-02,10.77,10.8,10.77,10.8,531,0.03,0.03,0.26,0.26,0.01,-1
2023-08-01,10.84,10.85,10.83,10.85,2548,0.01,0.02,0.09,0.18,0.01,1
2023-07-31,10.8,10.8,10.76,10.76,2115,-0.04,0.04,-0.37,0.37,0.02,-1
2023-07-28,10.76,10.76,10.76,10.76,356,0.0,0.0,0.0,0.0,0.0,-1
2023-07-27,10.85,10.9,10.76,10.76,10820,-0.09,0.14,-0.84,1.3,0.07,-1
2023-07-26,10.8,10.82,10.76,10.79,13957,-0.01,0.06,-0.12,0.52,0.03,-1
2023-07-25,10.78,11.2,10.78,10.81,62222,0.03,0.42,0.28,3.89,0.21,-1
2023-07-24,11.09,11.89,10.72,10.85,232971,-0.24,1.17,-2.21,10.78,0.58,-1
2023-07-21,10.9,12.0,10.9,11.15,63925,0.25,1.1,2.24,9.87,0.55,1
2023-07-20,10.89,10.9,10.89,10.9,1858,0.01,0.01,0.09,0.09,0.0,1
2023-07-19,10.85,10.85,10.85,10.85,200,0.0,0.0,0.01,0.01,0.0,-1
2023-07-18,10.83,10.85,10.83,10.85,1154,0.02,0.02,0.18,0.18,0.01,-1
2023-07-17,10.84,10.85,10.8,10.85,8354,0.01,0.05,0.09,0.46,0.02,1
2023-07-14,10.84,10.84,10.82,10.82,920,-0.02,0.02,-0.16,0.18,0.01,-1
2023-07-13,10.83,10.83,10.82,10.83,3214,0.0,0.01,0.0,0.09,0.0,-1
2023-07-12,10.82,10.83,10.82,10.83,5469,0.0,0.01,0.05,0.05,0.0,1
2023-07-11,10.82,10.82,10.82,10.82,100,0.0,0.0,0.0,0.0,0.0,-1
2023-07-10,10.82,10.82,10.82,10.82,1,0.0,0.0,0.0,0.0,0.0,-1
2023-07-07,10.82,10.82,10.82,10.82,0,0.0,0.0,0.0,0.0,0.0,-1
2023-07-06,10.82,10.82,10.82,10.82,5615,0.0,0.0,0.0,0.0,0.0,-1
2023-07-05,10.83,10.84,10.83,10.84,994,0.01,0.01,0.09,0.09,0.0,1
2023-07-03,10.81,10.81,10.81,10.81,2,0.0,0.0,0.0,0.0,0.0,-1
2023-06-30,10.84,10.85,10.81,10.81,3303,-0.03,0.04,-0.28,0.37,0.02,-1
2023-06-29,10.8,10.81,10.8,10.81,5110,0.01,0.01,0.09,0.09,0.0,-1
2023-06-28,10.84,10.84,10.84,10.84,22,0.0,0.0,0.0,0.0,0.0,-1
2023-06-27,10.84,10.84,10.84,10.84,44,0.0,0.0,0.0,0.0,0.0,-1
2023-06-26,10.84,10.84,10.84,10.84,172,0.0,0.0,0.0,0.0,0.0,1
2023-06-23,10.7,10.7,10.7,10.7,100,0.0,0.0,0.0,0.0,0.0,1
2023-06-22,10.68,10.68,10.68,10.68,104,0.0,0.0,0.0,0.0,0.0,-1
2023-06-21,10.69,10.69,10.69,10.69,456,0.0,0.0,0.0,0.0,0.0,-1
2023-06-20,10.69,10.69,10.69,10.69,171,0.0,0.0,0.0,0.0,0.0,1
2023-06-16,10.66,10.66,10.66,10.66,218,0.0,0.0,0.0,0.0,0.0,1
2023-06-15,10.6,10.6,10.6,10.6,7286,0.0,0.0,0.0,0.0,0.0,-1
2023-06-14,10.69,10.69,10.69,10.69,24,0.0,0.0,0.0,0.0,0.0,-1
2023-06-13,10.69,10.69,10.69,10.69,0,0.0,0.0,0.0,0.0,0.0,-1
