Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-07,10.55,10.55,10.55,10.55,0,0.0,0.0,0.0,0.0,0.0,10.52,10.51,0.01,0.01,-0.0,2683949,57.86,20.0,1.67,1.0,18.33,High Volatility / Hold Signal,10.61,10.52,10.42,0.02,57.03,Target Volume,Expected Range,48.65,Strong Trend
2023-07-06,10.55,10.55,10.55,10.55,4200,0.0,0.0,0.0,0.0,0.0,10.52,10.5,0.01,0.01,-0.0,2683949,57.86,21.67,3.33,1.0,18.33,High Volatility / Hold Signal,10.61,10.52,10.42,0.02,57.03,Target Volume,Expected Range,48.5,Strong Trend
2023-07-05,10.58,10.58,10.55,10.55,43961,-0.03,0.03,-0.28,0.28,0.01,10.52,10.5,0.01,0.01,-0.0,2683949,57.86,23.33,5.0,1.0,18.33,High Volatility / Hold Signal,10.61,10.52,10.42,0.02,57.03,Target Volume,Expected Range,48.34,Strong Trend
2023-07-03,10.57,10.57,10.55,10.55,310,-0.02,0.02,-0.19,0.19,0.01,10.51,10.5,0.01,0.01,-0.0,2683949,57.58,25.0,6.67,1.0,18.33,High Volatility / Hold Signal,10.61,10.51,10.41,0.02,57.03,Target Volume,Expected Range,48.18,Strong Trend
2023-06-30,10.55,10.55,10.55,10.55,2,0.0,0.0,0.0,0.0,0.0,10.51,10.5,0.01,0.01,-0.0,2683949,57.0,26.67,0.0,1.0,26.67,Weak Buy Signal,10.61,10.51,10.41,0.02,57.03,Target Volume,Expected Range,48.02,Strong Trend
2023-06-29,10.54,10.55,10.54,10.55,220,0.01,0.01,0.09,0.09,0.01,10.51,10.5,0.01,0.01,-0.0,2683949,57.0,28.33,0.0,1.0,28.33,Weak Buy Signal,10.62,10.51,10.4,0.02,57.03,Target Volume,Expected Range,47.87,Strong Trend
2023-06-28,10.57,10.57,10.57,10.57,106,0.0,0.0,0.0,0.0,0.0,10.51,10.5,0.01,0.01,-0.0,2684169,60.17,30.0,1.67,1.0,28.33,Weak Buy Signal,10.62,10.51,10.4,0.02,58.16,Target Volume,Expected Range,47.71,Strong Trend
2023-06-27,10.54,10.54,10.54,10.54,2,0.0,0.0,0.0,0.0,0.0,10.5,10.49,0.01,0.01,-0.0,2684063,59.5,31.67,3.33,1.0,28.33,Weak Buy Signal,10.62,10.5,10.39,0.02,57.11,Target Volume,Expected Range,47.5,Strong Trend
2023-06-26,10.56,10.56,10.54,10.54,4702,-0.01,0.01,-0.09,0.09,0.0,10.5,10.49,0.01,0.01,-0.0,2684063,59.5,33.33,5.0,1.0,28.33,Weak Buy Signal,10.62,10.5,10.38,0.02,57.11,Target Volume,Expected Range,47.3,Strong Trend
2023-06-23,10.57,10.57,10.55,10.55,1197,-0.02,0.02,-0.19,0.19,0.01,10.5,10.49,0.01,0.01,-0.0,2688765,60.02,35.0,0.0,1.0,35.0,Weak Buy Signal,10.62,10.5,10.38,0.02,57.39,Target Volume,Expected Range,47.09,Strong Trend
