Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-10,21.45,21.5,21.31,21.31,16093,-0.14,0.19,-0.66,0.89,0.1,-1
2023-08-09,21.58,21.58,21.46,21.46,31955,-0.12,0.12,-0.56,0.57,0.06,-1
2023-08-08,21.49,21.55,21.42,21.5,20222,0.02,0.13,0.07,0.6,0.06,-1
2023-08-07,21.44,21.59,21.39,21.55,31885,0.11,0.2,0.51,0.93,0.1,1
2023-08-04,21.2,21.43,21.04,21.39,13821,0.19,0.39,0.89,1.85,0.2,1
2023-08-03,21.12,21.28,21.0,21.15,31141,0.03,0.28,0.14,1.32,0.14,-1
2023-08-02,21.41,21.58,21.25,21.27,29025,-0.14,0.33,-0.67,1.55,0.16,-1
2023-08-01,21.89,21.91,21.6,21.61,13325,-0.28,0.31,-1.3,1.43,0.15,-1
2023-07-31,21.76,22.08,21.63,22.04,41465,0.28,0.45,1.27,2.04,0.22,1
2023-07-28,21.58,21.88,21.58,21.62,17821,0.04,0.3,0.19,1.36,0.15,-1
2023-07-27,22.15,22.18,21.64,21.64,29352,-0.51,0.54,-2.36,2.5,0.27,-1
2023-07-26,21.85,22.05,21.78,21.87,27056,0.02,0.27,0.09,1.23,0.13,1
2023-07-25,21.6,21.79,21.57,21.79,13240,0.19,0.22,0.87,1.01,0.11,1
2023-07-24,21.69,21.72,21.6,21.6,10785,-0.09,0.12,-0.42,0.57,0.06,1
2023-07-21,21.48,21.63,21.39,21.59,22798,0.11,0.24,0.51,1.11,0.12,1
2023-07-20,21.44,21.56,21.36,21.36,14811,-0.08,0.2,-0.37,0.92,0.1,-1
2023-07-19,21.5,21.61,21.45,21.46,24125,-0.04,0.16,-0.19,0.74,0.08,-1
2023-07-18,21.47,21.65,21.39,21.47,47422,0.0,0.26,0.0,1.21,0.13,-1
2023-07-17,21.53,21.62,21.44,21.47,17087,-0.06,0.18,-0.28,0.84,0.09,-1
2023-07-14,21.68,21.69,21.54,21.54,23043,-0.14,0.15,-0.65,0.7,0.08,-1
2023-07-13,21.65,21.75,21.54,21.61,23909,-0.04,0.21,-0.19,0.98,0.11,1
2023-07-12,21.65,21.75,21.55,21.55,14324,-0.1,0.2,-0.46,0.93,0.1,1
2023-07-11,21.76,21.78,21.5,21.52,96561,-0.24,0.28,-1.09,1.3,0.14,-1
2023-07-10,21.77,21.85,21.57,21.6,29936,-0.17,0.28,-0.79,1.3,0.14,-1
2023-07-07,21.63,21.84,21.51,21.67,12731,0.04,0.33,0.18,1.52,0.16,1
2023-07-06,21.82,21.85,21.51,21.52,16026,-0.3,0.34,-1.39,1.58,0.17,-1
2023-07-05,22.2,22.29,21.98,22.01,26394,-0.19,0.31,-0.86,1.41,0.15,-1
2023-07-03,22.12,22.23,22.1,22.15,10652,0.03,0.13,0.14,0.58,0.06,1
2023-06-30,21.85,22.26,21.82,22.03,128557,0.18,0.44,0.82,2.0,0.22,1
2023-06-29,21.92,21.94,21.72,21.77,68079,-0.15,0.22,-0.69,1.01,0.11,-1
2023-06-28,21.99,22.1,21.8,21.8,33714,-0.19,0.3,-0.87,1.38,0.15,-1
2023-06-27,21.97,21.98,21.81,21.88,21595,-0.09,0.17,-0.41,0.77,0.08,1
2023-06-26,21.82,21.98,21.69,21.8,14794,-0.02,0.29,-0.09,1.33,0.14,1
