Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-03,0.12,0.13,0.12,0.12,60051,0.0,0.01,2.68,8.11,0.01,1
2023-08-02,0.1,0.12,0.1,0.11,65794,0.02,0.03,14.54,23.08,0.01,-1
2023-08-01,0.12,0.12,0.11,0.11,1200,-0.01,0.01,-6.36,6.36,0.0,-1
2023-07-31,0.12,0.12,0.12,0.12,7000,0.0,0.0,0.0,0.0,0.0,-1
2023-07-28,0.1,0.14,0.1,0.13,12738,0.03,0.04,22.68,31.95,0.02,1
2023-07-27,0.09,0.09,0.09,0.09,560,0.0,0.0,3.06,3.06,0.0,1
2023-07-26,0.08,0.12,0.08,0.08,16332,-0.0,0.05,-4.0,58.75,0.02,1
2023-07-25,0.09,0.09,0.07,0.07,9686,-0.02,0.02,-23.12,29.25,0.01,-1
2023-07-24,0.08,0.12,0.08,0.08,23849,0.0,0.04,2.47,51.98,0.02,-1
2023-07-21,0.07,0.08,0.06,0.08,22285,0.01,0.02,11.42,24.72,0.01,1
2023-07-20,0.06,0.08,0.06,0.06,53173,0.0,0.02,5.4,31.9,0.01,1
2023-07-19,0.06,0.06,0.04,0.04,161075,-0.01,0.01,-24.67,24.89,0.01,-1
2023-07-18,0.08,0.08,0.05,0.05,19470,-0.03,0.03,-61.6,61.6,0.02,-1
2023-07-17,0.12,0.13,0.07,0.07,11301,-0.05,0.06,-73.61,81.67,0.03,-1
2023-07-14,0.08,0.15,0.05,0.15,32454,0.07,0.1,49.13,66.09,0.05,1
2023-07-13,0.08,0.15,0.07,0.09,42623,0.01,0.08,9.98,94.15,0.04,1
2023-07-12,0.05,0.1,0.05,0.07,5828,0.02,0.05,22.71,72.14,0.03,-1
2023-07-11,0.08,0.1,0.07,0.07,2774,-0.01,0.03,-16.06,52.45,0.02,-1
2023-07-10,0.08,0.08,0.04,0.07,2801,-0.01,0.04,-13.0,57.61,0.02,-1
2023-07-07,0.06,0.07,0.06,0.07,971,0.01,0.01,12.86,14.0,0.0,1
2023-07-06,0.1,0.1,0.05,0.06,5554,-0.04,0.05,-74.61,80.04,0.02,1
2023-07-05,0.05,0.05,0.05,0.05,13,0.0,0.0,0.0,0.0,0.0,-1
2023-07-03,0.07,0.08,0.04,0.05,33728,-0.02,0.04,-40.55,84.84,0.02,-1
2023-06-30,0.09,0.09,0.06,0.06,75163,-0.03,0.03,-50.0,51.0,0.02,-1
2023-06-29,0.11,0.11,0.11,0.11,164020,0.0,0.0,0.0,0.0,0.0,-1
