Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-10,0.11,0.11,0.11,0.11,100,0.0,0.0,0.0,0.0,0.0,-1
2023-07-07,0.12,0.12,0.12,0.12,1,0.0,0.0,0.0,0.0,0.0,-1
2023-07-06,0.12,0.12,0.12,0.12,401,-0.0,0.0,-2.4,2.4,0.0,1
2023-07-05,0.11,0.11,0.11,0.11,0,0.0,0.0,0.0,0.0,0.0,-1
2023-07-03,0.1,0.12,0.1,0.11,19744,0.01,0.02,7.81,14.44,0.01,1
2023-06-30,0.09,0.09,0.09,0.09,2,0.0,0.0,0.0,0.0,0.0,-1
2023-06-29,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-28,0.1,0.1,0.09,0.09,799,-0.02,0.02,-22.6,22.6,0.01,-1
2023-06-27,0.14,0.14,0.08,0.09,2029,-0.05,0.06,-50.65,64.07,0.03,-1
2023-06-26,0.07,0.14,0.07,0.09,2531,0.02,0.07,23.92,74.68,0.03,-1
2023-06-23,0.11,0.11,0.11,0.11,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-22,0.19,0.19,0.11,0.11,1801,-0.08,0.08,-71.66,71.66,0.04,-1
2023-06-21,0.17,0.18,0.07,0.12,6475,-0.05,0.11,-40.42,88.83,0.05,1
2023-06-20,0.1,0.1,0.07,0.09,4201,-0.01,0.03,-9.29,32.35,0.01,-1
2023-06-16,0.14,0.14,0.14,0.14,2,0.0,0.0,0.0,0.0,0.0,-1
2023-06-15,0.14,0.14,0.12,0.14,3401,0.0,0.02,0.64,13.72,0.01,1
2023-06-14,0.1,0.14,0.07,0.11,19929,0.01,0.07,9.18,59.55,0.03,-1
2023-06-13,0.12,0.12,0.1,0.12,3903,-0.0,0.02,-3.14,16.86,0.01,1
2023-06-12,0.1,0.1,0.07,0.09,4216,-0.01,0.03,-12.37,32.4,0.01,-1
2023-06-09,0.11,0.11,0.11,0.11,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-08,0.12,0.12,0.08,0.11,8845,-0.01,0.04,-10.26,39.87,0.02,1
2023-06-07,0.08,0.08,0.08,0.08,1,0.0,0.0,0.0,0.0,0.0,-1
2023-06-06,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-05,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-02,0.1,0.1,0.07,0.08,31540,-0.02,0.03,-21.47,31.89,0.01,-1
2023-06-01,0.1,0.1,0.1,0.1,198,0.0,0.0,0.0,0.0,0.0,-1
2023-05-31,0.14,0.14,0.14,0.14,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-30,0.14,0.14,0.14,0.14,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-26,0.14,0.14,0.14,0.14,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-25,0.07,0.14,0.07,0.14,600,0.07,0.07,49.93,49.93,0.03,-1
2023-05-24,0.14,0.14,0.14,0.14,100,0.0,0.0,0.0,0.0,0.0,-1
2023-05-23,0.14,0.14,0.14,0.14,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-22,0.14,0.14,0.14,0.14,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-19,0.14,0.14,0.14,0.14,200,-0.0,0.0,-0.07,0.07,0.0,1
2023-05-18,0.11,0.13,0.11,0.13,4802,0.02,0.02,16.88,18.61,0.01,1
2023-05-17,0.13,0.14,0.07,0.12,6403,-0.02,0.07,-15.33,58.99,0.03,-1
2023-05-16,0.14,0.14,0.14,0.14,1,0.0,0.0,0.0,0.0,0.0,-1
2023-05-15,0.12,0.14,0.12,0.14,301,0.02,0.02,15.43,15.43,0.01,1
2023-05-12,0.09,0.12,0.09,0.12,4095,0.02,0.03,20.86,25.42,0.02,-1
2023-05-11,0.1,0.15,0.08,0.15,3701,0.05,0.07,32.42,47.77,0.04,1
2023-05-10,0.09,0.09,0.09,0.09,11,0.0,0.0,0.0,0.0,0.0,-1
2023-05-09,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-08,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-05,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-04,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-03,0.09,0.09,0.09,0.09,300,0.0,0.0,0.0,0.0,0.0,-1
2023-05-02,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-01,0.11,0.12,0.08,0.09,2802,-0.02,0.04,-25.52,43.7,0.02,1
2023-04-28,0.1,0.1,0.07,0.08,3491,-0.02,0.03,-17.92,34.67,0.01,-1
2023-04-27,0.1,0.1,0.1,0.1,1,0.0,0.0,0.0,0.0,0.0,-1
2023-04-26,0.1,0.1,0.1,0.1,295,0.0,0.0,0.0,0.0,0.0,-1
2023-04-25,0.15,0.15,0.15,0.15,2,0.0,0.0,0.0,0.0,0.0,-1
2023-04-24,0.13,0.15,0.12,0.15,3498,0.01,0.03,9.32,18.18,0.01,-1
2023-04-21,0.15,0.15,0.07,0.15,4323,0.0,0.08,0.0,52.5,0.04,1
2023-04-20,0.13,0.13,0.13,0.13,1,0.0,0.0,0.0,0.0,0.0,-1
2023-04-19,0.13,0.13,0.12,0.13,2503,-0.0,0.01,-1.35,10.31,0.01,-1
2023-04-18,0.11,0.15,0.07,0.15,4417,0.04,0.08,27.11,51.93,0.04,-1
2023-04-17,0.15,0.15,0.15,0.15,100,0.0,0.0,0.0,0.0,0.0,-1
2023-04-14,0.15,0.15,0.15,0.15,0,0.0,0.0,0.0,0.0,0.0,-1
2023-04-13,0.15,0.15,0.15,0.15,501,0.0,0.0,0.0,0.0,0.0,1
2023-04-12,0.1,0.1,0.1,0.1,1,0.0,0.0,0.0,0.0,0.0,-1
2023-04-11,0.15,0.15,0.1,0.1,8346,-0.04,0.04,-40.57,40.57,0.02,-1
2023-04-10,0.1,0.15,0.07,0.15,6227,0.05,0.08,31.4,52.47,0.04,1
2023-04-06,0.13,0.16,0.11,0.11,4523,-0.02,0.05,-14.75,42.81,0.02,-1
2023-04-05,0.17,0.17,0.07,0.17,10823,0.0,0.1,0.29,58.76,0.05,1
2023-04-04,0.17,0.17,0.07,0.12,6766,-0.05,0.1,-40.83,81.33,0.05,1
2023-04-03,0.15,0.17,0.08,0.1,46100,-0.05,0.09,-50.0,90.0,0.05,-1
2023-03-31,0.09,0.17,0.07,0.15,28600,0.06,0.1,40.07,63.4,0.05,1
2023-03-30,0.09,0.09,0.09,0.09,600,0.0,0.0,0.0,0.0,0.0,-1
2023-03-29,0.08,0.09,0.08,0.09,10600,0.0,0.0,1.87,3.16,0.0,1
2023-03-28,0.07,0.07,0.07,0.07,40,0.0,0.0,0.0,0.0,0.0,-1
2023-03-27,0.1,0.1,0.07,0.07,104110,-0.03,0.03,-42.65,42.65,0.01,-1
2023-03-24,0.1,0.1,0.1,0.1,455,0.0,0.0,0.0,0.0,0.0,-1
2023-03-23,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,0.0,0.0,-1
2023-03-22,0.1,0.1,0.09,0.1,29872,-0.0,0.01,-0.1,7.8,0.0,-1
2023-03-21,0.12,0.12,0.12,0.12,0,0.0,0.0,0.0,0.0,0.0,-1
2023-03-20,0.12,0.12,0.12,0.12,0,0.0,0.0,0.0,0.0,0.0,-1
2023-03-17,0.12,0.12,0.12,0.12,275350,0.0,0.0,0.0,0.0,0.0,1
2023-03-16,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,0.0,0.0,-1
2023-03-15,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,0.0,0.0,-1
2023-03-14,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,0.0,0.0,-1
2023-03-13,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,0.0,0.0,-1
2023-03-10,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,0.0,0.0,-1
2023-03-09,0.1,0.1,0.1,0.1,101,0.0,0.0,0.0,0.0,0.0,-1
2023-03-08,0.17,0.17,0.17,0.17,73,0.0,0.0,0.0,0.0,0.0,-1
2023-03-07,0.15,0.17,0.15,0.17,800,0.02,0.02,14.29,14.29,0.01,1
2023-03-06,0.1,0.15,0.1,0.15,6013,0.05,0.05,31.41,31.41,0.02,-1
2023-03-03,0.11,0.28,0.11,0.16,16298,0.05,0.17,30.63,105.8,0.08,1
2023-03-02,0.1,0.1,0.1,0.1,100,0.0,0.0,0.0,0.0,0.0,-1
2023-03-01,0.1,0.1,0.1,0.1,100,0.0,0.0,0.0,0.0,0.0,-1
2023-02-28,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,0.0,0.0,-1
2023-02-27,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,0.0,0.0,-1
2023-02-24,0.1,0.1,0.1,0.1,200,0.0,0.0,0.0,0.0,0.0,-1
2023-02-23,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,0.0,0.0,-1
2023-02-22,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,0.0,0.0,-1
2023-02-21,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,0.0,0.0,-1
2023-02-17,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,0.0,0.0,-1
2023-02-16,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,0.0,0.0,-1
2023-02-15,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,0.0,0.0,-1
2023-02-14,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,0.0,0.0,-1
2023-02-13,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,0.0,0.0,-1
2023-02-10,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,0.0,0.0,-1
2023-02-09,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,0.0,0.0,-1
2023-02-08,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,0.0,0.0,-1
2023-02-07,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,0.0,0.0,-1
2023-02-06,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,0.0,0.0,-1
2023-02-03,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,0.0,0.0,-1
2023-02-02,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,0.0,0.0,-1
2023-02-01,0.1,0.1,0.1,0.1,100,0.0,0.0,0.0,0.0,0.0,-1
2023-01-31,0.12,0.12,0.1,0.1,1080402,-0.02,0.02,-20.1,20.1,0.01,-1
2023-01-30,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,0.0,0.0,-1
2023-01-27,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,0.0,0.0,-1
2023-01-26,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,0.0,0.0,-1
2023-01-25,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,0.0,0.0,-1
2023-01-24,0.1,0.1,0.1,0.1,1,0.0,0.0,0.0,0.0,0.0,-1
2023-01-23,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,0.0,0.0,-1
2023-01-20,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,0.0,0.0,-1
2023-01-19,0.12,0.12,0.1,0.1,1401,-0.02,0.02,-14.46,14.46,0.01,1
2023-01-18,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,0.0,0.0,-1
2023-01-17,0.09,0.09,0.09,0.09,50,0.0,0.0,0.0,0.0,0.0,-1
2023-01-13,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,0.0,0.0,-1
2023-01-12,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,0.0,0.0,-1
2023-01-11,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,0.0,0.0,-1
2023-01-10,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,0.0,0.0,-1
2023-01-09,0.09,0.09,0.09,0.09,2,0.0,0.0,0.0,0.0,0.0,-1
2023-01-06,0.08,0.09,0.08,0.09,1166,0.01,0.01,11.0,11.0,0.0,1
2023-01-05,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,0.0,0.0,-1
2023-01-04,0.08,0.08,0.08,0.08,10200,0.0,0.0,0.0,0.0,0.0,-1
2023-01-03,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,0.0,0.0,-1
2022-12-30,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,0.0,0.0,-1
2022-12-29,0.08,0.08,0.08,0.08,200,0.0,0.0,0.0,0.0,0.0,-1
2022-12-28,0.08,0.08,0.08,0.08,700,-0.0,0.0,-0.13,0.13,0.0,-1
2022-12-27,0.08,0.08,0.08,0.08,300,0.0,0.0,0.0,0.0,0.0,-1
2022-12-23,0.08,0.08,0.08,0.08,2250,0.0,0.0,0.12,0.12,0.0,-1
2022-12-22,0.08,0.08,0.08,0.08,100,0.0,0.0,0.0,0.0,0.0,1
2022-12-21,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0,0.0,-1
2022-12-20,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0,0.0,-1
2022-12-19,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0,0.0,-1
2022-12-16,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0,0.0,-1
2022-12-15,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0,0.0,-1
2022-12-14,0.07,0.07,0.07,0.07,100,0.0,0.0,0.0,0.0,0.0,-1
2022-12-13,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0,0.0,-1
2022-12-12,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0,0.0,-1
2022-12-09,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0,0.0,-1
2022-12-08,0.07,0.07,0.07,0.07,99,0.0,0.0,0.0,0.0,0.0,-1
2022-12-07,0.07,0.07,0.07,0.07,1,0.0,0.0,0.0,0.0,0.0,-1
2022-12-06,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,0.0,0.0,-1
2022-12-05,0.07,0.07,0.07,0.07,201,0.0,0.0,0.0,0.0,0.0,-1
2022-12-02,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,0.0,0.0,-1
2022-12-01,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,0.0,0.0,-1
2022-11-30,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,0.0,0.0,-1
2022-11-29,0.08,0.08,0.08,0.08,185400,0.0,0.0,0.0,0.0,0.0,-1
2022-11-28,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,0.0,0.0,-1
2022-11-25,0.08,0.08,0.08,0.08,58848,0.0,0.0,0.0,0.0,0.0,-1
2022-11-23,0.08,0.08,0.08,0.08,1,0.0,0.0,0.0,0.0,0.0,-1
2022-11-22,0.08,0.08,0.08,0.08,47678,0.0,0.0,0.0,0.0,0.0,-1
2022-11-21,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,0.0,0.0,-1
2022-11-18,0.08,0.08,0.08,0.08,60000,0.0,0.0,0.0,0.0,0.0,-1
2022-11-17,0.08,0.08,0.08,0.08,200,0.0,0.0,0.0,0.0,0.0,-1
