Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-08-10,10.32,10.32,10.32,10.32,4,0.0,0.0,0.0,0.0,0.0,10.32,10.33,-0.01,-0.0,-0.0,3663549,66.57,33.33,30.0,1.0,3.33,High Volatility / Hold Signal,10.45,10.32,10.2,0.02,51.68,Target Volume,Expected Range,60.58,Very Strong Trend
2023-08-09,10.32,10.32,10.32,10.32,0,0.0,0.0,0.0,0.0,0.0,10.32,10.33,-0.0,-0.0,-0.0,3663549,66.57,35.0,31.67,1.0,3.33,High Volatility / Hold Signal,10.45,10.32,10.2,0.02,51.68,Target Volume,Expected Range,60.48,Very Strong Trend
2023-08-08,10.32,10.32,10.32,10.32,1,0.0,0.0,0.0,0.0,0.0,10.32,10.33,-0.0,-0.0,-0.0,3663549,66.57,36.67,33.33,1.0,3.33,High Volatility / Hold Signal,10.45,10.32,10.2,0.02,51.68,Target Volume,Expected Range,60.38,Very Strong Trend
2023-08-07,10.32,10.32,10.32,10.32,3,0.0,0.0,0.0,0.0,0.0,10.32,10.33,-0.0,-0.0,-0.0,3663549,66.57,38.33,35.0,1.0,3.33,High Volatility / Hold Signal,10.45,10.32,10.2,0.02,51.68,Target Volume,Expected Range,60.27,Very Strong Trend
2023-08-04,10.32,10.32,10.32,10.32,0,0.0,0.0,0.0,0.0,0.0,10.32,10.33,-0.0,-0.0,-0.0,3663549,66.57,40.0,36.67,1.0,3.33,High Volatility / Hold Signal,10.45,10.32,10.2,0.02,51.68,Target Volume,Expected Range,60.17,Very Strong Trend
2023-08-03,10.32,10.32,10.32,10.32,0,0.0,0.0,0.0,0.0,0.0,10.32,10.33,-0.0,0.0,-0.0,3663549,66.57,41.67,38.33,1.0,3.33,High Volatility / Hold Signal,10.45,10.32,10.2,0.02,51.68,Target Volume,Expected Range,60.06,Very Strong Trend
2023-08-02,10.32,10.32,10.32,10.32,16,0.0,0.0,0.0,0.0,0.0,10.33,10.33,-0.0,0.0,-0.0,3663549,66.57,43.33,40.0,1.0,3.33,High Volatility / Hold Signal,10.45,10.33,10.2,0.02,51.68,Target Volume,Expected Range,59.95,Very Strong Trend
2023-08-01,10.32,10.32,10.32,10.32,244,0.0,0.0,0.0,0.0,0.0,10.33,10.33,-0.0,0.0,-0.0,3663549,66.57,45.0,41.67,1.0,3.33,High Volatility / Hold Signal,10.46,10.33,10.2,0.03,51.68,Target Volume,Expected Range,59.83,Very Strong Trend
2023-07-31,10.35,10.35,10.35,10.35,3,0.0,0.0,0.0,0.0,0.0,10.33,10.33,0.0,0.0,-0.0,3663793,67.93,46.67,43.33,1.0,3.33,High Volatility / Hold Signal,10.46,10.33,10.2,0.03,52.82,Target Volume,Expected Range,59.72,Very Strong Trend
2023-07-28,10.35,10.35,10.35,10.35,12,0.0,0.0,0.0,0.0,0.0,10.33,10.33,-0.0,0.0,-0.0,3663793,67.93,48.33,45.0,1.0,3.33,High Volatility / Hold Signal,10.46,10.33,10.2,0.03,52.82,Target Volume,Expected Range,59.58,Very Strong Trend
2023-07-27,10.35,10.35,10.35,10.35,1040,0.0,0.0,0.0,0.0,0.0,10.33,10.33,-0.0,0.0,-0.01,3663793,67.93,50.0,46.67,1.0,3.33,High Volatility / Hold Signal,10.46,10.33,10.2,0.03,52.82,Target Volume,Expected Range,59.44,Very Strong Trend
2023-07-26,10.3,10.3,10.3,10.3,2,0.0,0.0,0.0,0.0,0.0,10.33,10.33,-0.0,0.01,-0.01,3662753,67.42,51.67,48.33,1.0,3.33,High Volatility / Hold Signal,10.46,10.33,10.2,0.03,50.76,Target Volume,Expected Range,59.3,Very Strong Trend
2023-07-25,10.3,10.3,10.3,10.3,180,0.0,0.0,0.0,0.0,0.0,10.33,10.33,0.0,0.01,-0.01,3662753,67.42,53.33,50.0,1.0,3.33,High Volatility / Hold Signal,10.46,10.33,10.2,0.03,50.76,Target Volume,Expected Range,59.16,Very Strong Trend
2023-07-24,10.35,10.35,10.35,10.35,2,0.0,0.0,0.0,0.0,0.0,10.33,10.33,0.01,0.01,-0.0,3662933,70.03,55.0,51.67,1.0,3.33,High Volatility / Hold Signal,10.46,10.33,10.2,0.03,53.0,Target Volume,Expected Range,59.02,Very Strong Trend
2023-07-21,10.35,10.35,10.35,10.35,1,0.0,0.0,0.0,0.0,0.0,10.33,10.33,0.01,0.01,-0.0,3662933,70.03,56.67,53.33,1.0,3.33,High Volatility / Hold Signal,10.46,10.33,10.2,0.03,53.0,Target Volume,Expected Range,58.83,Very Strong Trend
2023-07-20,10.35,10.35,10.35,10.35,1,0.0,0.0,0.0,0.0,0.0,10.33,10.33,0.01,0.01,-0.0,3662933,70.03,58.33,55.0,1.0,3.33,High Volatility / Hold Signal,10.46,10.33,10.2,0.03,53.0,Target Volume,Expected Range,58.64,Very Strong Trend
2023-07-19,10.35,10.35,10.35,10.35,101,0.0,0.0,0.0,0.0,0.0,10.33,10.33,0.01,0.01,-0.0,3662933,70.03,60.0,0.0,1.0,60.0,Weak Buy Signal,10.46,10.33,10.2,0.03,53.0,Target Volume,Expected Range,58.45,Very Strong Trend
2023-07-18,10.37,10.37,10.37,10.37,1,0.0,0.0,0.0,0.0,0.0,10.33,10.33,0.01,0.01,0.0,3663034,71.02,61.67,1.67,1.0,60.0,Weak Buy Signal,10.46,10.33,10.2,0.03,53.88,Target Volume,Expected Range,58.25,Very Strong Trend
2023-07-17,10.37,10.37,10.37,10.37,1,0.0,0.0,0.0,0.0,0.0,10.33,10.33,0.01,0.01,0.0,3663034,71.02,63.33,3.33,1.0,60.0,Weak Buy Signal,10.46,10.33,10.2,0.03,53.88,Target Volume,Expected Range,58.03,Very Strong Trend
2023-07-14,10.37,10.37,10.37,10.37,6,0.0,0.0,0.0,0.0,0.0,10.33,10.32,0.01,0.01,0.0,3663034,71.02,65.0,5.0,1.0,60.0,Weak Buy Signal,10.46,10.33,10.2,0.03,53.88,Target Volume,Expected Range,57.81,Very Strong Trend
2023-07-13,10.37,10.37,10.37,10.37,1,0.0,0.0,0.0,0.0,0.0,10.33,10.32,0.01,0.01,0.0,3663034,71.02,66.67,6.67,1.0,60.0,Weak Buy Signal,10.46,10.33,10.2,0.03,53.88,Target Volume,Expected Range,57.59,Very Strong Trend
2023-07-12,10.39,10.4,10.32,10.37,2129,-0.02,0.08,-0.19,0.77,0.04,10.33,10.32,0.01,0.01,0.0,3663034,71.02,68.33,8.33,1.0,60.0,Weak Buy Signal,10.46,10.33,10.2,0.03,53.88,Target Volume,Expected Range,57.36,Very Strong Trend
2023-07-11,10.29,10.57,10.25,10.41,1466,0.12,0.32,1.11,3.07,0.16,10.33,10.32,0.01,0.01,0.0,3665163,71.02,70.0,10.0,1.0,60.0,Weak Buy Signal,10.46,10.33,10.2,0.03,55.61,Target Volume,Expected Range,57.13,Very Strong Trend
2023-07-10,10.36,10.36,10.36,10.36,101,0.0,0.0,0.0,0.0,0.0,10.33,10.32,0.01,0.01,-0.0,3663697,69.32,71.67,11.67,1.0,60.0,Weak Buy Signal,10.45,10.33,10.2,0.02,53.8,Target Volume,Expected Range,56.9,Very Strong Trend
2023-07-07,10.32,10.32,10.32,10.32,2,0.0,0.0,0.0,0.0,0.0,10.33,10.31,0.0,0.01,-0.0,3663596,69.02,73.33,13.33,1.0,60.0,Weak Buy Signal,10.45,10.33,10.2,0.02,52.45,Target Volume,Expected Range,56.69,Very Strong Trend
2023-07-06,10.32,10.32,10.32,10.32,0,0.0,0.0,0.0,0.0,0.0,10.33,10.31,0.01,0.01,-0.0,3663596,69.02,75.0,15.0,1.0,60.0,Weak Buy Signal,10.45,10.33,10.2,0.02,52.45,Target Volume,Expected Range,56.48,Very Strong Trend
2023-07-05,10.32,10.32,10.32,10.32,98,0.0,0.0,0.0,0.0,0.0,10.33,10.31,0.01,0.01,-0.0,3663596,69.02,76.67,16.67,1.0,60.0,Weak Buy Signal,10.45,10.33,10.2,0.02,52.45,Target Volume,Expected Range,56.26,Very Strong Trend
2023-07-03,10.34,10.34,10.23,10.32,4006,-0.02,0.11,-0.15,1.07,0.05,10.33,10.31,0.01,0.01,-0.0,3663596,69.02,78.33,18.33,1.0,60.0,Weak Buy Signal,10.45,10.33,10.2,0.02,52.45,Target Volume,Expected Range,56.05,Very Strong Trend
2023-06-30,10.34,10.34,10.34,10.34,224,0.0,0.0,0.0,0.0,0.0,10.33,10.31,0.01,0.01,-0.0,3667602,74.0,80.0,20.0,1.0,60.0,Weak Buy Signal,10.45,10.33,10.2,0.02,53.08,Target Volume,Expected Range,55.83,Very Strong Trend
2023-06-29,10.34,10.34,10.34,10.34,466,0.0,0.0,0.0,0.0,0.0,10.33,10.31,0.01,0.01,-0.0,3667602,74.0,81.67,21.67,1.0,60.0,Weak Buy Signal,10.45,10.33,10.2,0.02,53.08,Target Volume,Expected Range,55.52,Very Strong Trend
2023-06-28,10.34,10.34,10.34,10.34,72,0.0,0.0,0.0,0.0,0.0,10.33,10.31,0.01,0.01,-0.0,3667602,74.0,83.33,23.33,1.0,60.0,Weak Buy Signal,10.45,10.33,10.2,0.02,53.08,Target Volume,Expected Range,55.21,Very Strong Trend
2023-06-27,10.3,10.34,10.3,10.34,9950,0.04,0.04,0.39,0.39,0.02,10.32,10.31,0.01,0.01,0.0,3667602,74.0,85.0,25.0,1.0,60.0,Weak Buy Signal,10.45,10.32,10.2,0.02,53.08,Target Volume,Expected Range,54.89,Very Strong Trend
2023-06-26,10.37,10.39,10.33,10.33,750,-0.04,0.06,-0.39,0.58,0.03,10.32,10.31,0.02,0.01,0.0,3657652,75.32,86.67,26.67,1.0,60.0,Weak Buy Signal,10.45,10.32,10.2,0.02,52.73,Target Volume,Expected Range,54.56,Very Strong Trend
2023-06-23,10.36,10.36,10.33,10.33,786,-0.03,0.03,-0.29,0.29,0.01,10.32,10.31,0.02,0.01,0.01,3657652,75.14,88.33,28.33,1.0,60.0,Weak Buy Signal,10.45,10.32,10.2,0.02,52.73,Target Volume,Expected Range,54.21,Very Strong Trend
2023-06-22,10.53,10.53,10.36,10.36,585,-0.17,0.17,-1.64,1.64,0.08,10.32,10.31,0.02,0.01,0.01,3658438,76.44,90.0,30.0,1.0,60.0,Weak Buy Signal,10.45,10.32,10.2,0.02,53.88,Target Volume,Expected Range,53.86,Very Strong Trend
2023-06-21,10.39,10.52,10.35,10.37,17092,-0.02,0.17,-0.19,1.64,0.08,10.32,10.31,0.02,0.01,0.02,3659023,76.38,91.67,31.67,1.0,60.0,Weak Buy Signal,10.45,10.32,10.19,0.02,54.27,Target Volume,Expected Range,53.48,Very Strong Trend
2023-06-20,10.49,10.49,10.32,10.4,8046,-0.09,0.17,-0.87,1.63,0.08,10.32,10.3,0.02,0.0,0.02,3676115,76.21,93.33,33.33,1.0,60.0,Weak Buy Signal,10.45,10.32,10.19,0.02,55.45,Target Volume,Expected Range,53.09,Very Strong Trend
2023-06-16,10.62,11.0,10.35,10.49,34511,-0.13,0.65,-1.24,6.2,0.33,10.32,10.3,0.02,-0.0,0.02,3684161,77.48,95.0,35.0,1.0,60.0,Weak Buy Signal,10.44,10.32,10.19,0.02,59.24,Target Volume,Expected Range,52.69,Very Strong Trend
2023-06-15,10.75,10.76,10.26,10.38,25683,-0.37,0.5,-3.56,4.78,0.25,10.32,10.29,0.01,-0.01,0.01,3649650,76.1,96.67,36.67,1.0,60.0,Weak Buy Signal,10.43,10.32,10.2,0.02,55.59,Target Volume,Expected Range,52.27,Very Strong Trend
2023-06-14,10.98,11.25,10.23,10.49,13400,-0.49,1.02,-4.71,9.72,0.51,10.31,10.29,0.0,-0.01,0.01,3675333,76.1,98.33,38.33,1.0,60.0,Weak Buy Signal,10.43,10.31,10.2,0.02,60.96,Trending Low,Bearish Trend,51.87,Very Strong Trend
2023-06-13,10.74,11.36,10.23,10.26,39428,-0.48,1.13,-4.7,10.98,0.56,10.31,10.28,-0.02,-0.01,-0.0,3661933,76.1,100.0,40.0,1.0,60.0,Weak Buy Signal,10.42,10.31,10.2,0.02,51.28,Target Volume,Expected Range,51.46,Very Strong Trend
2023-06-12,10.32,10.32,10.22,10.23,3736,-0.09,0.1,-0.88,0.93,0.05,10.31,10.29,-0.02,-0.01,-0.01,3622505,68.29,90.0,41.67,1.0,48.33,Weak Buy Signal,10.42,10.31,10.2,0.02,49.68,Target Volume,Expected Range,51.04,Very Strong Trend
2023-06-09,10.23,10.24,10.22,10.22,3014,-0.01,0.02,-0.1,0.2,0.01,10.31,10.29,-0.02,-0.01,-0.01,3618769,67.48,91.67,43.33,1.0,48.33,Weak Buy Signal,10.42,10.31,10.21,0.02,49.14,Target Volume,Expected Range,50.75,Very Strong Trend
2023-06-08,10.26,10.26,10.24,10.24,225,-0.02,0.02,-0.2,0.2,0.01,10.31,10.29,-0.01,-0.01,-0.01,3621783,68.54,93.33,45.0,1.0,48.33,Weak Buy Signal,10.42,10.31,10.21,0.02,50.21,Target Volume,Expected Range,50.47,Very Strong Trend
2023-06-07,10.23,10.28,10.22,10.24,34640,0.01,0.06,0.1,0.59,0.03,10.31,10.29,-0.01,-0.01,-0.0,3621783,68.54,95.0,46.67,1.0,48.33,Weak Buy Signal,10.42,10.31,10.21,0.02,50.21,Target Volume,Expected Range,50.16,Very Strong Trend
