Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-17,20.62,20.97,20.58,20.97,9007,0.36,0.39,1.69,1.86,0.2,1
2023-07-14,20.7,20.8,20.61,20.61,7902,-0.09,0.19,-0.44,0.92,0.1,-1
2023-07-13,20.7,20.71,20.7,20.71,426,0.01,0.01,0.05,0.05,0.01,-1
2023-07-12,20.7,20.76,20.45,20.76,1243,0.06,0.31,0.29,1.49,0.16,1
2023-07-11,20.36,20.55,20.36,20.55,1336,0.19,0.19,0.92,0.92,0.1,1
2023-07-10,20.4,20.53,20.13,20.29,5391,-0.11,0.4,-0.54,1.95,0.2,-1
2023-07-07,20.55,20.55,20.22,20.31,3036,-0.24,0.33,-1.18,1.62,0.17,-1
2023-07-06,20.73,20.73,20.31,20.55,6341,-0.18,0.42,-0.88,2.02,0.21,-1
2023-07-05,20.8,20.82,20.16,20.77,2069,-0.03,0.66,-0.14,3.18,0.33,-1
2023-07-03,20.66,21.12,20.66,21.09,9182,0.43,0.45,2.05,2.16,0.23,1
2023-06-30,20.66,20.73,20.64,20.64,4477,-0.02,0.09,-0.1,0.43,0.04,1
2023-06-29,20.51,20.73,20.44,20.5,6164,-0.01,0.29,-0.05,1.41,0.14,1
2023-06-28,20.56,20.6,20.44,20.44,1266,-0.12,0.16,-0.61,0.78,0.08,-1
2023-06-27,20.45,20.45,20.41,20.45,1269,0.0,0.04,0.02,0.21,0.02,-1
2023-06-26,20.68,20.68,20.31,20.45,2098,-0.23,0.37,-1.12,1.8,0.18,1
2023-06-23,20.54,20.54,20.3,20.4,3207,-0.14,0.24,-0.69,1.18,0.12,-1
2023-06-22,20.57,20.63,20.44,20.63,3007,0.06,0.19,0.29,0.92,0.09,1
2023-06-21,20.2,20.3,20.2,20.29,1793,0.09,0.1,0.44,0.49,0.05,-1
2023-06-20,20.2,20.3,20.02,20.29,3571,0.09,0.28,0.44,1.38,0.14,1
2023-06-16,20.2,20.2,20.11,20.15,2721,-0.05,0.09,-0.25,0.44,0.04,-1
2023-06-15,20.55,20.55,20.01,20.31,2392,-0.24,0.54,-1.17,2.65,0.27,1
2023-06-14,20.39,20.53,20.15,20.15,2244,-0.24,0.38,-1.19,1.89,0.19,1
2023-06-13,20.11,20.18,20.02,20.05,5665,-0.06,0.16,-0.3,0.82,0.08,-1
2023-06-12,20.48,20.62,20.04,20.11,5473,-0.37,0.58,-1.84,2.88,0.29,-1
2023-06-09,20.2,20.48,20.2,20.48,3998,0.28,0.28,1.37,1.37,0.14,1
2023-06-08,20.4,20.4,20.14,20.19,4229,-0.21,0.26,-1.05,1.29,0.13,-1
2023-06-07,20.04,20.48,20.04,20.48,2108,0.44,0.44,2.12,2.12,0.22,1
2023-06-06,20.0,20.3,19.9,19.96,5776,-0.04,0.4,-0.19,2.0,0.2,-1
2023-06-05,19.62,20.0,19.51,20.0,8100,0.38,0.49,1.92,2.46,0.25,1
2023-06-02,19.3,19.68,19.3,19.64,9402,0.34,0.38,1.73,1.93,0.19,1
2023-06-01,19.07,19.48,19.07,19.3,9029,0.23,0.41,1.19,2.15,0.21,1
2023-05-31,19.11,19.11,19.01,19.07,10747,-0.04,0.1,-0.21,0.52,0.05,-1
2023-05-30,19.29,19.29,19.01,19.07,7919,-0.22,0.28,-1.15,1.47,0.14,-1
2023-05-26,19.5,19.5,19.02,19.1,4862,-0.4,0.48,-2.09,2.51,0.24,-1
2023-05-25,19.67,19.68,19.53,19.53,10023,-0.14,0.15,-0.72,0.77,0.07,-1
2023-05-24,19.8,19.81,19.5,19.63,3989,-0.17,0.31,-0.87,1.58,0.15,-1
2023-05-23,19.82,19.95,19.64,19.74,4599,-0.08,0.31,-0.41,1.57,0.15,-1
2023-05-22,19.75,19.81,19.53,19.81,2865,0.06,0.28,0.3,1.42,0.14,1
2023-05-19,19.35,19.5,19.32,19.49,4788,0.14,0.18,0.72,0.92,0.09,-1
2023-05-18,19.62,19.66,19.34,19.53,2407,-0.09,0.32,-0.46,1.64,0.16,1
2023-05-17,19.08,19.39,19.08,19.39,7107,0.31,0.31,1.59,1.59,0.15,1
2023-05-16,19.72,19.82,19.08,19.15,29667,-0.57,0.74,-2.98,3.86,0.37,-1
2023-05-15,19.88,19.9,19.82,19.84,10287,-0.04,0.08,-0.18,0.4,0.04,-1
2023-05-12,20.23,20.23,19.91,20.0,4981,-0.23,0.32,-1.15,1.6,0.16,-1
2023-05-11,20.21,20.21,20.07,20.1,5806,-0.11,0.14,-0.55,0.7,0.07,-1
2023-05-10,20.38,20.73,20.1,20.16,5329,-0.22,0.63,-1.07,3.12,0.31,-1
2023-05-09,20.3,20.84,20.06,20.45,13590,0.15,0.78,0.73,3.81,0.39,1
2023-05-08,19.99,20.69,19.99,20.39,15297,0.4,0.7,1.96,3.43,0.35,1
