Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-18,19.81,20.13,19.71,20.0,330373,0.19,0.42,0.95,2.1,0.21,-1
2023-08-17,20.0,20.4,19.91,20.1,492561,0.1,0.5,0.5,2.46,0.25,-1
2023-08-16,20.6,20.72,20.11,20.15,451253,-0.45,0.61,-2.23,3.0,0.3,-1
2023-08-15,20.13,20.92,19.95,20.6,585518,0.47,0.96,2.28,4.68,0.48,1
2023-08-14,20.03,20.46,19.75,20.43,976317,0.4,0.71,1.96,3.48,0.36,1
2023-08-11,20.21,20.36,19.51,20.01,1100507,-0.2,0.85,-1.0,4.25,0.42,-1
2023-08-10,20.82,21.22,20.37,20.4,1142435,-0.42,0.85,-2.06,4.17,0.42,-1
2023-08-09,20.77,21.09,20.5,20.52,1000190,-0.25,0.59,-1.22,2.88,0.29,-1
2023-08-08,20.76,21.34,20.62,20.83,4296742,0.07,0.72,0.34,3.46,0.36,-1
2023-08-07,22.7,23.23,22.56,23.15,214432,0.45,0.67,1.94,2.89,0.34,1
2023-08-04,23.18,23.65,22.64,22.78,259024,-0.4,1.01,-1.76,4.43,0.5,-1
2023-08-03,23.18,23.61,22.69,23.21,323328,0.03,0.92,0.13,3.96,0.46,-1
2023-08-02,23.97,24.32,23.21,23.23,333332,-0.74,1.11,-3.19,4.78,0.55,-1
2023-08-01,24.54,24.73,24.16,24.35,193230,-0.19,0.57,-0.78,2.34,0.29,-1
2023-07-31,24.61,25.02,24.55,24.73,340856,0.12,0.47,0.49,1.9,0.23,-1
2023-07-28,24.96,25.08,24.58,24.73,211512,-0.23,0.49,-0.93,2.0,0.25,-1
2023-07-27,25.3,25.52,24.68,24.75,255661,-0.55,0.84,-2.22,3.39,0.42,-1
2023-07-26,24.89,25.72,24.89,25.25,271023,0.36,0.83,1.43,3.29,0.41,1
2023-07-25,24.67,25.08,24.39,24.87,390211,0.2,0.69,0.8,2.77,0.34,1
2023-07-24,24.01,24.52,24.0,24.45,191933,0.44,0.52,1.8,2.13,0.26,1
2023-07-21,24.38,24.39,24.02,24.09,200866,-0.29,0.37,-1.2,1.52,0.18,-1
2023-07-20,24.32,24.42,23.8,24.21,221114,-0.11,0.62,-0.45,2.56,0.31,-1
2023-07-19,24.49,24.94,24.35,24.64,220209,0.15,0.59,0.61,2.39,0.29,1
2023-07-18,23.98,24.55,23.79,24.25,294819,0.27,0.76,1.11,3.13,0.38,1
2023-07-17,24.57,24.72,23.74,23.9,304820,-0.67,0.98,-2.8,4.12,0.49,-1
2023-07-14,25.68,25.7,24.79,24.86,188519,-0.82,0.91,-3.3,3.66,0.46,-1
2023-07-13,25.82,25.84,25.4,25.71,200529,-0.11,0.45,-0.43,1.75,0.22,-1
2023-07-12,25.99,26.33,25.8,25.8,266729,-0.19,0.53,-0.74,2.04,0.26,1
2023-07-11,25.18,25.54,24.95,25.52,245852,0.34,0.59,1.33,2.32,0.3,1
