Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-17,10.2,10.2,10.17,10.17,668,-0.03,0.03,-0.29,0.29,0.01,1
2023-07-14,10.15,10.15,10.15,10.15,0,0.0,0.0,0.0,0.0,0.0,-1
2023-07-13,10.13,10.15,10.13,10.15,300,0.02,0.02,0.2,0.2,0.01,1
2023-07-12,10.14,10.14,10.14,10.14,105,0.0,0.0,0.0,0.0,0.0,-1
2023-07-11,10.14,10.14,10.14,10.14,103,0.0,0.0,0.0,0.0,0.0,-1
2023-07-10,10.18,10.18,10.18,10.18,0,0.0,0.0,0.0,0.0,0.0,-1
2023-07-07,10.18,10.18,10.18,10.18,36,0.0,0.0,0.0,0.0,0.0,-1
2023-07-06,10.18,10.18,10.18,10.18,0,0.0,0.0,0.0,0.0,0.0,-1
2023-07-05,10.18,10.18,10.18,10.18,0,0.0,0.0,0.0,0.0,0.0,-1
2023-07-03,10.18,10.18,10.18,10.18,100,0.0,0.0,0.0,0.0,0.0,1
2023-06-30,10.15,10.16,10.15,10.16,13598,0.01,0.01,0.12,0.12,0.01,1
2023-06-29,10.1,10.1,10.1,10.1,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-28,10.1,10.1,10.1,10.1,45,0.0,0.0,0.0,0.0,0.0,-1
2023-06-27,10.1,10.1,10.1,10.1,100,0.0,0.0,0.0,0.0,0.0,-1
2023-06-26,10.15,10.15,10.15,10.15,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-23,10.15,10.15,10.15,10.15,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-22,10.15,10.15,10.15,10.15,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-21,10.15,10.15,10.15,10.15,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-20,10.14,10.15,10.14,10.15,16290,0.0,0.01,0.05,0.05,0.0,1
2023-06-16,10.14,10.14,10.14,10.14,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-15,10.14,10.14,10.14,10.14,3650,0.0,0.0,0.0,0.0,0.0,-1
2023-06-14,10.15,10.15,10.14,10.14,700,-0.01,0.01,-0.1,0.1,0.0,-1
2023-06-13,10.14,10.14,10.14,10.14,150,0.0,0.0,0.0,0.0,0.0,-1
2023-06-12,10.14,10.14,10.14,10.14,300,0.0,0.0,0.0,0.0,0.0,-1
2023-06-09,10.14,10.14,10.14,10.14,152,0.0,0.0,0.0,0.0,0.0,-1
2023-06-08,10.15,10.15,10.15,10.15,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-07,10.15,10.15,10.15,10.15,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-06,10.15,10.15,10.15,10.15,303,0.0,0.0,0.0,0.0,0.0,1
2023-06-02,10.14,10.14,10.14,10.14,400,0.0,0.0,0.0,0.0,0.0,-1
2023-06-01,10.14,10.14,10.14,10.14,600,0.0,0.0,0.0,0.0,0.0,-1
2023-05-31,10.14,10.14,10.14,10.14,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-30,10.14,10.14,10.14,10.14,100,0.0,0.0,0.0,0.0,0.0,-1
2023-05-26,10.14,10.14,10.14,10.14,3,0.0,0.0,0.0,0.0,0.0,-1
2023-05-25,10.14,10.14,10.14,10.14,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-24,10.14,10.14,10.14,10.14,11300,0.0,0.0,0.0,0.0,0.0,1
2023-05-23,10.12,10.12,10.12,10.12,102,0.0,0.0,0.0,0.0,0.0,-1
2023-05-22,10.12,10.12,10.12,10.12,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-19,10.12,10.12,10.12,10.12,3352,0.0,0.0,0.0,0.0,0.0,-1
2023-05-18,10.14,10.14,10.14,10.14,322,0.0,0.0,0.0,0.0,0.0,-1
2023-05-17,10.14,10.14,10.14,10.14,1000,0.0,0.0,0.0,0.0,0.0,-1
2023-05-16,10.15,10.15,10.15,10.15,1,0.0,0.0,0.0,0.0,0.0,-1
