Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-10,10.44,10.44,10.44,10.44,1,0.0,0.0,0.0,0.0,0.0,-1
2023-07-07,10.44,10.44,10.44,10.44,4,0.0,0.0,0.0,0.0,0.0,-1
2023-07-06,10.44,10.44,10.44,10.44,1,0.0,0.0,0.0,0.0,0.0,-1
2023-07-05,10.38,10.44,10.33,10.44,520,0.06,0.11,0.55,1.05,0.05,1
2023-07-03,10.36,10.36,10.36,10.36,400,0.0,0.0,0.0,0.0,0.0,1
2023-06-30,10.35,10.35,10.35,10.35,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-29,10.35,10.35,10.35,10.35,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-28,10.35,10.35,10.35,10.35,150,0.0,0.0,0.0,0.0,0.0,1
2023-06-27,10.32,10.32,10.32,10.32,45,0.0,0.0,0.0,0.0,0.0,-1
2023-06-26,10.32,10.32,10.32,10.32,1,0.0,0.0,0.0,0.0,0.0,-1
2023-06-23,10.32,10.32,10.32,10.32,75,0.0,0.0,0.0,0.0,0.0,-1
2023-06-22,10.32,10.32,10.32,10.32,360,0.0,0.0,0.0,0.0,0.0,-1
2023-06-21,10.32,10.32,10.32,10.32,396,0.0,0.0,0.0,0.0,0.0,1
2023-06-20,10.31,10.31,10.31,10.31,86,0.0,0.0,0.0,0.0,0.0,-1
2023-06-16,10.31,10.31,10.31,10.31,1,0.0,0.0,0.0,0.0,0.0,-1
2023-06-15,10.31,10.31,10.31,10.31,104,0.0,0.0,0.0,0.0,0.0,-1
2023-06-14,10.31,10.32,10.31,10.31,1929,0.0,0.01,0.0,0.1,0.0,-1
2023-06-13,10.31,10.31,10.31,10.31,91,0.0,0.0,0.0,0.0,0.0,-1
2023-06-12,10.31,10.31,10.31,10.31,101,0.0,0.0,0.0,0.0,0.0,-1
2023-06-09,10.31,10.31,10.31,10.31,101,0.0,0.0,0.0,0.0,0.0,1
2023-06-08,10.3,10.3,10.3,10.3,106,0.0,0.0,0.0,0.0,0.0,-1
2023-06-07,10.3,10.3,10.3,10.3,154,0.0,0.0,0.0,0.0,0.0,-1
2023-06-06,10.3,10.3,10.3,10.3,415,0.0,0.0,0.0,0.0,0.0,1
2023-06-05,10.29,10.29,10.29,10.29,60,0.0,0.0,0.0,0.0,0.0,-1
2023-06-02,10.29,10.29,10.29,10.29,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-01,10.29,10.29,10.29,10.29,400,0.0,0.0,0.0,0.0,0.0,-1
2023-05-31,10.36,10.36,10.36,10.36,310,0.0,0.0,0.0,0.0,0.0,1
2023-05-30,10.3,10.3,10.3,10.3,260,0.0,0.0,0.0,0.0,0.0,-1
2023-05-26,10.27,10.3,10.27,10.3,530,0.03,0.03,0.29,0.29,0.01,1
2023-05-25,10.29,10.29,10.29,10.29,34,0.0,0.0,0.0,0.0,0.0,-1
2023-05-24,10.29,10.29,10.29,10.29,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-23,10.29,10.29,10.29,10.29,300,0.0,0.0,0.0,0.0,0.0,1
2023-05-22,10.28,10.28,10.28,10.28,401,0.0,0.0,0.02,0.02,0.0,1
2023-05-19,10.27,10.27,10.27,10.27,1,0.0,0.0,0.0,0.0,0.0,-1
2023-05-18,10.27,10.3,10.27,10.27,1221,0.0,0.03,0.0,0.29,0.02,-1
2023-05-17,10.27,10.27,10.27,10.27,149,0.0,0.0,0.0,0.0,0.0,-1
2023-05-16,10.27,10.27,10.27,10.27,101,0.0,0.0,0.0,0.0,0.0,-1
2023-05-15,10.35,10.35,10.35,10.35,61,0.0,0.0,0.0,0.0,0.0,-1
2023-05-12,10.35,10.35,10.35,10.35,1,0.0,0.0,0.0,0.0,0.0,-1
2023-05-11,10.35,10.35,10.35,10.35,1,0.0,0.0,0.0,0.0,0.0,-1
2023-05-10,10.35,10.35,10.35,10.35,1,0.0,0.0,0.0,0.0,0.0,-1
2023-05-09,10.35,10.35,10.35,10.35,1,0.0,0.0,0.0,0.0,0.0,-1
2023-05-08,10.26,10.35,10.26,10.35,301,0.09,0.09,0.87,0.87,0.04,1
2023-05-05,10.26,10.27,10.26,10.27,300,0.01,0.01,0.1,0.1,0.0,-1
2023-05-04,10.27,10.27,10.26,10.27,500,0.0,0.01,0.04,0.1,0.0,1
2023-05-03,10.26,10.26,10.26,10.26,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-02,10.26,10.26,10.26,10.26,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-01,10.26,10.26,10.26,10.26,200,0.0,0.0,0.0,0.0,0.0,-1
2023-04-28,10.26,10.26,10.26,10.26,191,0.0,0.0,0.0,0.0,0.0,1
2023-04-27,10.25,10.25,10.25,10.25,1,0.0,0.0,0.0,0.0,0.0,-1
2023-04-26,10.26,10.26,10.25,10.25,1801,-0.01,0.01,-0.1,0.1,0.0,-1
2023-04-25,10.25,10.25,10.25,10.25,1,0.0,0.0,0.0,0.0,0.0,-1
2023-04-24,10.25,10.25,10.25,10.25,0,0.0,0.0,0.0,0.0,0.0,-1
2023-04-21,10.25,10.25,10.25,10.25,3059,0.0,0.0,0.0,0.0,0.0,-1
2023-04-20,10.25,10.26,10.25,10.25,4460,0.0,0.01,0.0,0.1,0.0,-1
2023-04-19,10.26,10.26,10.26,10.26,10,0.0,0.0,0.0,0.0,0.0,-1
2023-04-18,10.26,10.26,10.26,10.26,10,0.0,0.0,0.0,0.0,0.0,-1
2023-04-17,10.26,10.26,10.26,10.26,0,0.0,0.0,0.0,0.0,0.0,-1
2023-04-14,10.28,10.28,10.23,10.26,850,-0.02,0.05,-0.23,0.54,0.03,1
2023-04-13,10.19,10.24,10.19,10.24,500,0.05,0.05,0.49,0.49,0.03,1
2023-04-12,10.22,10.22,10.22,10.22,286,0.0,0.0,0.0,0.0,0.0,-1
2023-04-11,10.23,10.23,10.23,10.23,5783,0.0,0.0,0.0,0.0,0.0,-1
2023-04-10,10.25,10.25,10.25,10.25,2801,-0.0,0.0,-0.0,0.0,0.0,-1
2023-04-06,10.28,10.28,10.28,10.28,1,0.0,0.0,0.0,0.0,0.0,-1
2023-04-05,10.28,10.28,10.28,10.28,150,0.0,0.0,0.0,0.0,0.0,1
2023-04-04,10.22,10.22,10.22,10.22,1,0.0,0.0,0.0,0.0,0.0,-1
2023-04-03,10.22,10.22,10.22,10.22,104,0.0,0.0,0.0,0.0,0.0,-1
2023-03-31,10.22,10.22,10.22,10.22,153,0.0,0.0,0.0,0.0,0.0,-1
2023-03-30,10.22,10.22,10.22,10.22,2,0.0,0.0,0.0,0.0,0.0,-1
2023-03-29,10.22,10.22,10.22,10.22,3,0.0,0.0,0.0,0.0,0.0,-1
2023-03-28,10.22,10.22,10.22,10.22,2,0.0,0.0,0.0,0.0,0.0,-1
2023-03-27,10.21,10.22,10.21,10.22,1696,0.01,0.01,0.1,0.1,0.0,1
2023-03-24,10.2,10.2,10.2,10.2,2045,0.0,0.0,0.0,0.0,0.0,-1
2023-03-23,10.22,10.22,10.22,10.22,2,0.0,0.0,0.0,0.0,0.0,-1
2023-03-22,10.21,10.22,10.21,10.22,1442,0.01,0.01,0.1,0.1,0.0,1
2023-03-21,10.18,10.2,10.18,10.2,500802,0.02,0.02,0.2,0.2,0.01,1
2023-03-20,10.17,10.22,10.17,10.18,13401,0.01,0.05,0.1,0.49,0.03,1
2023-03-17,10.17,10.17,10.17,10.17,5,0.0,0.0,0.0,0.0,0.0,-1
2023-03-16,10.16,10.18,10.16,10.17,11088,0.01,0.02,0.1,0.2,0.01,-1
2023-03-15,10.2,10.2,10.2,10.2,3000,0.0,0.0,0.0,0.0,0.0,-1
2023-03-14,10.2,10.21,10.2,10.2,1204,0.0,0.01,0.0,0.09,0.0,-1
2023-03-13,10.21,10.21,10.19,10.2,46465,-0.01,0.02,-0.1,0.2,0.01,-1
2023-03-10,10.21,10.21,10.21,10.21,5926,0.0,0.0,0.0,0.0,0.0,-1
2023-03-09,10.22,10.22,10.22,10.22,1201,0.0,0.0,0.0,0.0,0.0,-1
2023-03-08,10.2,10.22,10.2,10.22,2806,0.02,0.02,0.2,0.2,0.01,1
2023-03-07,10.18,10.18,10.18,10.18,2,0.0,0.0,0.0,0.0,0.0,-1
2023-03-06,10.18,10.18,10.18,10.18,6,0.0,0.0,0.0,0.0,0.0,-1
2023-03-03,10.18,10.18,10.18,10.18,2,0.0,0.0,0.0,0.0,0.0,-1
2023-03-02,10.18,10.18,10.18,10.18,5,0.0,0.0,0.0,0.0,0.0,-1
2023-03-01,10.18,10.18,10.18,10.18,14,0.0,0.0,0.0,0.0,0.0,-1
2023-02-28,10.19,10.19,10.18,10.18,1955,-0.01,0.01,-0.1,0.1,0.0,1
2023-02-27,10.16,10.16,10.15,10.16,3236,0.0,0.01,0.0,0.1,0.01,-1
2023-02-24,10.18,10.18,10.18,10.18,0,0.0,0.0,0.0,0.0,0.0,-1
2023-02-23,10.18,10.18,10.18,10.18,1120,0.0,0.0,0.0,0.0,0.0,1
2023-02-22,10.18,10.18,10.14,10.17,7191,-0.01,0.04,-0.1,0.39,0.02,1
2023-02-21,10.16,10.16,10.16,10.16,0,0.0,0.0,0.0,0.0,0.0,-1
2023-02-17,10.16,10.16,10.16,10.16,100,0.0,0.0,0.0,0.0,0.0,-1
2023-02-16,10.18,10.18,10.16,10.18,8397,0.0,0.02,0.0,0.15,0.01,1
2023-02-15,10.16,10.16,10.16,10.16,401,0.0,0.0,0.0,0.0,0.0,1
2023-02-14,10.14,10.14,10.14,10.14,0,0.0,0.0,0.0,0.0,0.0,-1
2023-02-13,10.14,10.14,10.13,10.14,6701,0.0,0.01,0.0,0.1,0.0,-1
2023-02-10,10.14,10.14,10.14,10.14,0,0.0,0.0,0.0,0.0,0.0,-1
2023-02-09,10.14,10.14,10.14,10.14,250100,0.0,0.0,0.0,0.0,0.0,1
2023-02-08,10.12,10.12,10.12,10.12,0,0.0,0.0,0.0,0.0,0.0,-1
2023-02-07,10.12,10.12,10.12,10.12,51,0.0,0.0,0.0,0.0,0.0,-1
2023-02-06,10.12,10.12,10.12,10.12,0,0.0,0.0,0.0,0.0,0.0,-1
2023-02-03,10.12,10.12,10.12,10.12,115,0.0,0.0,0.0,0.0,0.0,1
