Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-18,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.0,0.0,-0.0,-960711,4.13,95.0,23.33,1.0,71.67,Strong Buy Signal,0.05,0.03,0.02,0.74,46.66,Target Volume,Expected Range,9.73,Absent or Weak Trend
2023-07-17,0.03,0.03,0.03,0.03,200,-0.0,0.0,-4.64,4.64,0.0,0.03,0.04,0.0,0.0,-0.0,-960711,4.13,96.67,25.0,1.0,71.67,Strong Buy Signal,0.05,0.03,0.02,0.73,46.66,Target Volume,Expected Range,9.82,Absent or Weak Trend
2023-07-14,0.04,0.04,0.04,0.04,214,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.0,0.0,-0.0,-960511,5.33,98.33,0.0,1.0,98.33,Strong Buy Signal,0.05,0.03,0.02,0.73,47.78,Target Volume,Expected Range,9.92,Absent or Weak Trend
2023-07-13,0.06,0.07,0.04,0.04,4972,-0.02,0.03,-63.16,92.8,0.02,0.03,0.04,0.0,0.0,-0.0,-960297,5.34,100.0,1.67,1.0,98.33,Strong Buy Signal,0.05,0.03,0.02,0.74,47.79,Target Volume,Expected Range,10.0,Absent or Weak Trend
2023-07-12,0.04,0.04,0.02,0.03,6968,-0.01,0.02,-14.94,60.92,0.01,0.03,0.04,0.0,0.0,-0.0,-965269,3.68,98.33,3.33,1.0,95.0,Strong Buy Signal,0.05,0.03,0.02,0.74,47.36,Target Volume,Expected Range,10.07,Absent or Weak Trend
2023-07-11,0.07,0.07,0.04,0.04,6808,-0.03,0.03,-78.92,83.29,0.02,0.03,0.04,0.0,0.0,0.0,-958301,2.29,100.0,5.0,1.0,95.0,Strong Buy Signal,0.05,0.03,0.02,0.74,48.56,Target Volume,Expected Range,10.18,Absent or Weak Trend
2023-07-10,0.04,0.05,0.02,0.03,5713,-0.01,0.02,-22.94,73.53,0.01,0.03,0.04,0.0,0.0,0.0,-965109,6.06,98.33,6.67,1.0,91.67,Strong Buy Signal,0.05,0.03,0.02,0.74,46.98,Target Volume,Expected Range,10.32,Absent or Weak Trend
2023-07-07,0.05,0.05,0.05,0.05,106,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.0,0.0,0.0,-959396,5.19,100.0,8.33,1.0,91.67,Strong Buy Signal,0.05,0.03,0.02,0.75,52.52,Target Volume,Expected Range,10.39,Absent or Weak Trend
2023-07-06,0.05,0.05,0.04,0.04,1500,-0.01,0.01,-14.5,30.25,0.01,0.03,0.04,0.0,0.0,0.0,-959502,4.75,46.67,10.0,1.0,36.67,Weak Buy Signal,0.04,0.03,0.02,0.7,48.65,Target Volume,Expected Range,10.48,Absent or Weak Trend
2023-07-05,0.04,0.04,0.04,0.04,0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,-958002,1.02,48.33,11.67,1.0,36.67,Weak Buy Signal,0.04,0.03,0.02,0.69,48.69,Target Volume,Expected Range,10.57,Absent or Weak Trend
2023-07-03,0.04,0.04,0.04,0.04,0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,-958002,1.02,50.0,13.33,1.0,36.67,Weak Buy Signal,0.04,0.03,0.02,0.69,48.69,Target Volume,Expected Range,10.74,Absent or Weak Trend
2023-06-30,0.04,0.04,0.04,0.04,0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,-958002,1.02,51.67,15.0,1.0,36.67,Weak Buy Signal,0.04,0.03,0.02,0.68,48.69,Target Volume,Expected Range,10.9,Absent or Weak Trend
2023-06-29,0.04,0.04,0.04,0.04,0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,-958002,1.02,0.0,16.67,-1.0,-16.67,High Volatility / Hold Signal,0.04,0.03,0.02,0.67,48.69,Target Volume,Expected Range,11.07,Absent or Weak Trend
2023-06-28,0.04,0.04,0.04,0.04,0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,-0.0,0.0,-958002,1.02,1.67,18.33,-1.0,-16.67,High Volatility / Hold Signal,0.04,0.03,0.02,0.66,48.69,Target Volume,Expected Range,11.24,Absent or Weak Trend
2023-06-27,0.04,0.04,0.04,0.04,25600,0.0,0.0,0.25,0.25,0.0,0.03,0.03,0.0,-0.0,0.0,-958002,1.02,3.33,20.0,-1.0,-16.67,High Volatility / Hold Signal,0.04,0.03,0.02,0.68,48.69,Target Volume,Expected Range,11.41,Absent or Weak Trend
2023-06-26,0.03,0.05,0.03,0.05,2600,0.02,0.02,45.22,45.22,0.01,0.03,0.03,0.0,-0.0,0.0,-932402,1.02,5.0,21.67,-1.0,-16.67,High Volatility / Hold Signal,0.04,0.03,0.02,0.7,50.64,Target Volume,Expected Range,11.59,Absent or Weak Trend
2023-06-23,0.03,0.04,0.03,0.04,14130,0.01,0.01,14.57,40.0,0.01,0.03,0.03,-0.0,-0.0,0.0,-935002,0.84,6.67,23.33,-1.0,-16.67,High Volatility / Hold Signal,0.04,0.03,0.02,0.7,46.73,Target Volume,Expected Range,11.77,Absent or Weak Trend
2023-06-22,0.03,0.03,0.03,0.03,8374,0.0,0.0,3.28,4.01,0.0,0.03,0.03,-0.0,-0.0,-0.0,-949132,5.8,8.33,25.0,-1.0,-16.67,High Volatility / Hold Signal,0.04,0.03,0.02,0.72,43.7,Target Volume,Expected Range,11.95,Absent or Weak Trend
2023-06-21,0.03,0.03,0.03,0.03,100,0.0,0.0,0.0,0.0,0.0,0.03,0.03,-0.0,-0.0,-0.0,-957506,6.19,10.0,26.67,-1.0,-16.67,High Volatility / Hold Signal,0.04,0.03,0.02,0.73,43.37,Target Volume,Expected Range,12.06,Absent or Weak Trend
2023-06-20,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,-0.0,-0.0,-0.0,-957506,6.19,11.67,28.33,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.03,0.02,0.75,43.37,Target Volume,Expected Range,12.16,Absent or Weak Trend
2023-06-16,0.02,0.03,0.02,0.03,135960,0.01,0.01,24.81,30.08,0.0,0.03,0.03,-0.0,-0.0,-0.0,-957506,6.19,13.33,30.0,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.03,0.02,0.76,43.37,Target Volume,Expected Range,12.26,Absent or Weak Trend
2023-06-15,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,-0.0,-0.0,-0.0,-821546,2.29,15.0,31.67,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.03,0.02,0.76,44.43,Target Volume,Expected Range,12.36,Absent or Weak Trend
2023-06-14,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,-0.0,-0.0,-0.0,-821546,2.29,16.67,33.33,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.03,0.02,0.78,44.43,Target Volume,Expected Range,12.53,Absent or Weak Trend
2023-06-13,0.02,0.03,0.02,0.03,8100,0.01,0.01,38.0,38.33,0.01,0.03,0.03,-0.0,-0.0,-0.0,-821546,2.29,18.33,35.0,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.03,0.02,0.79,44.43,Target Volume,Expected Range,12.7,Absent or Weak Trend
2023-06-12,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,-0.0,-0.0,-0.0,-821546,1.76,20.0,36.67,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.03,0.02,0.79,44.43,Target Volume,Expected Range,12.88,Absent or Weak Trend
2023-06-09,0.02,0.03,0.02,0.03,110200,0.01,0.01,33.33,33.33,0.0,0.03,0.03,-0.0,-0.0,-0.0,-821546,1.76,21.67,38.33,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.03,0.02,0.8,44.43,Target Volume,Expected Range,13.07,Absent or Weak Trend
2023-06-08,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,-0.0,-0.0,-0.0,-821546,5.44,23.33,40.0,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.03,0.02,0.81,44.43,Target Volume,Expected Range,13.26,Absent or Weak Trend
2023-06-07,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,-0.0,-0.0,-0.0,-821546,5.44,25.0,41.67,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.04,0.02,0.81,44.43,Target Volume,Expected Range,13.39,Absent or Weak Trend
2023-06-06,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,-0.0,-0.0,-0.0,-821546,5.44,26.67,43.33,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.04,0.02,0.81,44.43,Target Volume,Expected Range,13.53,Absent or Weak Trend
2023-06-05,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,-0.0,-0.0,-0.0,-821546,5.44,28.33,45.0,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.04,0.02,0.81,44.43,Target Volume,Expected Range,13.67,Absent or Weak Trend
2023-06-02,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,-0.0,-0.0,-0.0,-821546,5.44,30.0,46.67,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.04,0.02,0.81,44.43,Target Volume,Expected Range,13.8,Absent or Weak Trend
2023-06-01,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,-0.0,-0.0,-0.0,-821546,5.44,31.67,48.33,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.04,0.02,0.81,44.43,Target Volume,Expected Range,13.95,Absent or Weak Trend
2023-05-31,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,-0.0,-0.0,-0.0,-821546,5.44,33.33,50.0,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.04,0.02,0.81,44.43,Target Volume,Expected Range,14.09,Absent or Weak Trend
2023-05-30,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,-0.0,0.0,-0.0,-821546,5.44,35.0,51.67,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.04,0.02,0.81,44.43,Target Volume,Expected Range,14.24,Absent or Weak Trend
2023-05-26,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,-0.0,0.0,-0.0,-821546,5.44,36.67,53.33,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.04,0.02,0.81,44.43,Target Volume,Expected Range,14.39,Absent or Weak Trend
2023-05-25,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,-0.0,0.0,-0.0,-821546,5.44,38.33,55.0,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.04,0.02,0.81,44.43,Target Volume,Expected Range,14.54,Absent or Weak Trend
2023-05-24,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,-0.0,-821546,5.44,40.0,56.67,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.04,0.02,0.81,44.43,Target Volume,Expected Range,14.69,Absent or Weak Trend
2023-05-23,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,-0.0,-821546,5.44,41.67,58.33,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.04,0.02,0.81,44.43,Target Volume,Expected Range,14.85,Absent or Weak Trend
2023-05-22,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0,-821546,5.44,43.33,60.0,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.04,0.02,0.81,44.43,Target Volume,Expected Range,15.01,Absent or Weak Trend
2023-05-19,0.03,0.03,0.03,0.03,900,-0.0,0.0,-2.0,2.0,0.0,0.04,0.04,0.0,0.0,0.0,-821546,5.44,45.0,61.67,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.04,0.02,0.81,44.43,Target Volume,Expected Range,15.17,Absent or Weak Trend
2023-05-18,0.05,0.05,0.05,0.05,0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0,-820646,11.83,46.67,63.33,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.04,0.02,0.81,49.63,Target Volume,Expected Range,15.34,Absent or Weak Trend
2023-05-17,0.05,0.05,0.05,0.05,0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,-0.0,0.0,-820646,11.83,48.33,65.0,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.04,0.02,0.8,49.63,Target Volume,Expected Range,15.39,Absent or Weak Trend
2023-05-16,0.05,0.05,0.05,0.05,203,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.0,-0.0,0.0,-820646,11.83,50.0,66.67,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.03,0.02,0.78,49.63,Target Volume,Expected Range,15.46,Absent or Weak Trend
2023-05-15,0.04,0.04,0.03,0.03,2300,-0.02,0.02,-57.14,57.14,0.01,0.03,0.04,-0.0,-0.0,0.0,-820849,9.7,51.67,68.33,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.03,0.02,0.76,42.1,Target Volume,Expected Range,15.52,Absent or Weak Trend
2023-05-12,0.04,0.04,0.04,0.04,0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,-0.0,-0.0,0.0,-818549,12.94,53.33,70.0,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.03,0.02,0.75,44.89,Target Volume,Expected Range,15.62,Absent or Weak Trend
2023-05-11,0.04,0.04,0.04,0.04,1,0.0,0.0,0.0,0.0,0.0,0.03,0.04,-0.0,-0.0,0.0,-818549,12.94,55.0,71.67,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.03,0.02,0.76,44.89,Target Volume,Expected Range,15.66,Absent or Weak Trend
2023-05-10,0.02,0.04,0.02,0.04,4648,0.02,0.02,50.14,50.14,0.01,0.03,0.04,-0.0,-0.0,0.0,-818549,12.94,56.67,73.33,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.03,0.02,0.76,44.89,Target Volume,Expected Range,15.71,Absent or Weak Trend
2023-05-09,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,-0.0,-0.0,0.0,-823197,16.81,58.33,75.0,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.03,0.02,0.76,42.47,Target Volume,Expected Range,15.75,Absent or Weak Trend
2023-05-08,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,-0.0,-0.0,0.0,-823197,16.81,60.0,76.67,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.03,0.02,0.76,42.47,Target Volume,Expected Range,15.74,Absent or Weak Trend
2023-05-05,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,-0.0,-0.0,0.0,-823197,16.81,61.67,78.33,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.03,0.02,0.76,42.47,Target Volume,Expected Range,15.72,Absent or Weak Trend
2023-05-04,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,-0.0,-0.0,0.0,-823197,16.81,63.33,80.0,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.03,0.02,0.76,42.47,Target Volume,Expected Range,15.7,Absent or Weak Trend
2023-05-03,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,-0.0,-0.0,0.0,-823197,16.81,65.0,81.67,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.03,0.02,0.76,42.47,Target Volume,Expected Range,15.68,Absent or Weak Trend
2023-05-02,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,-0.0,-0.0,0.0,-823197,16.81,66.67,83.33,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.03,0.02,0.75,42.47,Target Volume,Expected Range,15.66,Absent or Weak Trend
2023-05-01,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,-0.0,-0.0,0.0,-823197,16.81,68.33,85.0,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.03,0.02,0.75,42.47,Target Volume,Expected Range,15.64,Absent or Weak Trend
2023-04-28,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,-0.0,-0.0,-0.0,-823197,16.81,70.0,86.67,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.03,0.02,0.75,42.47,Target Volume,Expected Range,15.62,Absent or Weak Trend
2023-04-27,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,-0.0,-0.0,-0.0,-823197,16.81,71.67,88.33,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.03,0.02,0.75,42.47,Target Volume,Expected Range,15.6,Absent or Weak Trend
2023-04-26,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,-0.0,-0.0,-0.0,-823197,16.81,73.33,90.0,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.03,0.02,0.75,42.47,Target Volume,Expected Range,15.58,Absent or Weak Trend
2023-04-25,0.02,0.03,0.02,0.03,6317,0.0,0.01,16.39,24.08,0.0,0.04,0.04,-0.0,-0.0,-0.0,-823197,16.81,75.0,91.67,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.04,0.02,0.9,42.47,Target Volume,Expected Range,15.56,Absent or Weak Trend
2023-04-24,0.02,0.03,0.02,0.03,550,0.01,0.01,20.65,22.58,0.0,0.04,0.04,-0.0,-0.0,-0.0,-816880,16.56,76.67,93.33,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.04,0.02,0.95,42.73,Target Volume,Expected Range,15.54,Absent or Weak Trend
2023-04-21,0.03,0.04,0.03,0.03,8516,0.0,0.0,0.3,12.2,0.0,0.04,0.04,-0.0,-0.0,-0.0,-816330,19.06,78.33,95.0,-1.0,-16.67,High Volatility / Hold Signal,0.05,0.04,0.02,0.99,43.15,Target Volume,Expected Range,15.52,Absent or Weak Trend
2023-04-20,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,-0.0,-0.0,-0.0,-824846,18.27,80.0,96.67,-1.0,-16.67,High Volatility / Hold Signal,0.06,0.04,0.02,1.04,43.12,Target Volume,Expected Range,15.46,Absent or Weak Trend
2023-04-19,0.04,0.04,0.03,0.03,704,-0.0,0.01,-14.68,22.94,0.0,0.04,0.04,-0.0,-0.0,-0.0,-824846,18.27,81.67,0.0,1.0,81.67,Strong Buy Signal,0.06,0.04,0.02,1.07,43.12,Target Volume,Expected Range,15.42,Absent or Weak Trend
2023-04-18,0.02,0.03,0.02,0.03,600,0.01,0.01,45.0,45.0,0.01,0.04,0.04,-0.0,-0.0,-0.0,-825550,16.79,83.33,1.67,1.0,81.67,Strong Buy Signal,0.06,0.04,0.02,1.1,42.3,Target Volume,Expected Range,15.37,Absent or Weak Trend
