Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-18,21.82,21.98,21.82,21.98,1387,0.16,0.16,0.73,0.73,0.08,-1
2023-07-17,21.94,22.0,21.93,22.0,6359,0.06,0.07,0.27,0.32,0.04,1
2023-07-14,21.96,21.96,21.79,21.8,1573,-0.16,0.17,-0.73,0.77,0.08,-1
2023-07-13,21.66,21.85,21.66,21.85,2634,0.19,0.19,0.87,0.87,0.1,1
2023-07-12,21.71,21.99,21.7,21.7,17282,-0.01,0.29,-0.05,1.34,0.14,1
2023-07-11,21.4,21.54,21.4,21.54,1110,0.14,0.14,0.65,0.65,0.07,1
2023-07-10,21.05,21.13,20.99,21.09,5912,0.04,0.14,0.19,0.66,0.07,1
2023-07-07,21.3,21.3,20.96,20.96,764,-0.34,0.34,-1.62,1.62,0.17,-1
2023-07-06,21.14,21.21,21.14,21.21,1485,0.07,0.07,0.33,0.35,0.04,-1
2023-07-05,21.02,21.56,21.02,21.29,15654,0.27,0.54,1.27,2.54,0.27,-1
2023-07-03,20.93,21.5,20.93,21.32,12647,0.39,0.57,1.83,2.67,0.29,1
2023-06-30,21.0,21.2,20.85,21.04,7603,0.04,0.35,0.19,1.66,0.17,-1
2023-06-29,20.66,21.15,20.66,21.09,11604,0.43,0.49,2.04,2.32,0.24,1
2023-06-28,20.19,20.75,20.19,20.55,10111,0.36,0.56,1.75,2.73,0.28,-1
2023-06-27,20.16,20.65,20.16,20.62,2831,0.46,0.49,2.23,2.38,0.24,1
2023-06-26,19.84,20.28,19.79,20.28,5074,0.44,0.49,2.17,2.42,0.25,1
2023-06-23,19.97,20.08,19.84,19.91,21732,-0.06,0.24,-0.3,1.21,0.12,-1
2023-06-22,20.2,20.21,19.91,20.21,13920,0.01,0.3,0.05,1.48,0.15,-1
2023-06-21,20.69,20.69,20.36,20.41,28270,-0.28,0.33,-1.37,1.62,0.17,-1
2023-06-20,20.96,20.96,20.5,20.81,18721,-0.15,0.46,-0.72,2.21,0.23,-1
2023-06-16,20.65,20.93,20.61,20.9,69066,0.25,0.32,1.2,1.53,0.16,1
2023-06-15,20.15,20.51,20.15,20.49,6748,0.34,0.36,1.66,1.76,0.18,1
2023-06-14,20.37,20.54,20.25,20.4,11499,0.03,0.29,0.15,1.4,0.14,1
2023-06-13,20.44,20.5,20.32,20.37,3348,-0.07,0.18,-0.34,0.88,0.09,-1
2023-06-12,20.54,20.65,20.49,20.65,3691,0.11,0.16,0.54,0.77,0.08,1
2023-06-09,20.56,20.67,20.55,20.57,7804,0.01,0.12,0.05,0.58,0.06,1
2023-06-08,20.51,20.51,20.35,20.49,12858,-0.02,0.16,-0.1,0.78,0.08,-1
2023-06-07,20.05,20.73,20.05,20.61,109918,0.56,0.68,2.72,3.3,0.34,1
2023-06-06,19.9,20.0,19.88,19.97,126388,0.07,0.12,0.35,0.6,0.06,1
2023-06-05,19.92,20.01,19.69,19.7,2800,-0.22,0.32,-1.12,1.62,0.16,-1
2023-06-02,19.63,19.89,19.63,19.85,13643,0.22,0.26,1.11,1.31,0.13,1
2023-06-01,18.98,19.33,18.98,19.23,6709,0.25,0.35,1.29,1.81,0.17,1
2023-05-31,19.12,19.25,19.1,19.17,3757,0.05,0.15,0.26,0.78,0.07,1
2023-05-30,18.93,19.25,18.93,19.13,4427,0.2,0.32,1.05,1.67,0.16,1
2023-05-26,18.91,19.06,18.81,19.05,17962,0.14,0.25,0.73,1.31,0.12,1
2023-05-25,19.17,19.17,18.68,18.79,6863,-0.38,0.49,-2.02,2.58,0.24,-1
2023-05-24,19.4,19.4,19.1,19.16,15819,-0.24,0.3,-1.25,1.57,0.15,-1
2023-05-23,19.6,19.89,19.39,19.43,24940,-0.17,0.5,-0.87,2.57,0.25,-1
2023-05-22,19.25,19.8,19.25,19.78,26661,0.53,0.55,2.68,2.78,0.28,1
2023-05-19,19.2,19.9,19.07,19.46,28516,0.26,0.83,1.34,4.27,0.41,-1
2023-05-18,19.0,20.15,19.0,19.7,130144,0.7,1.15,3.55,5.84,0.57,1
2023-05-17,15.23,15.52,15.23,15.34,1510,0.11,0.29,0.71,1.91,0.15,1
2023-05-16,15.1,15.1,15.0,15.0,3019,-0.1,0.1,-0.67,0.67,0.05,-1
2023-05-15,15.11,15.11,15.11,15.11,173,0.0,0.0,0.0,0.0,0.0,-1
2023-05-12,15.05,15.38,14.77,15.11,7201,0.06,0.61,0.4,4.0,0.3,1
2023-05-11,15.35,15.35,14.85,15.03,1240,-0.32,0.5,-2.13,3.33,0.25,-1
2023-05-10,15.34,15.34,15.34,15.34,296,0.0,0.0,0.0,0.0,0.0,1
2023-05-09,15.07,15.07,15.07,15.07,494,0.0,0.0,0.0,0.0,0.0,-1
2023-05-08,15.51,15.51,15.51,15.51,3093,0.0,0.0,0.0,0.0,0.0,-1
2023-05-05,15.72,15.73,15.04,15.52,5645,-0.2,0.69,-1.29,4.45,0.35,-1
2023-05-04,15.67,15.67,15.67,15.67,117,0.0,0.0,0.0,0.0,0.0,-1
2023-05-03,15.91,15.91,15.67,15.67,782,-0.24,0.24,-1.53,1.53,0.12,-1
2023-05-02,16.09,16.1,15.76,15.86,1299,-0.23,0.34,-1.43,2.14,0.17,-1
2023-05-01,16.02,16.14,15.73,16.14,911,0.12,0.41,0.74,2.54,0.21,1
2023-04-28,15.66,15.99,15.65,15.98,5376,0.32,0.34,2.0,2.13,0.17,1
2023-04-27,14.98,15.33,14.98,15.33,3105,0.35,0.35,2.28,2.28,0.17,1
2023-04-26,15.01,15.01,15.01,15.01,487,0.0,0.0,0.0,0.0,0.0,-1
2023-04-25,15.4,15.4,15.4,15.4,508,0.0,0.0,0.0,0.0,0.0,1
2023-04-24,15.25,15.45,15.25,15.28,516,0.03,0.2,0.21,1.33,0.1,-1
2023-04-21,15.15,15.39,15.1,15.35,2824,0.2,0.29,1.3,1.89,0.15,1
2023-04-20,15.49,15.59,15.25,15.27,3203,-0.22,0.34,-1.44,2.23,0.17,-1
2023-04-19,15.75,15.75,15.61,15.61,597,-0.14,0.14,-0.89,0.89,0.07,-1
2023-04-18,15.62,15.62,15.62,15.62,107,0.0,0.0,0.0,0.0,0.0,-1
2023-04-17,15.46,15.77,15.22,15.62,2905,0.16,0.55,1.03,3.55,0.28,1
2023-04-14,15.54,15.78,15.5,15.6,5069,0.07,0.28,0.42,1.79,0.14,-1
2023-04-13,15.62,15.62,15.62,15.62,259,0.0,0.0,0.0,0.0,0.0,-1
2023-04-12,15.71,15.79,15.71,15.79,974,0.08,0.08,0.51,0.51,0.04,1
2023-04-11,15.5,15.5,15.5,15.5,227,0.0,0.0,0.0,0.0,0.0,-1
2023-04-10,15.52,15.52,15.5,15.5,569,-0.02,0.02,-0.13,0.13,0.01,-1
2023-04-06,15.81,15.84,15.81,15.84,776,0.03,0.03,0.19,0.19,0.02,1
2023-04-05,15.72,15.84,15.71,15.71,841,-0.02,0.13,-0.11,0.84,0.07,1
2023-04-04,16.0,16.0,15.58,15.58,1075,-0.42,0.42,-2.69,2.69,0.21,-1
2023-04-03,16.0,16.0,16.0,16.0,283,0.0,0.0,0.0,0.0,0.0,1
2023-03-31,15.73,15.88,15.73,15.83,1132,0.1,0.15,0.64,0.96,0.08,-1
2023-03-30,15.8,16.13,15.8,15.84,557,0.04,0.33,0.25,2.07,0.16,1
2023-03-29,15.77,15.77,15.77,15.77,311,0.0,0.0,0.0,0.0,0.0,-1
2023-03-28,15.5,16.01,15.19,15.77,2019,0.27,0.82,1.72,5.2,0.41,-1
2023-03-27,16.4,16.4,16.13,16.15,1517,-0.25,0.27,-1.55,1.68,0.14,1
2023-03-24,15.33,15.6,15.09,15.54,6508,0.21,0.51,1.35,3.27,0.25,1
2023-03-23,15.48,15.75,15.16,15.16,1815,-0.32,0.59,-2.11,3.91,0.3,-1
2023-03-22,15.51,15.79,15.32,15.32,3479,-0.19,0.47,-1.24,3.07,0.23,-1
2023-03-21,15.57,16.13,15.52,15.52,6358,-0.05,0.61,-0.32,3.93,0.3,-1
2023-03-20,15.92,15.92,15.53,15.53,6976,-0.39,0.39,-2.51,2.51,0.2,-1
2023-03-17,16.0,16.23,15.71,15.75,7759,-0.25,0.52,-1.59,3.3,0.26,-1
2023-03-16,16.24,16.24,16.13,16.23,1929,-0.01,0.11,-0.06,0.68,0.05,1
2023-03-15,15.9,16.03,15.64,15.64,3504,-0.26,0.39,-1.66,2.49,0.2,-1
