Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-04,112.18,112.18,109.0,109.23,844300,-2.95,3.18,-2.7,2.91,1.59,-1
2023-08-03,112.12,114.99,109.15,111.44,2428382,-0.68,5.84,-0.61,5.24,2.92,-1
2023-08-02,124.29,127.25,124.29,124.85,357946,0.56,2.96,0.45,2.37,1.48,-1
2023-08-01,127.08,127.85,124.77,126.53,333842,-0.55,3.08,-0.43,2.43,1.54,-1
2023-07-31,128.26,129.17,127.52,128.51,241401,0.25,1.65,0.19,1.28,0.82,1
2023-07-28,127.93,129.26,126.95,127.88,280973,-0.05,2.31,-0.04,1.81,1.15,1
2023-07-27,126.93,129.74,126.16,126.57,430137,-0.36,3.58,-0.28,2.83,1.79,1
2023-07-26,127.08,128.9,124.46,126.15,453928,-0.93,4.45,-0.74,3.52,2.22,-1
2023-07-25,127.79,129.1,127.23,127.94,410417,0.15,1.87,0.12,1.46,0.93,-1
2023-07-24,130.15,130.82,127.64,128.43,391001,-1.72,3.18,-1.34,2.48,1.59,-1
2023-07-21,133.4,133.4,130.33,130.77,319876,-2.63,3.07,-2.01,2.35,1.53,-1
2023-07-20,132.98,133.92,132.3,132.46,299985,-0.52,1.62,-0.39,1.22,0.81,-1
2023-07-19,133.73,133.99,132.5,133.1,402658,-0.63,1.49,-0.47,1.12,0.75,-1
2023-07-18,130.1,133.41,129.84,133.13,575331,3.03,3.57,2.28,2.68,1.78,1
2023-07-17,127.97,130.47,127.72,130.22,455044,2.25,2.75,1.73,2.11,1.38,1
2023-07-14,130.8,130.8,126.7,128.57,377199,-2.23,4.1,-1.73,3.19,2.05,-1
2023-07-13,131.25,132.22,130.67,130.8,578120,-0.45,1.56,-0.34,1.19,0.78,1
2023-07-12,129.92,131.21,129.0,130.56,552548,0.64,2.21,0.49,1.69,1.11,1
2023-07-11,126.66,128.41,126.13,128.25,414795,1.59,2.28,1.24,1.78,1.14,1
2023-07-10,124.58,126.93,124.58,126.05,315024,1.47,2.35,1.17,1.86,1.18,1
2023-07-07,122.67,125.77,122.67,124.59,452588,1.92,3.1,1.54,2.49,1.55,1
2023-07-06,121.82,122.48,119.83,122.3,334118,0.48,2.66,0.39,2.17,1.33,-1
2023-07-05,123.68,124.63,121.49,123.1,275647,-0.58,3.14,-0.47,2.55,1.57,-1
2023-07-03,122.18,125.19,122.18,123.81,168271,1.63,3.01,1.32,2.43,1.5,1
2023-06-30,124.44,124.44,122.68,122.72,275251,-1.72,1.76,-1.4,1.43,0.88,-1
2023-06-29,120.92,123.76,120.92,123.47,241845,2.55,2.84,2.07,2.3,1.42,1
2023-06-28,121.28,121.6,120.52,120.82,203052,-0.46,1.08,-0.38,0.89,0.54,-1
2023-06-27,119.0,121.72,117.85,121.29,274756,2.29,3.87,1.89,3.19,1.94,1
2023-06-26,119.48,121.74,119.08,119.15,215345,-0.33,2.66,-0.28,2.23,1.33,-1
2023-06-23,122.0,122.23,119.78,120.22,480158,-1.78,2.45,-1.48,2.04,1.23,-1
2023-06-22,124.81,125.12,123.09,123.76,232134,-1.05,2.03,-0.85,1.64,1.02,-1
2023-06-21,125.37,126.65,124.13,125.09,339112,-0.28,2.52,-0.22,2.01,1.26,-1
2023-06-20,126.48,126.93,124.31,125.61,418954,-0.87,2.62,-0.69,2.09,1.31,-1
2023-06-16,129.02,129.02,125.96,127.0,845755,-2.02,3.06,-1.59,2.41,1.53,-1
2023-06-15,129.5,129.5,126.44,128.45,454609,-1.05,3.06,-0.82,2.38,1.53,-1
2023-06-14,133.23,133.72,128.62,129.63,374093,-3.6,5.1,-2.78,3.93,2.55,-1
2023-06-13,132.99,133.47,131.86,132.51,270656,-0.48,1.61,-0.36,1.22,0.8,-1
2023-06-12,130.45,132.69,129.58,132.64,282179,2.19,3.11,1.65,2.34,1.55,1
2023-06-09,131.43,131.92,128.91,129.59,244822,-1.84,3.01,-1.42,2.32,1.5,-1
2023-06-08,131.75,131.9,129.83,131.22,275712,-0.53,2.07,-0.4,1.58,1.03,-1
2023-06-07,132.63,134.09,131.85,131.99,443328,-0.64,2.24,-0.48,1.7,1.12,1
2023-06-06,127.24,132.29,127.24,131.97,366869,4.73,5.05,3.58,3.83,2.52,1
2023-06-05,127.49,128.52,127.06,127.54,279891,0.05,1.46,0.04,1.14,0.73,-1
2023-06-02,125.33,129.35,125.0,129.13,405907,3.8,4.35,2.94,3.37,2.17,1
2023-06-01,123.42,124.8,122.18,123.82,386603,0.4,2.61,0.32,2.11,1.31,1
2023-05-31,124.0,124.12,121.3,123.22,366031,-0.78,2.82,-0.63,2.29,1.41,-1
2023-05-30,125.78,126.66,124.35,124.6,425947,-1.18,2.31,-0.95,1.85,1.16,-1
2023-05-26,125.77,127.77,125.46,125.56,423129,-0.21,2.31,-0.17,1.84,1.16,-1
2023-05-25,124.55,126.24,124.55,125.57,242411,1.02,1.69,0.81,1.34,0.84,1
2023-05-24,124.44,125.07,122.81,124.32,244340,-0.12,2.26,-0.1,1.82,1.13,-1
2023-05-23,125.0,126.18,123.96,125.77,375050,0.77,2.22,0.61,1.77,1.11,1
2023-05-22,126.01,126.45,124.48,125.26,227706,-0.75,1.97,-0.6,1.57,0.98,-1
2023-05-19,128.78,128.78,125.73,125.81,387472,-2.97,3.05,-2.36,2.42,1.52,-1
2023-05-18,126.43,129.24,126.43,128.64,333183,2.21,2.81,1.72,2.18,1.41,1
2023-05-17,124.62,128.52,124.62,127.1,418989,2.48,3.9,1.95,3.07,1.95,1
2023-05-16,123.75,125.06,122.9,123.94,367589,0.19,2.17,0.15,1.75,1.08,-1
2023-05-15,123.76,124.66,122.68,123.98,662506,0.22,1.98,0.18,1.6,0.99,1
2023-05-12,126.1,126.73,122.24,123.33,443294,-2.77,4.49,-2.25,3.64,2.25,-1
2023-05-11,124.13,124.48,121.68,124.39,633063,0.26,2.8,0.21,2.25,1.4,-1
2023-05-10,128.86,129.28,124.15,125.02,701282,-3.84,5.13,-3.07,4.1,2.56,-1
2023-05-09,127.87,129.56,127.78,128.43,340435,0.56,1.78,0.44,1.39,0.89,-1
2023-05-08,129.87,131.52,128.64,128.68,282208,-1.19,2.89,-0.92,2.24,1.44,-1
2023-05-05,132.43,132.46,129.18,129.82,382804,-2.61,3.28,-2.01,2.52,1.64,-1
2023-05-04,136.69,137.2,129.94,129.95,540722,-6.74,7.26,-5.19,5.59,3.63,-1
2023-05-03,136.4,137.77,134.17,134.66,360974,-1.74,3.6,-1.29,2.67,1.8,-1
2023-05-02,135.39,136.25,133.01,135.68,508065,0.29,3.24,0.21,2.39,1.62,-1
2023-05-01,134.68,138.21,134.68,136.36,303751,1.68,3.53,1.23,2.59,1.77,1
2023-04-28,132.71,135.0,131.82,134.56,481205,1.85,3.18,1.37,2.36,1.59,1
2023-04-27,133.64,134.14,131.0,133.05,566338,-0.59,3.14,-0.44,2.36,1.57,1
2023-04-26,137.96,138.12,131.52,132.81,446483,-5.15,6.6,-3.88,4.97,3.3,-1
2023-04-25,138.77,139.28,137.33,137.44,255956,-1.33,1.95,-0.97,1.42,0.97,-1
2023-04-24,139.04,140.3,137.98,139.65,309925,0.61,2.33,0.44,1.66,1.16,1
2023-04-21,139.26,139.28,137.64,138.74,231195,-0.52,1.64,-0.37,1.18,0.82,-1
2023-04-20,138.62,139.91,138.25,139.02,340831,0.4,1.66,0.29,1.19,0.83,-1
