Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-11,0.04,0.04,0.04,0.04,0,0.0,0.0,0.0,0.0,0.0,-1
2023-07-10,0.04,0.04,0.04,0.04,8600,0.0,0.0,0.75,5.5,0.0,1
2023-07-07,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,-1
2023-07-06,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,-1
2023-07-05,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,-1
2023-07-03,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-30,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-29,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-28,0.04,0.04,0.03,0.03,5300,-0.01,0.01,-24.57,37.86,0.01,-1
2023-06-27,0.04,0.05,0.03,0.04,11500,0.0,0.02,0.0,39.25,0.01,1
2023-06-26,0.04,0.07,0.03,0.03,16357,-0.01,0.04,-36.67,125.0,0.02,-1
2023-06-23,0.04,0.05,0.04,0.05,200,0.0,0.0,5.24,5.24,0.0,1
2023-06-22,0.04,0.04,0.04,0.04,408,0.0,0.0,0.0,0.0,0.0,1
2023-06-21,0.03,0.03,0.03,0.03,200,0.0,0.0,3.49,3.49,0.0,-1
2023-06-20,0.03,0.04,0.03,0.03,11700,-0.0,0.01,-14.67,42.33,0.01,-1
2023-06-16,0.03,0.03,0.03,0.03,200,0.0,0.0,0.0,0.0,0.0,-1
2023-06-15,0.03,0.03,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-14,0.03,0.03,0.03,0.03,7801,0.0,0.01,7.99,26.04,0.0,-1
2023-06-13,0.03,0.04,0.03,0.04,2500,0.02,0.02,38.66,38.66,0.01,-1
2023-06-12,0.04,0.04,0.04,0.04,85,0.0,0.0,0.0,0.0,0.0,-1
2023-06-09,0.05,0.06,0.04,0.04,6400,-0.01,0.02,-30.29,70.86,0.01,-1
2023-06-08,0.03,0.06,0.03,0.04,92300,0.01,0.03,14.25,64.25,0.01,1
2023-06-07,0.06,0.07,0.02,0.03,234643,-0.03,0.05,-100.0,152.67,0.02,1
2023-06-06,0.03,0.06,0.02,0.02,69908,-0.01,0.04,-37.6,150.0,0.02,-1
2023-06-05,0.05,0.05,0.03,0.03,38900,-0.02,0.02,-59.33,67.33,0.01,-1
2023-06-02,0.05,0.05,0.05,0.05,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-01,0.05,0.05,0.05,0.05,100,0.0,0.0,0.0,0.0,0.0,-1
