Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-08-04,7.3,7.3,7.04,7.14,51828,-0.16,0.26,-2.24,3.64,0.13,6.85,7.52,0.18,0.2,-0.02,-698775,11.1,0.0,55.0,-1.0,-55.0,Weak Sell Signal,8.17,6.85,5.53,0.38,44.65,Target Volume,Expected Range,14.38,Absent or Weak Trend
2023-08-03,7.49,7.63,7.1,7.28,92558,-0.21,0.53,-2.88,7.31,0.27,6.87,7.54,0.21,0.2,0.01,-646947,10.93,0.0,56.67,-1.0,-56.67,Weak Sell Signal,8.24,6.87,5.5,0.4,44.85,Target Volume,Expected Range,14.43,Absent or Weak Trend
2023-08-02,7.45,7.62,7.36,7.55,75153,0.1,0.26,1.32,3.44,0.13,6.89,7.55,0.23,0.2,0.03,-554389,10.11,1.67,58.33,-1.0,-56.67,Weak Sell Signal,8.35,6.89,5.43,0.42,45.24,Target Volume,Expected Range,14.49,Absent or Weak Trend
2023-08-01,7.42,7.67,7.09,7.62,75516,0.2,0.58,2.62,7.61,0.29,6.91,7.55,0.23,0.19,0.04,-479236,10.11,3.33,60.0,-1.0,-56.67,Weak Sell Signal,8.42,6.91,5.4,0.44,45.34,Target Volume,Expected Range,14.57,Absent or Weak Trend
2023-07-31,7.13,7.43,7.03,7.41,41260,0.28,0.4,3.78,5.4,0.2,6.91,7.54,0.22,0.19,0.03,-554752,11.01,5.0,61.67,-1.0,-56.67,Weak Sell Signal,8.43,6.91,5.4,0.44,44.98,Target Volume,Expected Range,14.64,Absent or Weak Trend
2023-07-28,7.3,7.38,6.84,7.14,90602,-0.16,0.54,-2.24,7.56,0.27,6.92,7.55,0.22,0.18,0.04,-596012,11.19,6.67,63.33,-1.0,-56.67,Weak Sell Signal,8.47,6.92,5.38,0.45,44.53,Target Volume,Expected Range,14.7,Absent or Weak Trend
2023-07-27,7.4,7.69,7.1,7.23,87170,-0.17,0.59,-2.35,8.16,0.3,6.94,7.56,0.25,0.17,0.08,-505410,10.43,8.33,65.0,-1.0,-56.67,Weak Sell Signal,8.51,6.94,5.37,0.45,44.65,Target Volume,Expected Range,14.76,Absent or Weak Trend
2023-07-26,7.41,7.65,7.24,7.34,43348,-0.07,0.41,-0.95,5.59,0.21,6.96,7.57,0.27,0.15,0.13,-418240,10.02,10.0,66.67,-1.0,-56.67,Weak Sell Signal,8.56,6.96,5.35,0.46,44.79,Target Volume,Expected Range,14.84,Absent or Weak Trend
2023-07-25,7.74,7.91,7.34,7.43,85451,-0.31,0.58,-4.17,7.74,0.29,6.99,7.58,0.29,0.11,0.17,-374892,9.75,0.0,68.33,-1.0,-68.33,Weak Sell Signal,8.67,6.99,5.3,0.48,44.91,Target Volume,Expected Range,14.92,Absent or Weak Trend
2023-07-24,7.84,7.99,7.61,7.78,70171,-0.06,0.38,-0.77,4.88,0.19,7.01,7.59,0.29,0.07,0.22,-289441,8.95,0.0,70.0,-1.0,-70.0,Weak Sell Signal,8.77,7.01,5.26,0.5,45.37,Target Volume,Expected Range,15.0,Absent or Weak Trend
